N	2gram	Berdyaev_M_1	Analitik
1	в этом	20	18
2	и в	28	16
3	не только	29	16
4	как и	5	14
5	в том	6	12
6	но и	25	12
7	и не	11	12
8	том что	3	12
9	могут быть	2	10
10	как бы	2	10
11	а не	25	10
12	лишь в	6	9
13	в этой	6	9
14	ничего не	3	9
15	то есть	3	9
16	к тому	3	7
17	в себе	7	7
18	то что	5	7
19	особенно в	3	7
20	о том	2	7
21	в самом	11	6
22	в мире	10	6
23	и на	6	6
24	может быть	30	6
25	но в	7	6
26	о предопределении	2	5
27	и к	2	5
28	в своем	10	4
29	в конце	7	4
30	у него	17	4
31	уже не	4	4
32	не в	16	4
33	за пределы	4	4
34	но не	8	4
35	для него	11	4
36	отношению к	2	4
37	как в	2	4
38	все это	6	4
39	по отношению	2	4
40	не может	28	4
41	на этом	3	4
42	и его	9	4
43	не так	3	4
44	он в	2	4
45	точки зрения	4	4
46	только в	6	4
47	не был	7	3
48	место в	2	3
49	никогда не	14	3
50	прежде всего	10	3
51	не мог	3	3
52	с самим	2	3
53	было бы	10	3
54	в центре	2	3
55	что и	4	3
56	в их	4	3
57	приводит к	2	3
58	если бы	2	3
59	не знает	4	3
60	а в	4	3
61	тем что	4	3
62	как будто	2	3
63	бы в	2	3
64	и все	10	3
65	а как	2	2
66	того что	7	2
67	вообще не	2	2
68	к этому	2	2
69	и я	5	2
70	его как	2	2
71	он был	14	2
72	все что	2	2
73	ведь это	2	2
74	что в	10	2
75	с их	2	2
76	она не	4	2
77	о чем	2	2
78	в своей	15	2
79	ни с	4	2
80	еще в	2	2
81	в котором	8	2
82	один из	4	2
83	не есть	9	2
84	себя в	3	2
85	и их	3	2
86	вместе с	6	2
87	всего в	2	2
88	ли человек	2	2
89	отношения к	4	2
90	т е	2	2
91	и свободы	4	2
92	на этот	2	2
93	и он	12	2
94	не имеет	3	2
95	и для	2	2
96	и во	2	2
97	одно из	3	2
98	он не	24	2
99	он и	2	2
100	о себе	3	2
101	я всегда	2	2
102	на протяжении	2	2
103	о свободе	18	2
104	в то	2	2
105	в его	9	2
106	его в	3	2
107	в этих	4	2
108	сказать что	2	2
109	с ним	2	2
110	о своей	2	2
