N	2gram	Berdyaev_O_1	Tvorches
1	у достоевского	19	28
2	и в	19	21
3	как бы	3	17
4	романах достоевского	3	15
5	в его	7	13
6	из подполья	11	13
7	в романах	4	13
8	что в	4	12
9	как и	6	12
10	достоевского в	3	12
11	с его	4	11
12	том что	2	11
13	все это	6	10
14	достоевского с	2	8
15	он не	7	8
16	то что	5	8
17	у него	22	7
18	что достоевский	2	7
19	в том	5	7
20	не только	11	7
21	и не	13	7
22	и на	2	7
23	но в	2	7
24	он сам	4	6
25	что он	3	6
26	жизни в	2	6
27	и все	10	6
28	достоевского не	4	6
29	в преступлении	4	6
30	для него	5	6
31	записки из	3	6
32	человека в	11	6
33	а в	5	6
34	и его	4	6
35	в этом	12	6
36	о том	3	6
37	в творчестве	5	6
38	а не	11	5
39	может быть	11	5
40	в этой	5	5
41	все же	2	5
42	хотя бы	3	5
43	в своих	3	5
44	потому что	9	5
45	в русской	3	5
46	в человеке	9	4
47	в своем	2	4
48	человека и	10	4
49	прежде всего	9	4
50	достоевский не	4	4
51	и наказании	3	4
52	преступлении и	3	4
53	в своей	2	4
54	мысли и	3	4
55	не может	4	4
56	это не	3	4
57	и от	3	4
58	герои достоевского	4	4
59	для достоевского	5	4
60	в записках	3	4
61	уже в	2	3
62	никогда не	9	3
63	что все	2	3
64	с ним	3	3
65	творчество достоевского	2	3
66	что человек	3	3
67	человеческой личности	6	3
68	романов достоевского	2	3
69	в самом	5	3
70	записках из	3	3
71	в нем	10	3
72	к человеку	9	3
73	самого достоевского	3	3
74	но и	13	3
75	ее в	2	3
76	достоевского и	5	3
77	в бесах	3	3
78	на земле	4	3
79	записок из	5	3
80	того что	3	3
81	для человека	2	3
82	в которой	2	3
83	достоевского к	2	3
84	и с	2	3
85	хотя и	2	3
86	в россии	5	3
87	человеческих отношений	4	3
88	героев достоевского	2	3
89	в идиоте	4	3
90	так как	2	3
91	личности и	2	2
92	в этих	3	2
93	к этому	2	2
94	что и	2	2
95	человека его	3	2
96	так что	2	2
97	достоевского он	7	2
98	не в	11	2
99	быть может	3	2
100	до конца	7	2
101	мысль о	2	2
102	к ней	2	2
103	этом он	2	2
104	и против	2	2
105	когда он	3	2
106	так и	2	2
107	человеческой души	6	2
108	иван карамазов	2	2
109	как к	2	2
110	что для	2	2
111	свободы и	2	2
112	что не	4	2
113	и он	8	2
114	мертвого дома	2	2
115	сказать что	2	2
116	могут быть	3	2
117	во имя	3	2
118	но он	7	2
119	в себе	3	2
