N	2gram	Vygotskiy__2	Sotsiolo
1	все это	5	7
2	в том	37	5
3	в этом	13	5
4	не в	8	3
5	для нас	2	3
6	и только	2	3
7	в его	2	3
8	и в	32	3
9	не только	12	3
10	как только	2	2
11	еще не	2	2
12	было бы	11	2
13	как будто	7	2
14	только в	7	2
15	в конце	3	2
16	по существу	3	2
17	и мы	6	2
18	таким образом	21	2
19	том что	21	2
20	далеко не	5	2
21	то же	13	2
22	то что	21	2
23	главным образом	3	2
24	тем более	2	2
25	может быть	18	2
26	в частности	3	2
27	и что	22	2
28	но и	10	2
29	очевидно что	2	2
30	и заключается	3	2
31	только как	3	2
32	в смысле	3	2
33	к которому	2	2
34	как бы	6	2
35	конце концов	3	2
36	что в	20	2
