N	2gram	Losev_Prob_2	DiskursI
1	в качестве	2	34
2	не только	24	28
3	в том	12	23
4	а не	10	22
5	то есть	39	20
6	том что	19	19
7	может быть	18	17
8	представляет собой	2	17
9	и в	35	16
10	как и	5	16
11	в этом	17	15
12	еще не	10	14
13	но и	16	14
14	при этом	3	13
15	прежде всего	11	11
16	но не	4	11
17	и не	37	11
18	с другой	6	10
19	далеко не	4	10
20	в частности	5	9
21	одной стороны	5	9
22	не может	13	9
23	с одной	5	9
24	а также	2	8
25	отнюдь не	5	8
26	так и	7	8
27	о том	18	8
28	но в	6	8
29	в основе	3	7
30	в его	7	7
31	то же	5	7
32	не было	3	7
33	роль в	2	7
34	в себе	5	7
35	только в	14	7
36	не в	2	7
37	в своем	4	6
38	и как	4	6
39	пока еще	9	6
40	к тому	3	5
41	или иной	5	5
42	можно сказать	6	5
43	как бы	4	5
44	то что	38	5
45	во всех	2	5
46	а в	4	5
47	в их	3	5
48	сводится к	2	5
49	и на	5	5
50	в данном	10	5
51	что в	11	4
52	не является	7	4
53	в них	2	4
54	для себя	9	4
55	и к	3	4
56	что он	4	4
57	уже не	8	4
58	в истории	3	4
59	в целом	3	4
60	связи с	5	4
61	такого рода	15	4
62	и о	4	4
63	внимание на	3	4
64	лишь в	3	4
65	что не	5	4
66	потому что	13	4
67	перед нами	2	3
68	но при	2	3
69	по себе	8	3
70	что и	2	3
71	и того	3	3
72	по своему	5	3
73	с этим	5	3
74	в действительности	2	3
75	в самом	5	3
76	той или	5	3
77	еще в	2	3
78	один из	3	3
79	хотя бы	12	3
80	все же	8	3
81	таким образом	4	3
82	имея в	2	3
83	заключается в	4	3
84	того что	12	3
85	другой стороны	5	3
86	и даже	11	3
87	в своих	3	3
88	сказать что	24	3
89	тем что	4	3
90	точки зрения	2	3
91	в то	6	3
92	тому как	3	3
93	также и	12	3
94	разного рода	4	2
95	не менее	13	2
96	и есть	4	2
97	требует для	3	2
98	одновременно и	3	2
99	в разные	2	2
100	о котором	3	2
101	между собой	5	2
102	и без	5	2
103	том числе	2	2
104	или даже	3	2
105	по крайней	6	2
106	и все	5	2
107	это в	2	2
108	с понятием	2	2
109	однако это	2	2
110	стороны и	4	2
111	в тех	2	2
112	об этом	2	2
113	но зато	2	2
114	крайней мере	6	2
115	тот или	5	2
116	в значительной	3	2
117	есть в	4	2
118	более или	4	2
119	числе и	2	2
120	указывает на	5	2
121	отличается от	2	2
122	что с	2	2
123	совпадает с	2	2
124	хотя и	3	2
125	о нем	2	2
126	частности в	2	2
127	и др	2	2
128	будто бы	5	2
129	сами по	2	2
130	оно не	3	2
131	говоря уже	4	2
132	и тем	4	2
133	не есть	33	2
134	того или	7	2
135	на том	3	2
136	или менее	4	2
137	что же	9	2
138	данном случае	5	2
139	мысли и	2	2
140	языка и	5	2
141	уже в	3	2
142	как мы	5	2
143	этого термина	8	2
144	и что	13	2
145	свидетельствует о	2	2
146	но обязательно	2	2
147	в науке	3	2
148	и по	3	2
149	или в	2	2
150	во всяком	13	2
151	подобно тому	2	2
152	и ее	2	2
153	но как	6	2
154	и вообще	16	2
155	не говоря	4	2
156	же самое	6	2
157	в этой	9	2
158	уже о	4	2
159	едва ли	9	2
160	возможно только	2	2
161	в виду	8	2
162	о чем	6	2
163	это было	2	2
