N	2gram	Bakhtin_KF_1	Hudozhes
1	и в	24	28
2	том что	4	19
3	в ее	16	18
4	и не	26	18
5	в том	6	15
6	а не	17	14
7	не в	12	13
8	в этом	14	13
9	о том	3	12
10	как и	5	11
11	при этом	4	11
12	в его	40	11
13	не только	5	11
14	уже не	7	10
15	но и	9	9
16	в себе	21	9
17	в жизни	2	8
18	что он	2	8
19	может быть	45	8
20	себя в	8	8
21	так и	2	8
22	между тем	4	8
23	я не	6	7
24	жизни в	5	7
25	и все	7	7
26	в мире	6	7
27	отношению к	22	7
28	по отношению	26	7
29	с ним	5	7
30	это не	10	6
31	в котором	24	6
32	то что	7	6
33	жизни и	8	6
34	в своей	10	6
35	если бы	8	6
36	то же	5	6
37	не было	8	6
38	сводится к	2	6
39	а в	4	6
40	тем что	3	6
41	для себя	5	6
42	в то	3	6
43	я и	2	6
44	что это	3	5
45	не менее	3	5
46	в своем	16	5
47	как бы	9	5
48	как в	2	5
49	с ее	2	5
50	в этой	2	5
51	что в	4	5
52	никогда не	5	5
53	его жизни	3	5
54	и его	17	5
55	жизни как	5	5
56	рядом с	3	5
57	для него	8	5
58	ничего не	3	5
59	бы и	3	4
60	тому что	2	4
61	тем не	2	4
62	но не	12	4
63	в качестве	2	4
64	же время	2	4
65	для того	3	4
66	он не	6	4
67	для нее	7	4
68	что и	7	4
69	не может	27	4
70	того чтобы	2	4
71	только в	16	4
72	бы не	3	3
73	в одном	4	3
74	к себе	2	3
75	прежде всего	2	3
76	в нем	28	3
77	и ее	2	3
78	для нас	4	3
79	в соответствии	2	3
80	самом деле	3	3
81	еще не	4	3
82	было бы	8	3
83	в это	2	3
84	в ней	3	3
85	со стороны	7	3
86	все это	10	3
87	не могу	3	3
88	а с	2	3
89	чтобы не	2	3
90	едва ли	2	3
91	с ними	3	3
92	и на	3	3
93	соответствии с	2	3
94	и это	12	3
95	к нему	12	3
96	в основе	5	2
97	место в	5	2
98	ее жизни	3	2
99	себя и	2	2
100	отнюдь не	6	2
101	его и	2	2
102	именно в	5	2
103	не как	4	2
104	и просто	2	2
105	бытия как	5	2
106	вовсе не	7	2
107	а как	2	2
108	или иного	3	2
109	или иной	2	2
110	знает и	2	2
111	ему в	2	2
112	а по	2	2
113	что я	5	2
114	это уже	2	2
115	что не	3	2
116	бытия для	3	2
117	того или	3	2
118	не по	4	2
119	о нем	4	2
120	один из	2	2
121	оно не	2	2
122	это было	2	2
123	все же	5	2
124	не будет	2	2
125	отношение к	5	2
126	этих людей	2	2
127	дело не	2	2
128	дело с	2	2
129	здесь не	3	2
130	чего не	2	2
131	в контексте	5	2
132	лишь в	8	2
133	именно на	2	2
134	тем самым	4	2
135	и эта	2	2
136	в принципе	2	2
137	хотя бы	4	2
138	и для	9	2
139	с точки	9	2
140	в данном	2	2
141	и то	2	2
142	тем как	3	2
143	потому что	2	2
144	в виде	2	2
145	точки зрения	12	2
146	говорить о	2	2
147	в другом	3	2
148	могла бы	4	2
149	и только	6	2
150	и т.д	2	2
151	его в	5	2
152	та же	2	2
153	но в	5	2
154	а для	2	2
