N	2gram	Bakhtin_Pr_2	Hudozhes
1	и в	43	28
2	в рассказе	3	21
3	том что	2	19
4	и не	29	18
5	в том	6	15
6	а не	7	14
7	не в	11	13
8	в этом	13	13
9	о том	5	12
10	перед нами	7	11
11	как и	14	11
12	при этом	6	11
13	в его	10	11
14	не только	11	11
15	уже не	3	10
16	но и	14	9
17	в себе	5	9
18	в жизни	3	8
19	что он	13	8
20	может быть	23	8
21	себя в	3	8
22	так и	3	8
23	между тем	3	8
24	я не	4	7
25	и все	6	7
26	к тому	4	7
27	об этом	2	7
28	отношению к	5	7
29	по отношению	5	7
30	с ним	3	7
31	это не	3	6
32	в котором	6	6
33	то что	7	6
34	в своей	4	6
35	если бы	3	6
36	то же	8	6
37	а в	5	6
38	и с	5	6
39	тем что	3	6
40	для себя	2	6
41	в то	7	6
42	я и	2	6
43	с его	4	5
44	что это	2	5
45	не менее	3	5
46	у него	6	5
47	в своем	4	5
48	как бы	22	5
49	как в	2	5
50	да и	5	5
51	что в	4	5
52	она не	3	5
53	и сам	7	5
54	в самом	7	5
55	никогда не	9	5
56	его жизни	2	5
57	только на	3	5
58	и его	8	5
59	рядом с	5	5
60	для него	8	5
61	ничего не	3	5
62	бы и	2	4
63	превращается в	2	4
64	тем не	2	4
65	своей жизни	2	4
66	но не	5	4
67	же время	5	4
68	в художественном	3	4
69	и о	2	4
70	он не	9	4
71	что и	3	4
72	и т	13	4
73	рассказа в	3	4
74	как раз	4	4
75	то и	2	4
76	не может	18	4
77	человека в	4	4
78	только в	4	4
79	а между	2	4
80	бы не	2	3
81	в человеке	3	3
82	была бы	2	3
83	в них	4	3
84	с другой	4	3
85	о себе	7	3
86	в одном	12	3
87	человека и	2	3
88	к себе	7	3
89	но при	3	3
90	прежде всего	10	3
91	что было	2	3
92	в нем	12	3
93	и ее	3	3
94	что на	2	3
95	для нас	2	3
96	самом деле	5	3
97	есть и	3	3
98	еще не	9	3
99	было бы	5	3
100	среди других	2	3
101	мы уже	3	3
102	в этих	6	3
103	на него	3	3
104	все это	5	3
105	не могу	2	3
106	на фоне	5	3
107	а с	2	3
108	чтобы не	2	3
109	и он	5	3
110	так же	2	3
111	или в	8	3
112	можно было	3	3
113	с ними	2	3
114	и на	10	3
115	на себя	2	3
116	к чужому	7	3
117	что у	2	3
118	как он	2	3
119	и это	4	3
120	героя и	5	3
121	к нему	5	3
122	мы с	2	3
123	все его	2	3
124	автора и	2	2
125	он сам	3	2
126	т е	26	2
127	себя и	3	2
128	его и	2	2
129	а вот	2	2
130	не как	6	2
131	из этих	2	2
132	а за	3	2
133	с собой	4	2
134	вовсе не	5	2
135	а как	4	2
136	на свой	6	2
137	или иной	3	2
138	как мы	10	2
139	тому же	3	2
140	что я	6	2
141	одна из	2	2
142	что не	2	2
143	и к	3	2
144	же и	4	2
145	о нем	6	2
146	до сих	7	2
147	все же	3	2
148	в первом	2	2
149	отношение к	2	2
150	как же	2	2
151	из них	2	2
152	сих пор	7	2
153	что же	7	2
154	мысли и	2	2
155	приводит к	6	2
156	здесь не	6	2
157	т п	9	2
158	рассказ и	3	2
159	т д	4	2
160	того как	2	2
161	лишь в	8	2
162	и эта	2	2
163	между ними	4	2
164	ни одного	4	2
165	хотя бы	2	2
166	и для	3	2
167	с точки	8	2
168	себе но	2	2
169	той же	3	2
170	и то	2	2
171	сказать что	2	2
172	другого и	2	2
173	теперь в	3	2
174	в виде	3	2
175	точки зрения	13	2
176	самим собою	5	2
177	с самим	8	2
178	не во	2	2
179	в другом	7	2
180	и только	3	2
181	его в	3	2
182	та же	2	2
183	что говорит	2	2
184	рассказа и	2	2
185	но в	10	2
186	же не	4	2
