N	2gram	Savitsky_E_1	FransuaR
1	и в	37	45
2	то есть	6	25
3	и не	14	15
4	не только	18	14
5	в этом	12	14
6	но в	14	14
7	в его	2	13
8	во всех	6	13
9	как бы	6	12
10	что в	21	12
11	в своем	14	11
12	то же	15	11
13	в то	16	11
14	прежде всего	9	10
15	в том	11	10
16	но и	14	10
17	как и	7	10
18	и с	2	10
19	же время	14	9
20	вовсе не	6	8
21	как мы	5	8
22	в ней	4	8
23	жизни и	2	8
24	таким образом	2	8
25	так же	9	8
26	мира и	3	8
27	том что	6	7
28	не в	5	7
29	что и	3	7
30	мы видели	3	7
31	также и	7	7
32	потому что	3	7
33	и все	2	7
34	в этой	2	6
35	он не	2	6
36	так и	10	6
37	того чтобы	6	6
38	для того	6	6
39	так как	7	6
40	в них	3	6
41	и к	3	5
42	одной из	5	5
43	мы видим	2	5
44	хотя и	2	5
45	не может	9	5
46	этом отношении	3	5
47	и как	2	5
48	и на	6	5
49	же как	5	4
50	и во	2	4
51	и от	3	4
52	мы не	4	4
53	такой же	2	4
54	но не	5	4
55	по своему	7	4
56	в самом	4	4
57	в общем	3	4
58	известной степени	3	4
59	а также	7	4
60	в их	11	4
61	а не	2	4
62	и даже	6	4
63	как на	3	4
64	а в	2	4
65	можно было	3	4
66	сказать что	4	4
67	с этим	2	4
68	точки зрения	23	4
69	только в	9	4
70	о том	3	4
71	бы в	2	4
72	как это	4	4
73	как в	3	3
74	вообще не	3	3
75	в одном	2	3
76	что на	2	3
77	но на	3	3
78	есть в	2	3
79	того же	3	3
80	в своей	8	3
81	дело идет	2	3
82	вместе с	2	3
83	и прежде	3	3
84	именно в	4	3
85	в течение	5	3
86	того что	7	3
87	на этот	2	3
88	не имеет	4	3
89	и для	3	3
90	в которых	3	3
91	ведь и	2	3
92	дело в	3	3
93	там где	3	3
94	не могут	2	2
95	и наиболее	2	2
96	с тем	3	2
97	независимо от	4	2
98	и та	2	2
99	в сторону	2	2
100	жизни в	3	2
101	хотя бы	15	2
102	г по	2	2
103	что все	2	2
104	можно сказать	4	2
105	к тому	8	2
106	в отношении	32	2
107	человеческой культуры	2	2
108	то что	6	2
109	во все	3	2
110	в пределах	25	2
111	в качестве	14	2
112	в большинстве	2	2
113	для них	2	2
114	но именно	2	2
115	было бы	8	2
116	что это	2	2
117	несмотря на	4	2
118	и если	2	2
119	друг с	3	2
120	к ней	4	2
121	может быть	6	2
122	если в	2	2
123	с другом	3	2
124	даже в	4	2
125	чем на	2	2
126	и отчасти	2	2
127	во второй	3	2
128	когда он	3	2
129	данном случае	2	2
130	а именно	2	2
131	происходит в	2	2
132	и только	3	2
133	начиная с	2	2
134	в истории	2	2
135	и что	2	2
136	ко всему	2	2
137	в значительной	2	2
138	и наконец	2	2
139	с точки	17	2
140	и притом	4	2
141	к нему	2	2
142	войны и	2	2
143	в данном	3	2
144	между тем	8	2
145	мы можем	3	2
146	в известной	3	2
147	эти последние	2	2
148	уже и	3	2
149	большинстве случаев	3	2
150	заметить что	2	2
151	в будущее	2	2
152	в эту	2	2
153	от этого	5	2
