N	2gram	Medvedev_S_1	Psycholo
1	то что	2	44
2	и в	3	33
3	в этом	5	28
4	как бы	2	25
5	и что	2	25
6	может быть	2	22
7	том что	2	22
8	что в	2	21
9	в том	5	21
10	и мы	2	15
11	таким образом	2	13
12	все это	7	13
13	было бы	2	12
14	в его	3	10
15	то же	2	9
16	в конце	2	8
17	как будто	2	8
18	для нас	3	7
19	и только	3	7
20	не только	3	7
21	это и	2	5
22	в частности	2	4
23	только в	2	4
24	но и	2	3
25	конце концов	2	3
26	далеко не	2	3
27	как только	2	2
28	в результате	2	2
29	не в	3	2
30	по существу	2	2
31	литературы и	2	2
