N	2gram	Tiupa_Anal_3	VLabPisa
1	таким образом	4	27
2	в этом	14	26
3	и в	18	25
4	не только	22	22
5	во сне	3	21
6	может быть	9	21
7	и не	12	19
8	не может	2	17
9	в его	7	15
10	прежде всего	5	13
11	в том	9	13
12	этом отношении	3	13
13	в частности	12	12
14	все это	3	12
15	как это	3	12
16	с другой	7	11
17	в качестве	12	10
18	о том	6	10
19	к этому	3	9
20	об этом	2	9
21	что в	9	9
22	для него	6	9
23	но и	13	9
24	то же	3	9
25	говорит и	3	8
26	все эти	2	8
27	в своем	4	8
28	другой стороны	5	8
29	могут быть	2	8
30	из этих	3	7
31	в году	3	7
32	же в	2	7
33	как и	14	7
34	том что	12	7
35	было бы	3	7
36	в конечном	2	7
37	говорит о	2	7
38	отношению к	7	7
39	во всех	2	7
40	вместе с	2	7
41	по отношению	7	7
42	не было	3	7
43	произведения и	2	7
44	а не	9	7
45	это не	2	6
46	в себе	2	6
47	это и	2	6
48	то что	2	6
49	в нем	2	6
50	так и	14	6
51	бы и	2	6
52	и его	13	6
53	между тем	5	6
54	в то	3	6
55	в результате	5	5
56	же время	3	5
57	конечном счете	2	5
58	все же	4	5
59	как говорит	3	5
60	очевидно что	2	5
61	в пределах	4	5
62	в искусстве	2	5
63	как бы	10	5
64	один из	2	5
65	в их	6	5
66	приводит к	4	5
67	сказать что	2	5
68	только в	2	5
69	не в	6	5
70	не является	5	5
71	произведения как	2	5
72	к тому	6	4
73	никогда не	5	4
74	перед нами	4	4
75	в одном	4	4
76	в целом	3	4
77	что он	4	4
78	с его	8	4
79	можно сказать	4	4
80	в ее	3	4
81	в романе	2	4
82	одна из	2	4
83	в самом	5	4
84	даже в	2	4
85	когда он	2	4
86	как раз	7	4
87	в них	2	4
88	в этой	6	4
89	в противоположность	2	3
90	и к	4	3
91	и ее	2	3
92	с тем	2	3
93	и как	4	3
94	и от	2	3
95	в конце	5	3
96	а всего	3	3
97	что они	3	3
98	но как	3	3
99	по поводу	3	3
100	с этим	3	3
101	что не	3	3
102	например в	2	3
103	далеко не	4	3
104	и он	2	3
105	его в	3	3
106	что и	5	3
107	именно в	3	3
108	сводится к	2	3
109	в значительной	2	3
110	и по	2	3
111	его не	3	3
112	в слове	5	3
113	а вот	2	3
114	точки зрения	3	3
115	всего лишь	8	3
116	не менее	4	2
117	в каждом	3	2
118	например как	2	2
119	только не	3	2
120	мира и	2	2
121	по крайней	4	2
122	у пушкина	3	2
123	не всегда	3	2
124	в жизни	2	2
125	с нею	2	2
126	роль в	3	2
127	по себе	4	2
128	или иной	5	2
129	о его	2	2
130	крайней мере	4	2
131	ли не	4	2
132	и потому	2	2
133	но не	7	2
134	еще не	6	2
135	одной стороны	2	2
136	мысль о	3	2
137	он и	3	2
138	о своем	2	2
139	в общем	2	2
140	мы имеем	5	2
141	видеть в	2	2
142	в ней	2	2
143	что она	2	2
144	и даже	8	2
145	всяком случае	2	2
146	отнюдь не	4	2
147	если в	3	2
148	все они	2	2
149	уже по	2	2
150	а в	10	2
151	в особенности	3	2
152	еще и	3	2
153	с одной	2	2
154	но с	2	2
155	и для	2	2
156	по его	3	2
157	тому как	2	2
158	не столько	3	2
159	пока еще	3	2
160	во всяком	2	2
161	хотя и	2	2
162	лишь в	5	2
163	он не	6	2
164	подобно тому	3	2
165	говорить о	3	2
166	что мы	2	2
167	от его	2	2
168	о чем	4	2
169	но в	2	2
170	а для	2	2
