N	2gram	Propp_Morf_1	Psycholo
1	и в	13	38
2	то что	8	35
3	в том	6	25
4	самом деле	4	21
5	что в	8	20
6	может быть	52	19
7	и что	2	18
8	на то	2	16
9	что она	2	16
10	точки зрения	2	16
11	если бы	2	14
12	том что	4	14
13	как бы	3	14
14	и т	41	14
15	потому что	3	14
16	в этой	2	13
17	в этом	14	13
18	мы видим	13	12
19	было бы	3	12
20	не только	4	12
21	мы увидим	8	12
22	таким образом	21	12
23	не в	3	12
24	что он	4	11
25	в сущности	3	10
26	то же	7	10
27	и не	12	10
28	с точки	2	9
29	того чтобы	3	9
30	все же	7	8
31	с тем	2	8
32	перед нами	10	8
33	с этим	11	8
34	вовсе не	4	8
35	для нас	2	8
36	как и	3	8
37	и как	5	8
38	видим что	10	8
39	для того	2	8
40	с другой	8	7
41	а не	11	7
42	мы можем	2	7
43	не может	14	7
44	показать что	4	7
45	как мы	6	7
46	а в	7	7
47	между тем	5	7
48	из них	3	6
49	и здесь	5	6
50	к тому	4	6
51	она не	2	6
52	один из	5	6
53	не имеет	2	6
54	тому что	4	6
55	он не	3	6
56	так как	16	6
57	если мы	5	6
58	к чему	3	6
59	как это	3	6
60	в которых	2	6
61	о том	2	6
62	ясно что	5	6
63	там где	5	6
64	в какой	3	5
65	на этом	3	5
66	несмотря на	4	5
67	но и	4	5
68	другой стороны	4	5
69	или в	4	5
70	действующих лиц	11	5
71	мы не	8	5
72	в другом	2	5
73	в которой	3	5
74	что эта	2	4
75	в тех	6	4
76	что они	2	4
77	по своему	2	4
78	и для	2	4
79	во всех	4	4
80	но если	7	4
81	что и	7	4
82	в целом	3	4
83	как в	3	4
84	т д	39	4
85	образом мы	5	4
86	все эти	2	4
87	при помощи	9	4
88	здесь мы	3	4
89	того что	3	4
90	из которых	3	4
91	время как	3	4
92	сказать что	2	4
93	только в	2	4
94	что эти	2	4
95	как будто	2	4
96	одна из	4	4
97	та же	2	3
98	главным образом	4	3
99	к этому	3	3
100	и к	4	3
101	она в	2	3
102	но это	6	3
103	он приводит	2	3
104	совсем не	3	3
105	с теми	4	3
106	наряду с	5	3
107	в один	3	3
108	из двух	2	3
109	и тем	2	3
110	того как	2	3
111	тем что	4	3
112	состоит в	2	3
113	далеко не	5	3
114	в то	3	3
115	могла бы	4	3
116	его в	2	3
117	здесь не	2	3
118	но в	2	3
119	и затем	4	2
120	не могут	4	2
121	и другие	6	2
122	можно назвать	3	2
123	в этих	13	2
124	между собой	4	2
125	в глаза	2	2
126	хотя бы	4	2
127	так например	3	2
128	на самом	4	2
129	этот случай	5	2
130	во всяком	2	2
131	утверждать что	3	2
132	и ее	3	2
133	очень часто	6	2
134	только что	2	2
135	увидим ниже	5	2
136	или не	3	2
137	же в	2	2
138	как же	2	2
139	в море	5	2
140	уже не	2	2
141	у нас	2	2
142	по существу	12	2
143	без всякой	2	2
144	то время	3	2
145	животных и	3	2
146	например в	2	2
147	большей частью	4	2
148	то как	2	2
149	всяком случае	2	2
150	но мы	3	2
151	то это	3	2
152	он может	2	2
153	благодаря этому	3	2
154	дело не	2	2
155	со стороны	3	2
156	что же	2	2
157	целый ряд	3	2
158	что его	2	2
159	так же	3	2
160	нами в	2	2
161	в виде	2	2
162	а с	2	2
163	и по	2	2
164	в качестве	5	2
165	представляет собой	17	2
166	но как	2	2
167	заставляет его	2	2
168	представляют собой	11	2
169	заметить что	8	2
170	ничего не	4	2
