N	2gram	Trubetskoy_1	FransuaR
1	и в	14	41
2	таким образом	11	19
3	в этом	17	15
4	как и	4	14
5	в этой	4	13
6	то же	11	13
7	все эти	2	13
8	мы уже	2	12
9	в его	4	12
10	прежде всего	8	11
11	в том	17	11
12	в себе	9	11
13	все это	6	10
14	в то	10	10
15	в качестве	3	9
16	не в	4	9
17	же время	10	9
18	но и	10	9
19	в своем	6	9
20	что в	4	9
21	в конце	3	8
22	и от	2	8
23	по существу	5	8
24	то что	13	8
25	но в	2	8
26	как бы	4	7
27	в нем	5	7
28	и не	19	7
29	у него	2	6
30	все они	3	6
31	ни в	2	6
32	для него	6	6
33	только в	5	6
34	о том	7	6
35	не только	9	5
36	и к	6	5
37	в другое	4	5
38	в ней	2	5
39	вместе с	4	5
40	что и	3	5
41	а в	5	5
42	к нему	2	5
43	и для	6	5
44	так же	2	5
45	точки зрения	11	5
46	потому что	5	5
47	на земле	4	4
48	место в	2	4
49	что это	3	4
50	том что	9	4
51	одна из	3	4
52	все что	4	4
53	было бы	5	4
54	может быть	9	4
55	он не	5	4
56	на этой	2	4
57	целый ряд	2	4
58	и наконец	2	4
59	должно быть	3	4
60	и на	5	4
61	и с	7	4
62	конце концов	3	4
63	и есть	2	3
64	во время	2	3
65	и потому	3	3
66	это в	2	3
67	в мире	4	3
68	но это	2	3
69	по этому	2	3
70	в своей	5	3
71	есть и	2	3
72	при этом	5	3
73	из них	3	3
74	несмотря на	3	3
75	таким же	3	3
76	что он	6	3
77	проявляется в	2	3
78	жизни и	4	3
79	во всех	5	3
80	в их	4	3
81	не может	22	3
82	не было	3	3
83	тем самым	2	3
84	за то	2	3
85	с точки	9	3
86	и по	3	3
87	и те	2	3
88	можно было	4	3
89	не подлежит	2	3
90	тем что	3	3
91	его в	4	3
92	так как	4	3
93	что все	3	2
94	именно в	3	2
95	никогда не	5	2
96	в этих	2	2
97	и во	3	2
98	с этим	2	2
99	а следовательно	3	2
100	на самом	6	2
101	том и	2	2
102	о котором	3	2
103	к тому	7	2
104	следовательно и	2	2
105	и как	3	2
106	из всех	2	2
107	более или	4	2
108	в большинстве	3	2
109	еще не	3	2
110	того что	3	2
111	вся эта	2	2
112	на том	3	2
113	одной из	3	2
114	не есть	3	2
115	благодаря этому	2	2
116	время в	2	2
117	весьма часто	2	2
118	или менее	4	2
119	по отношению	2	2
120	в течение	2	2
121	не просто	2	2
122	и вот	2	2
123	только на	2	2
124	для всех	6	2
125	в значительной	3	2
126	а не	2	2
127	из которых	5	2
128	уже не	2	2
129	на которой	2	2
130	или в	3	2
131	в данном	7	2
132	и то	4	2
133	в результате	2	2
134	их в	2	2
135	во всяком	9	2
136	которой он	4	2
137	и т.д	4	2
138	большинстве случаев	2	2
139	с ним	2	2
140	в области	2	2
