N	2gram	Nazirov_Vr_1	Hudozhes
1	в мире	2	23
2	и не	5	16
3	в том	3	15
4	и в	8	15
5	не только	9	15
6	может быть	4	13
7	тогда как	2	13
8	при этом	4	12
9	а в	2	12
10	и его	3	12
11	в этом	8	11
12	в себе	2	11
13	как бы	4	10
14	но и	7	10
15	то же	5	10
16	в его	3	9
17	точки зрения	2	9
18	в то	5	7
19	но в	6	7
20	с его	3	6
21	что в	7	6
22	том что	3	6
23	же время	5	6
24	отношение к	2	6
25	не может	2	6
26	а также	2	5
27	в нем	6	5
28	то что	7	5
29	и т.п	2	5
30	уже не	2	5
31	место в	2	4
32	и как	3	4
33	для него	2	4
34	еще не	2	4
35	он не	3	4
36	в своей	2	4
37	отношения к	2	4
38	и то	2	4
39	между тем	5	4
40	не менее	2	3
41	это не	4	3
42	что он	4	3
43	в свою	2	3
44	о чем	2	3
45	как раз	2	3
46	далеко не	3	3
47	так в	2	3
48	таким образом	2	3
49	как и	6	3
50	в той	2	3
51	и что	8	3
52	с точки	2	3
53	их в	2	3
54	но он	3	3
55	и ее	2	3
56	в русской	3	3
57	его в	3	3
58	человека с	2	3
59	в виду	4	3
60	я не	3	2
61	речь идет	3	2
62	в своем	3	2
63	в них	2	2
64	об этом	5	2
65	тем более	2	2
66	одна из	2	2
67	несмотря на	4	2
68	и о	3	2
69	русской литературе	3	2
70	в романе	6	2
71	а с	2	2
72	в году	18	2
73	так же	4	2
74	с ним	4	2
75	у него	5	2
76	о себе	3	2
77	но как	2	2
78	начиная с	2	2
79	в этой	2	2
80	о том	4	2
81	и это	2	2
82	в чем	3	2
