N	2gram	Vygotskiy__7	SlovoVZh
1	не может	11	16
2	точки зрения	28	14
3	может быть	7	14
4	и его	12	13
5	как бы	6	13
6	таким образом	23	12
7	и в	26	12
8	в нашем	4	11
9	отношению к	5	11
10	по отношению	6	11
11	и не	18	10
12	если бы	5	9
13	так как	14	9
14	прежде всего	7	8
15	для нас	2	7
16	сказать что	8	7
17	в нем	2	6
18	в процессе	5	6
19	с помощью	13	6
20	в том	18	6
21	только в	8	6
22	слова и	10	6
23	в ней	3	6
24	то что	24	5
25	никогда не	4	5
26	а не	6	5
27	можно сказать	5	5
28	то же	8	5
29	как и	15	5
30	том что	17	5
31	как в	4	5
32	что мы	9	5
33	и следовательно	5	5
34	но в	4	5
35	мы ни	2	5
36	в виду	5	5
37	и к	7	4
38	все же	6	4
39	отношение к	2	4
40	так и	3	4
41	с другой	4	4
42	на самом	3	4
43	что не	2	4
44	не в	4	4
45	в этом	29	4
46	его в	2	4
47	в самом	9	4
48	к нему	3	4
49	свое выражение	8	4
50	и является	3	4
51	не только	24	4
52	в котором	4	3
53	находит свое	3	3
54	не менее	4	3
55	в своей	3	3
56	сих пор	3	3
57	все это	3	3
58	как к	3	3
59	и по	3	3
60	все эти	6	3
61	в такой	4	3
62	по себе	3	3
63	этой точки	4	3
64	но и	11	3
65	того что	14	3
66	и наконец	4	3
67	тем не	3	3
68	ни в	2	3
69	так же	14	3
70	самом деле	6	3
71	мы не	7	3
72	и с	5	3
73	о том	4	3
74	нуждается в	3	3
75	и ее	2	3
76	в себе	9	3
77	для него	3	3
78	до сих	3	3
79	еще не	4	3
80	только на	3	3
81	и для	5	3
82	из этого	2	3
83	внутренней речи	67	3
84	с ним	3	3
85	но для	2	3
86	имеет в	3	3
87	и значение	5	2
88	уже в	2	2
89	с этой	5	2
90	но мы	3	2
91	что и	3	2
92	что в	12	2
93	данном случае	5	2
94	вместе с	12	2
95	себя и	2	2
96	значения и	3	2
97	в этих	2	2
98	между собой	6	2
99	в отношении	2	2
100	точку зрения	2	2
101	в какой	6	2
102	что слово	2	2
103	это не	3	2
104	вещи и	2	2
105	разрыв между	2	2
106	тогда когда	5	2
107	этих двух	2	2
108	речи в	27	2
109	по природе	2	2
110	с одной	5	2
111	к этому	2	2
112	его к	2	2
113	и слово	3	2
114	и что	6	2
115	ко всем	2	2
116	слова но	3	2
117	едва ли	4	2
118	не есть	4	2
119	словом и	10	2
120	с точки	21	2
121	и здесь	2	2
122	же самое	5	2
123	как на	6	2
124	стороны и	4	2
125	с другими	3	2
126	для других	15	2
127	но это	3	2
128	такой же	3	2
129	в данном	5	2
130	и то	7	2
131	нас и	2	2
132	мы можем	3	2
133	в момент	4	2
134	но не	3	2
135	могут быть	2	2
136	одно и	3	2
137	выражение в	6	2
138	до конца	5	2
139	она не	5	2
140	в то	3	2
141	одной стороны	5	2
142	мы в	3	2
143	но этот	2	2
144	если же	2	2
145	к слову	14	2
146	имеет место	4	2
147	которые мы	4	2
148	в чем	3	2
149	как это	5	2
150	ничего не	2	2
151	к его	2	2
152	совпадает с	3	2
153	он не	3	2
154	в основном	3	2
155	в его	4	2
156	и потому	3	2
157	относится к	2	2
158	между ними	3	2
