N	2gram	Medvedev_U_1	slovoVRo
1	и в	14	39
2	может быть	6	37
3	не только	10	24
4	и не	8	22
5	но и	4	21
6	не может	7	20
7	все это	5	16
8	в этом	7	16
9	а не	10	14
10	не в	2	9
11	и с	2	9
12	прежде всего	8	8
13	таким образом	2	8
14	с его	2	7
15	для него	3	7
16	в его	2	7
17	могут быть	2	7
18	все же	3	6
19	как и	3	6
20	но не	2	6
21	но в	3	6
22	не могут	2	5
23	с другой	4	5
24	это не	3	5
25	и для	2	5
26	по себе	2	5
27	том что	2	5
28	только в	2	5
29	в том	2	5
30	конечно не	4	5
31	всех этих	2	4
32	же время	3	4
33	для этого	3	4
34	то же	5	4
35	для всех	2	4
36	даже и	2	4
37	в то	3	4
38	истории литературы	3	3
39	материала и	2	3
40	хотя бы	5	3
41	не столько	2	3
42	должна быть	2	3
43	что и	2	3
44	но это	2	3
45	в некоторых	2	3
46	бы и	2	3
47	этом отношении	2	3
48	не приходится	2	3
49	между тем	2	3
50	его и	2	2
51	материал для	2	2
52	в себе	2	2
53	что он	2	2
54	на каждом	2	2
55	не все	2	2
56	сих пор	2	2
57	то что	7	2
58	все они	2	2
59	каждом шагу	2	2
60	в их	4	2
61	мы не	2	2
62	одним из	2	2
63	именно как	2	2
64	в противовес	2	2
65	в области	3	2
66	до сих	2	2
