N	2gram	Bakhtin_Fr_7	Psycholo
1	и в	41	38
2	то что	8	35
3	все время	2	30
4	в том	11	25
5	что в	9	20
6	может быть	4	19
7	точки зрения	5	16
8	в ней	5	15
9	то есть	20	15
10	том что	4	14
11	как бы	7	14
12	потому что	5	14
13	в этой	13	13
14	в этом	15	13
15	мы видим	6	12
16	было бы	4	12
17	не только	5	12
18	таким образом	19	12
19	не в	9	12
20	что он	3	11
21	что это	4	10
22	в сущности	4	10
23	то же	13	10
24	и не	7	10
25	и все	14	10
26	с точки	3	9
27	перед нами	2	8
28	с этим	2	8
29	в одном	3	8
30	вовсе не	7	8
31	как и	14	8
32	и как	2	8
33	говорит что	2	8
34	и то	2	8
35	и это	5	8
36	а не	2	7
37	не может	3	7
38	что у	3	7
39	как мы	11	7
40	а в	5	7
41	мы уже	12	7
42	все то	3	7
43	из них	3	6
44	и здесь	4	6
45	к тому	2	6
46	мы видели	5	6
47	с самого	2	6
48	не имеет	3	6
49	он не	4	6
50	так как	3	6
51	и его	9	6
52	и на	4	6
53	в которых	2	6
54	о том	6	6
55	я не	3	5
56	в своем	9	5
57	на этом	5	5
58	несмотря на	3	5
59	в своей	3	5
60	время в	2	5
61	вместе с	5	5
62	но и	9	5
63	в той	3	5
64	или в	2	5
65	мы не	2	5
66	о котором	2	5
67	в его	12	5
68	так сказать	3	5
69	в которой	2	5
70	никогда не	2	4
71	в свою	3	4
72	по своему	2	4
73	при этом	3	4
74	и для	5	4
75	во всех	3	4
76	не мог	2	4
77	в нем	7	4
78	что и	5	4
79	как в	5	4
80	в течение	2	4
81	все эти	13	4
82	того что	2	4
83	из которых	2	4
84	у него	6	4
85	только в	6	4
86	одна из	4	4
87	в себе	11	4
88	в виду	4	4
89	место в	4	3
90	где она	2	3
91	в них	7	3
92	та же	4	3
93	что все	2	3
94	к этому	5	3
95	из одного	4	3
96	и к	5	3
97	ни в	6	3
98	он был	3	3
99	но это	3	3
100	совсем не	3	3
101	весь этот	2	3
102	того же	3	3
103	одно и	2	3
104	тот же	2	3
105	должен быть	2	3
106	уже говорили	4	3
107	все это	10	3
108	одновременно и	2	3
109	и заставляет	2	3
110	из всех	2	3
111	того как	5	3
112	тем что	3	3
113	далеко не	2	3
114	в то	10	3
115	бы в	2	3
116	его в	3	3
117	в плане	5	3
118	но в	8	3
119	одного из	2	2
120	в данном	2	2
121	он хочет	6	2
122	и другие	3	2
123	в этих	2	2
124	все они	6	2
125	и во	2	2
126	на самом	2	2
127	во всяком	2	2
128	на всю	2	2
129	и ее	2	2
130	очень часто	3	2
131	же в	2	2
132	до конца	2	2
133	уже не	2	2
134	по существу	8	2
135	в нее	3	2
136	такой же	3	2
137	у них	2	2
138	есть в	6	2
139	свою очередь	3	2
140	для него	6	2
141	слов и	4	2
142	и может	2	2
143	со всеми	2	2
144	том как	2	2
145	образом и	2	2
146	в первой	2	2
147	мы в	2	2
148	например в	3	2
149	но он	4	2
150	все те	2	2
151	с ее	3	2
152	он может	3	2
153	благодаря этому	2	2
154	не знаем	2	2
155	места в	2	2
156	дело не	2	2
157	к самому	2	2
158	всего этого	2	2
159	целый ряд	4	2
160	так же	5	2
161	в одной	2	2
162	не просто	2	2
163	и вот	2	2
164	для всех	2	2
165	и наконец	4	2
166	и по	3	2
167	мы найдем	3	2
168	и всегда	2	2
169	той же	3	2
170	в качестве	9	2
171	в конце	8	2
172	их в	2	2
173	объединяет в	2	2
174	его к	3	2
175	с ним	2	2
176	ничего не	4	2
177	том и	2	2
