N	2gram	Medvedev_F_3	FransuaR
1	и в	27	45
2	и не	30	15
3	не только	9	14
4	в этом	18	14
5	но в	6	14
6	в его	7	13
7	во всех	3	13
8	и его	19	13
9	как бы	8	12
10	что в	8	12
11	в своем	2	11
12	в романе	4	11
13	то же	15	11
14	в то	7	11
15	прежде всего	4	10
16	в том	7	10
17	в нем	15	10
18	но и	10	10
19	как и	14	10
20	и с	3	10
21	же время	7	9
22	вовсе не	28	8
23	как мы	8	8
24	в ней	5	8
25	и др	2	8
26	жизни и	4	8
27	таким образом	18	8
28	в самой	2	8
29	так же	9	8
30	с его	2	7
31	в конце	3	7
32	он был	4	7
33	том что	4	7
34	не в	12	7
35	что и	2	7
36	мы видели	4	7
37	все это	7	7
38	в эпоху	3	7
39	потому что	7	7
40	и все	8	7
41	всех этих	2	6
42	что он	6	6
43	в этой	2	6
44	здесь не	2	6
45	так и	21	6
46	того чтобы	5	6
47	для того	4	6
48	связи с	5	6
49	так как	9	6
50	в них	3	6
51	здесь и	6	5
52	одной из	2	5
53	это и	2	5
54	но это	2	5
55	на этом	2	5
56	одним из	3	5
57	с ее	2	5
58	от всех	4	5
59	и их	5	5
60	как раз	8	5
61	не может	24	5
62	в связи	4	5
63	этом отношении	3	5
64	все эти	6	5
65	на самом	14	5
66	самом деле	16	5
67	и как	4	5
68	и на	3	5
69	его в	7	5
70	же как	3	4
71	характерно что	2	4
72	и во	2	4
73	и от	11	4
74	мы не	4	4
75	до известной	2	4
76	такой же	2	4
77	но не	5	4
78	ничего не	2	4
79	в самом	11	4
80	в сущности	2	4
81	в общем	2	4
82	мы уже	3	4
83	известной степени	2	4
84	эта связь	2	4
85	а не	17	4
86	и даже	2	4
87	той же	3	4
88	сказать что	3	4
89	в основе	3	4
90	чем же	2	4
91	точки зрения	16	4
92	только в	8	4
93	о том	4	4
94	связаны с	2	4
95	и это	2	4
96	бы в	6	4
97	как это	4	4
98	не менее	7	3
99	поэтому и	2	3
100	нисколько не	2	3
101	от его	3	3
102	как в	4	3
103	вообще не	2	3
104	это не	3	3
105	в одной	5	3
106	из этих	2	3
107	в пределе	2	3
108	ни в	8	3
109	того же	3	3
110	в своей	6	3
111	дело идет	3	3
112	от того	2	3
113	не могло	2	3
114	вместе с	6	3
115	что она	2	3
116	с помощью	8	3
117	того что	3	3
118	менее всего	4	3
119	и для	6	3
120	в которых	3	3
121	нуждается в	3	3
122	он и	3	3
123	в поэзии	3	3
124	как он	2	3
125	дело в	2	3
126	там где	7	3
127	не могут	10	2
128	если мы	7	2
129	с тем	7	2
130	независимо от	5	2
131	на фоне	3	2
132	в сторону	2	2
133	мы еще	2	2
134	жизни в	3	2
135	говорить о	2	2
136	превращается в	2	2
137	хотя бы	6	2
138	перестает быть	2	2
139	переходит в	2	2
140	на все	2	2
141	к этому	2	2
142	из своих	2	2
143	в условиях	3	2
144	можно сказать	3	2
145	не нуждается	3	2
146	к тому	4	2
147	в отношении	2	2
148	отличие от	2	2
149	то что	8	2
150	как ее	4	2
151	в пределах	8	2
152	они и	3	2
153	в большинстве	4	2
154	для них	7	2
155	было бы	6	2
156	что это	3	2
157	конечно не	4	2
158	может быть	25	2
159	еще в	3	2
160	даже в	2	2
161	нет и	3	2
162	произведение в	4	2
163	должен быть	2	2
164	в каждом	5	2
165	слова и	4	2
166	все же	6	2
167	в целом	4	2
168	данном случае	4	2
169	так в	2	2
170	в отличие	2	2
171	и только	2	2
172	при этом	8	2
173	становления и	2	2
174	но эта	2	2
175	в истории	5	2
176	чтобы не	2	2
177	можно говорить	4	2
178	лишь в	9	2
179	и что	3	2
180	с точки	14	2
181	и притом	2	2
182	роль в	4	2
183	жизнь и	3	2
184	в данном	6	2
185	между тем	7	2
186	мы можем	4	2
187	ту же	2	2
188	же самое	3	2
189	большинстве случаев	5	2
190	в эту	2	2
191	том как	2	2
192	от этого	2	2
