N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	45
2	то есть	12	25
3	и т.п	4	16
4	и не	13	15
5	не только	16	14
6	в этом	8	14
7	но в	9	14
8	в его	6	13
9	и его	8	13
10	как бы	5	12
11	что в	9	12
12	в своем	4	11
13	в романе	3	11
14	то же	7	11
15	в то	6	11
16	прежде всего	2	10
17	в том	16	10
18	в нем	4	10
19	но и	9	10
20	как и	4	10
21	же время	5	9
22	в эпизоде	3	9
23	вовсе не	3	8
24	таким образом	3	8
25	в самой	2	8
26	так же	2	8
27	с его	5	7
28	в конце	2	7
29	том что	9	7
30	не в	7	7
31	что и	2	7
32	все это	2	7
33	потому что	3	7
34	в этой	3	6
35	он не	3	6
36	так и	10	6
37	в них	2	6
38	и к	3	5
39	одной из	2	5
40	человека с	2	5
41	одним из	2	5
42	хотя и	3	5
43	в акте	2	5
44	с ее	3	5
45	как раз	2	5
46	не может	4	5
47	все эти	2	5
48	в себя	3	5
49	и как	2	5
50	его в	2	5
51	перед нами	2	4
52	об этом	2	4
53	том числе	2	4
54	до известной	2	4
55	и здесь	2	4
56	но не	9	4
57	по своему	2	4
58	своего рода	7	4
59	в самом	4	4
60	первой части	2	4
61	и о	4	4
62	известной степени	3	4
63	а также	6	4
64	в первой	5	4
65	в их	2	4
66	а не	9	4
67	и даже	2	4
68	а в	13	4
69	сказать что	3	4
70	в основе	3	4
71	точки зрения	9	4
72	только в	6	4
73	и это	2	4
74	как это	8	4
75	это было	2	4
76	не менее	4	3
77	и другие	2	3
78	как в	5	3
79	это не	2	3
80	из этих	3	3
81	в одном	2	3
82	ни в	2	3
83	есть в	2	3
84	того же	3	3
85	для него	2	3
86	в своей	6	3
87	не могло	2	3
88	вместе с	2	3
89	но она	2	3
90	что она	2	3
91	и одновременно	4	3
92	именно в	3	3
93	и вот	3	3
94	того что	4	3
95	и для	2	3
96	но он	3	3
97	в другом	3	3
98	в поэзии	2	3
99	дело в	2	3
100	не могут	2	2
101	делает его	2	2
102	если мы	2	2
103	на фоне	2	2
104	жизни в	2	2
105	говорить о	3	2
106	превращается в	2	2
107	он должен	2	2
108	можно сказать	3	2
109	к тому	2	2
110	в отношении	3	2
111	отличие от	6	2
112	своей жизни	2	2
113	то что	3	2
114	в пределах	5	2
115	в качестве	24	2
116	в большинстве	2	2
117	может быть	17	2
118	но их	3	2
119	если в	2	2
120	даже в	3	2
121	один из	2	2
122	в целом	3	2
123	во второй	7	2
124	данном случае	5	2
125	а именно	2	2
126	во времени	3	2
127	так в	4	2
128	в отличие	6	2
129	при этом	12	2
130	в одно	2	2
131	лишь в	6	2
132	и что	3	2
133	и больше	2	2
134	с точки	3	2
135	и притом	2	2
136	роль в	2	2
137	в данном	8	2
138	между тем	5	2
139	и т.д	3	2
140	говорит и	2	2
