N	2gram	Losev_Dial_2	VerxiiNi
1	и в	19	26
2	таким образом	4	22
3	с тем	2	18
4	вместе с	2	15
5	в этом	8	15
6	точки зрения	12	13
7	как бы	14	12
8	в том	14	11
9	может быть	20	10
10	не только	19	10
11	и с	5	10
12	связи с	4	9
13	что в	7	9
14	но и	12	9
15	в области	2	9
16	так как	14	9
17	с другой	5	8
18	но не	6	8
19	в общем	2	8
20	и не	30	8
21	том что	10	7
22	но все	2	7
23	из них	3	7
24	к нему	4	7
25	то что	14	7
26	с одной	2	7
27	потому что	14	7
28	но в	2	7
29	в конце	2	6
30	к тому	2	6
31	и потому	5	6
32	несмотря на	2	6
33	всяком случае	2	6
34	что и	5	6
35	все же	4	6
36	так и	10	6
37	все это	4	6
38	все эти	2	6
39	с точки	8	6
40	во всяком	2	6
41	в себе	15	6
42	мы должны	2	6
43	о том	5	6
44	и к	7	5
45	крайней мере	9	5
46	до сих	2	5
47	никогда не	9	5
48	сих пор	2	5
49	или менее	2	5
50	так же	2	5
51	а не	16	5
52	в силу	5	5
53	в мире	2	5
54	более или	2	5
55	по крайней	9	5
56	в этих	3	4
57	и от	3	4
58	что он	6	4
59	в нем	10	4
60	в смысле	5	4
61	в самом	5	4
62	не может	9	4
63	и только	4	4
64	а в	4	4
65	то же	12	4
66	что оно	4	4
67	и что	5	4
68	и тогда	3	4
69	и по	4	4
70	во время	2	4
71	в виде	2	4
72	он не	4	4
73	в то	6	4
74	только в	5	4
75	в этой	3	4
76	не менее	3	3
77	же как	3	3
78	что это	10	3
79	так или	2	3
80	хотя бы	4	3
81	ясно что	4	3
82	можно сказать	5	3
83	с самого	2	3
84	так что	7	3
85	и как	10	3
86	и при	2	3
87	в своем	4	3
88	и нет	2	3
89	и если	4	3
90	если в	2	3
91	тем не	2	3
92	к сожалению	2	3
93	в связи	4	3
94	при этом	4	3
95	культуры и	2	3
96	уже не	3	3
97	того что	6	3
98	и даже	14	3
99	в которой	2	3
100	в таком	4	3
101	или иначе	2	3
102	в результате	2	3
103	что эти	2	3
104	в одном	4	3
105	уже в	4	2
106	или иное	4	2
107	не могут	4	2
108	самого начала	2	2
109	только не	2	2
110	именно в	2	2
111	одно из	4	2
112	связана с	2	2
113	взгляд на	2	2
114	не как	2	2
115	тогда когда	6	2
116	на все	2	2
117	прежде всего	8	2
118	большею частью	2	2
119	тех пор	3	2
120	этого последнего	2	2
121	по своему	5	2
122	же время	5	2
123	что мы	2	2
124	с целью	2	2
125	еще не	4	2
126	религия без	3	2
127	и из	3	2
128	конечно не	6	2
129	той или	4	2
130	жизни и	6	2
131	то или	4	2
132	во всех	2	2
133	быть и	4	2
134	только что	5	2
135	иной раз	5	2
136	грань между	3	2
137	в разных	3	2
138	не было	3	2
139	мы имеем	3	2
140	можно только	2	2
141	отвлеченные понятия	2	2
142	в одно	5	2
143	в другое	2	2
144	его не	2	2
145	с тех	2	2
146	сказать что	10	2
147	не в	8	2
148	еще на	2	2
149	различия между	2	2
150	по своей	4	2
151	о котором	3	2
152	или по	2	2
153	же самое	2	2
154	и все	12	2
155	так чтобы	2	2
156	и это	5	2
157	не потому	6	2
158	между тем	2	2
159	в виду	5	2
