N	2gram	Bakhtin_fo_1	Myshleni
1	и речи	5	38
2	точки зрения	5	26
3	таким образом	11	26
4	в том	9	24
5	и в	50	23
6	том что	4	21
7	в целом	2	20
8	с точки	2	18
9	того чтобы	5	17
10	то что	6	17
11	в этом	25	17
12	так же	6	16
13	не только	9	16
14	того что	2	15
15	для того	5	15
16	что в	5	14
17	может быть	11	14
18	но и	8	14
19	как и	8	14
20	в его	13	14
21	речи в	2	14
22	с помощью	2	13
23	не может	6	12
24	как бы	2	11
25	сказать что	3	11
26	с другой	2	10
27	прежде всего	15	10
28	в отношении	3	10
29	в качестве	3	9
30	одной стороны	2	9
31	не является	2	9
32	и не	14	9
33	и с	4	9
34	вместе с	3	9
35	самого начала	2	8
36	с самого	2	8
37	с одной	3	8
38	этой проблемы	2	8
39	и на	8	8
40	в основе	5	8
41	в процессе	4	8
42	то же	11	8
43	вопрос о	2	7
44	в самом	8	7
45	по отношению	3	7
46	в то	9	7
47	так как	6	7
48	с тем	3	7
49	отношению к	5	7
50	мы не	3	7
51	и ее	3	7
52	же как	2	6
53	между этими	4	6
54	все это	4	6
55	именно в	3	6
56	лишь в	6	6
57	потому что	4	6
58	с этим	6	6
59	в сущности	3	6
60	по сравнению	2	6
61	связь между	2	6
62	и его	16	6
63	тем что	2	6
64	в себе	3	6
65	только в	4	6
66	то время	4	5
67	и как	10	5
68	по себе	2	5
69	что мы	2	5
70	мы должны	2	5
71	и все	6	5
72	если бы	5	5
73	но в	10	5
74	между собой	4	5
75	сравнению с	2	5
76	он не	5	5
77	слова и	2	5
78	так и	12	5
79	как мы	14	5
80	но не	5	4
81	что все	2	4
82	в свою	2	4
83	не в	5	4
84	при этом	3	4
85	время как	5	4
86	в котором	4	4
87	все эти	9	4
88	этом отношении	3	4
89	в результате	6	4
90	их в	3	4
91	с его	9	4
92	для всех	2	4
93	в одном	3	4
94	к этому	3	4
95	и к	2	4
96	по существу	12	4
97	в чем	2	4
98	было бы	2	4
99	к тому	3	4
100	для себя	7	4
101	в своей	2	4
102	сих пор	3	4
103	как в	6	4
104	во всей	3	4
105	как раз	13	4
106	хотя бы	2	4
107	мы видим	3	4
108	ни в	8	4
109	до сих	3	4
110	уже в	2	3
111	в своем	4	3
112	мы и	4	3
113	смысле слова	2	3
114	и следовательно	4	3
115	друг другу	2	3
116	значение в	5	3
117	в их	6	3
118	отношения к	3	3
119	и других	3	3
120	мы находим	2	3
121	в которых	2	3
122	вовсе не	13	3
123	во всем	2	3
124	как он	2	3
125	тогда когда	2	3
126	не могло	5	3
127	об этом	2	3
128	во всех	6	3
129	человека и	11	3
130	все же	6	3
131	а не	3	3
132	и то	4	3
133	во всяком	3	3
134	могут быть	5	3
135	мы говорили	3	3
136	всей его	2	3
137	в каком	2	3
138	связи с	6	3
139	и это	4	3
140	в которой	2	3
141	ничего не	9	3
142	в основу	3	2
143	в частности	6	2
144	никогда не	2	2
145	в нашем	2	2
146	точку зрения	2	2
147	в конце	9	2
148	как если	2	2
149	но все	5	2
150	же время	9	2
151	для него	2	2
152	хотя и	3	2
153	был бы	3	2
154	не имеет	4	2
155	один из	3	2
156	не к	2	2
157	жизни и	8	2
158	и до	5	2
159	той же	2	2
160	и даже	2	2
161	а в	3	2
162	и те	3	2
163	одно из	3	2
164	в этих	3	2
165	тех же	2	2
166	от этого	2	2
167	всех этих	5	2
168	в них	4	2
169	он должен	2	2
170	в стороне	2	2
171	ясно что	2	2
172	есть не	3	2
173	в ее	6	2
174	в значительной	2	2
175	одно и	3	2
176	со всеми	3	2
177	себе и	3	2
178	том же	2	2
179	и потому	3	2
180	все другие	2	2
181	ее в	2	2
182	в течение	2	2
183	если мы	2	2
184	уже не	2	2
185	между ними	3	2
186	с другими	3	2
187	в данном	2	2
188	можно назвать	2	2
189	между двумя	6	2
190	его на	2	2
191	дело в	2	2
192	к другу	2	2
193	этими двумя	3	2
194	там где	2	2
