N	2gram	Trubetskoy_1	Dialekti
1	не есть	3	54
2	и не	19	27
3	а не	2	26
4	точки зрения	11	25
5	и в	14	24
6	и т	3	24
7	не только	9	23
8	что такое	2	21
9	по себе	2	20
10	не может	22	19
11	не просто	2	18
12	и есть	2	16
13	и что	2	15
14	что все	3	14
15	в таком	2	14
16	то что	13	14
17	с точки	9	14
18	может быть	9	13
19	таким образом	11	13
20	и даже	2	13
21	что он	6	13
22	что это	3	12
23	того что	3	12
24	есть и	2	12
25	что же	4	11
26	отнюдь не	7	10
27	ни в	2	9
28	то это	3	9
29	но и	10	9
30	прежде всего	8	8
31	так что	2	8
32	и как	3	8
33	это есть	2	8
34	отличается от	2	8
35	том что	9	8
36	в этом	17	8
37	в виде	3	8
38	если же	2	8
39	что в	4	7
40	никогда не	5	7
41	в самом	3	7
42	что оно	3	7
43	потому что	5	7
44	даже и	2	7
45	ясно что	2	7
46	как и	4	7
47	только на	2	7
48	– не	2	7
49	должна быть	2	6
50	но если	3	6
51	все это	6	6
52	и только	5	6
53	и с	7	6
54	о том	7	6
55	так как	4	6
56	если бы	6	6
57	что и	3	6
58	даже не	2	6
59	то же	11	6
60	самом деле	7	6
61	можно ли	3	5
62	в том	17	5
63	но это	2	5
64	жизни и	4	5
65	как на	8	5
66	что для	3	5
67	в то	10	5
68	вопрос о	5	5
69	тогда когда	4	5
70	и к	6	5
71	было бы	5	5
72	он не	5	5
73	и тогда	2	5
74	уже не	2	5
75	только в	5	5
76	если только	2	4
77	тому что	2	4
78	не могут	4	4
79	или иной	5	4
80	сама по	2	4
81	к тому	7	4
82	хотя бы	5	4
83	во что	3	4
84	так же	2	4
85	говорить о	3	4
86	конечно не	5	4
87	от того	4	4
88	и то	4	4
89	ни от	2	4
90	для него	6	4
91	не было	3	3
92	все же	4	3
93	но даже	2	3
94	в своем	6	3
95	и от	2	3
96	не в	4	3
97	она не	2	3
98	же время	10	3
99	он будет	4	3
100	в нем	5	3
101	из них	3	3
102	все эти	2	3
103	того или	2	3
104	должно быть	3	3
105	друг друга	3	3
106	и на	5	3
107	с этим	2	3
108	мы уже	2	3
109	во всем	4	3
110	и ни	3	3
111	себя как	2	3
112	ни к	7	3
113	тем что	3	3
114	он должен	5	3
115	на себя	2	3
116	в силу	2	3
117	на то	5	3
118	одна из	3	3
119	все что	4	3
120	и о	2	3
121	при условии	3	3
122	но она	2	3
123	не будет	7	3
124	как бы	4	3
125	быть и	2	3
126	если не	2	3
127	тем самым	2	3
128	для того	6	3
129	из которых	5	3
130	к нему	2	3
131	чтобы она	2	2
132	зависит от	2	2
133	в частности	2	2
134	из этих	3	2
135	точно так	2	2
136	для нас	2	2
137	еще не	3	2
138	не можем	2	2
139	при этом	5	2
140	несмотря на	3	2
141	и если	7	2
142	но для	2	2
143	не о	2	2
144	той или	3	2
145	и является	2	2
146	себя и	5	2
147	всяком случае	6	2
148	но совершенно	2	2
149	совершенно не	2	2
150	и тем	2	2
151	сами эти	2	2
152	целый ряд	2	2
153	для этого	3	2
154	именно в	3	2
155	и вот	2	2
156	и по	3	2
157	а в	5	2
158	в своих	6	2
159	людей и	2	2
160	их в	2	2
161	в ней	2	2
162	раз навсегда	2	2
163	для себя	2	2
164	и потому	3	2
165	к этой	4	2
166	но в	2	2
167	этого не	2	2
168	у него	2	2
169	бы его	2	2
170	и во	3	2
171	в их	4	2
172	их не	2	2
173	или иного	2	2
174	по существу	5	2
175	то в	3	2
176	так чтобы	3	2
177	но не	4	2
178	только к	3	2
179	со стороны	4	2
180	себя в	4	2
181	ее в	2	2
182	на основании	2	2
183	даже если	2	2
184	следовательно и	2	2
185	и для	6	2
186	или в	3	2
187	в данном	7	2
188	бы то	4	2
189	во всяком	9	2
190	в себе	9	2
191	из этого	3	2
192	в его	4	2
