N	2gram	Medvedev_F_3	Problema
1	в его	7	43
2	и не	30	42
3	и в	27	38
4	познания и	2	30
5	не может	24	27
6	может быть	25	26
7	как бы	8	22
8	по отношению	3	21
9	в художественном	5	20
10	отнюдь не	8	19
11	отношению к	3	19
12	и с	3	17
13	и его	19	16
14	в нем	15	15
15	в этом	18	15
16	и т	11	14
17	независимо от	5	13
18	прежде всего	4	13
19	только в	8	13
20	т п	5	13
21	художественного творчества	2	12
22	за пределы	2	12
23	в искусстве	7	12
24	в единстве	5	12
25	но не	5	12
26	ни в	8	11
27	к материалу	3	11
28	художественного произведения	7	11
29	во всех	3	11
30	и для	6	11
31	в области	2	11
32	таким образом	18	10
33	материала в	5	10
34	в поэзии	3	9
35	но и	10	9
36	его в	7	9
37	не только	9	9
38	место в	10	8
39	в том	7	8
40	и как	4	8
41	и др	2	8
42	точки зрения	16	8
43	произведения как	6	8
44	было бы	6	8
45	то что	8	8
46	входит в	8	8
47	художественное произведение	11	8
48	что в	8	7
49	с другой	6	7
50	вообще не	2	7
51	с помощью	8	7
52	не в	12	7
53	в самом	11	7
54	между тем	7	7
55	как и	14	7
56	еще не	6	7
57	совершенно не	7	7
58	в своей	6	7
59	как мы	8	7
60	в пределах	8	6
61	содержания и	4	6
62	можно только	2	6
63	вне искусства	3	6
64	произведение в	4	6
65	не есть	4	6
66	все же	6	6
67	дело с	3	6
68	самом деле	16	6
69	с точки	14	6
70	мы можем	4	6
71	там где	7	6
72	отношения к	2	6
73	ничего не	2	6
74	творчества и	3	5
75	то же	15	5
76	в своем	2	5
77	это не	3	5
78	формы и	3	5
79	высшей степени	2	5
80	при этом	8	5
81	имеет место	3	5
82	никогда не	5	5
83	все эти	6	5
84	в основе	3	5
85	может иметь	2	5
86	произведения в	6	5
87	в них	3	5
88	в высшей	2	5
89	художественном произведении	3	5
90	конечно не	4	5
91	в большинстве	4	5
92	так и	21	5
93	не на	3	5
94	в отличие	2	5
95	большинстве случаев	5	5
96	а не	17	5
97	быть только	2	5
98	могут быть	4	5
99	отличие от	2	5
100	должна быть	3	4
101	не менее	7	4
102	материал в	4	4
103	на самом	14	4
104	лишь как	3	4
105	в ней	5	4
106	известной степени	2	4
107	в виду	3	4
108	другой стороны	5	4
109	данном случае	4	4
110	и только	2	4
111	от всех	4	4
112	сказать что	3	4
113	в то	7	4
114	о том	4	4
115	в произведении	3	4
116	и потому	5	4
117	к которому	2	4
118	но в	6	4
119	перестает быть	2	4
120	в ее	4	4
121	произведение как	6	4
122	как в	4	4
123	в романе	4	4
124	может и	3	4
125	между ними	15	4
126	хотя бы	6	4
127	в данном	6	4
128	более того	6	4
129	в себе	3	4
130	здесь не	2	4
131	то ни	4	3
132	и от	11	3
133	и иной	2	3
134	вследствие этого	3	3
135	тем не	2	3
136	да и	4	3
137	в дальнейшем	5	3
138	но это	2	3
139	же время	7	3
140	связи и	2	3
141	не является	5	3
142	и тем	3	3
143	в целом	4	3
144	все это	7	3
145	и содержание	2	3
146	они не	4	3
147	и даже	2	3
148	и на	3	3
149	ни было	5	3
150	если бы	12	3
151	акта и	2	3
152	данного материала	4	3
153	и все	8	3
154	произведении как	2	3
