N	2gram	Tiupa_Teor_1	Mirosoze
1	может быть	17	30
2	не только	16	29
3	и в	18	28
4	не может	4	28
5	но и	9	25
6	а не	9	25
7	он не	3	24
8	в этом	8	20
9	не в	7	16
10	потому что	3	16
11	в своей	6	15
12	никогда не	4	14
13	в нем	4	13
14	и это	2	12
15	для него	2	11
16	в самом	4	11
17	и не	13	11
18	что в	9	10
19	в своем	4	10
20	в мире	19	10
21	прежде всего	2	10
22	и потому	2	10
23	но он	3	9
24	в его	6	9
25	и его	8	9
26	но не	9	8
27	в самой	2	7
28	того что	4	7
29	в конце	2	7
30	но в	9	7
31	в себе	9	7
32	в том	16	6
33	в этой	3	6
34	все это	2	6
35	лишь в	6	6
36	вместе с	2	6
37	только в	6	6
38	в которой	2	6
39	не могут	2	5
40	это не	2	5
41	– не	4	5
42	у нас	2	5
43	как и	4	5
44	то что	3	5
45	свободы но	2	5
46	в этих	3	4
47	не знает	3	4
48	мог бы	3	4
49	отношение к	5	4
50	в их	2	4
51	отношения к	2	4
52	и по	2	4
53	а в	13	4
54	точки зрения	9	4
55	в них	2	4
56	один из	2	4
57	за пределы	2	4
58	что и	2	4
59	уже не	4	4
60	о себе	2	3
61	и вот	3	3
62	к тому	2	3
63	в момент	2	3
64	и мира	2	3
65	его в	2	3
66	то есть	12	3
67	с его	5	3
68	он должен	2	3
69	в жизни	2	3
70	в ее	5	3
71	том что	9	3
72	себя в	6	3
73	– все	3	3
74	место в	5	2
75	по своему	2	2
76	с их	2	2
77	человека к	3	2
78	в свою	3	2
79	одним из	2	2
80	в виду	5	2
81	могут быть	4	2
82	отличается от	2	2
83	по отношению	4	2
84	все эти	2	2
85	и что	3	2
86	сказать что	3	2
87	по своей	3	2
88	как бы	5	2
89	человека с	2	2
90	в основе	3	2
91	если бы	3	2
92	жизни в	2	2
93	личности в	3	2
94	от свободы	2	2
95	отношению к	4	2
96	в то	6	2
97	как будто	2	2
98	никто не	2	2
99	и к	3	2
100	как в	5	2
101	приводит к	5	2
102	в той	2	2
103	к чему	2	2
104	и как	2	2
105	и для	2	2
106	не принадлежит	2	2
107	отношении к	2	2
108	не все	3	2
