N	2gram	Bakhtin_fo_1	DiskursI
1	в качестве	3	34
2	не только	9	28
3	в том	9	23
4	а не	3	22
5	то есть	33	20
6	том что	4	19
7	может быть	11	17
8	и в	50	16
9	как и	8	16
10	в этом	25	15
11	еще не	5	14
12	но и	8	14
13	при этом	3	13
14	и т.п	4	12
15	прежде всего	15	11
16	но не	5	11
17	и не	14	11
18	с другой	2	10
19	как в	6	10
20	далеко не	2	10
21	в частности	6	9
22	в нем	24	9
23	отношению к	5	9
24	одной стороны	2	9
25	по отношению	3	9
26	не может	6	9
27	с одной	3	9
28	а также	2	8
29	отнюдь не	5	8
30	так и	12	8
31	но в	10	8
32	в основе	5	7
33	в его	13	7
34	то же	11	7
35	не было	7	7
36	роль в	9	7
37	в себе	3	7
38	только в	4	7
39	не в	5	7
40	в своем	4	6
41	и как	10	6
42	ни к	3	6
43	к тому	3	5
44	или иной	2	5
45	тому же	2	5
46	как бы	2	5
47	в котором	4	5
48	природе своей	2	5
49	в своей	2	5
50	то что	6	5
51	во всех	6	5
52	в процессе	4	5
53	в отличие	2	5
54	а в	3	5
55	в их	6	5
56	по природе	2	5
57	отличие от	2	5
58	и на	8	5
59	в данном	2	5
60	не обязательно	2	4
61	с его	9	4
62	что в	5	4
63	не является	2	4
64	в них	4	4
65	для себя	7	4
66	во втором	2	4
67	не как	2	4
68	и к	2	4
69	уже не	2	4
70	для него	2	4
71	в истории	2	4
72	в целом	2	4
73	же время	9	4
74	одной из	3	4
75	связи с	6	4
76	отношение к	2	4
77	в особенности	9	4
78	лишь в	6	4
79	что не	3	4
80	в которых	2	4
81	потому что	4	4
82	могут быть	5	4
83	того же	8	3
84	это не	6	3
85	вследствие этого	3	3
86	по себе	2	3
87	что и	3	3
88	в ее	6	3
89	и того	6	3
90	времени и	10	3
91	в свою	2	3
92	с этим	6	3
93	в данной	2	3
94	в самом	8	3
95	имеет место	3	3
96	к ним	2	3
97	той или	2	3
98	один из	3	3
99	хотя бы	2	3
100	все же	6	3
101	в строгом	2	3
102	таким образом	11	3
103	именно в	3	3
104	того что	2	3
105	и даже	2	3
106	сказать что	3	3
107	тем что	2	3
108	точки зрения	5	3
109	неотделимо от	2	3
110	в то	9	3
111	существенную роль	2	3
112	также и	2	3
113	и потому	3	3
114	мира в	3	3
115	разного рода	2	2
116	но они	3	2
117	частной жизни	23	2
118	никогда не	2	2
119	между собой	4	2
120	том числе	4	2
121	к себе	4	2
122	и во	7	2
123	одного и	5	2
124	определяется не	2	2
125	и все	6	2
126	в одном	3	2
127	к этому	3	2
128	в литературе	16	2
129	стороны и	2	2
130	об этом	2	2
131	в соответствии	2	2
132	в пределах	5	2
133	более того	3	2
134	в значительной	2	2
135	есть в	2	2
136	числе и	2	2
137	в начале	3	2
138	в сущности	3	2
139	хотя и	3	2
140	стадии развития	2	2
141	и др	9	2
142	например в	6	2
143	оно не	2	2
144	не могло	5	2
145	с ее	6	2
146	героя и	7	2
147	в различных	2	2
148	в форме	3	2
149	жизни в	8	2
150	своей собственной	3	2
151	отношения к	3	2
152	и иные	2	2
153	уже в	2	2
154	человека в	17	2
155	как мы	14	2
156	времени в	7	2
157	и по	2	2
158	к другому	2	2
159	и его	16	2
160	или в	3	2
161	здесь в	2	2
162	во всяком	3	2
163	на себя	2	2
164	характер и	7	2
165	и ее	3	2
166	соответствии с	2	2
167	и вообще	2	2
168	всей его	2	2
169	так сказать	7	2
170	они не	3	2
171	влияния на	2	2
172	в виду	3	2
