N	2gram	Losev_Vlad_1	FransuaR
1	и в	31	65
2	то есть	3	45
3	и не	17	22
4	вовсе не	5	18
5	в том	11	16
6	в этом	14	15
7	но в	12	14
8	в нем	4	13
9	мы уже	7	12
10	и на	3	11
11	и его	7	10
12	и потому	6	10
13	не только	24	10
14	но и	19	10
15	так и	6	10
16	все эти	3	10
17	в его	12	9
18	все это	5	9
19	по своему	3	8
20	в своем	4	8
21	в дальнейшем	8	8
22	и даже	15	8
23	за пределы	3	8
24	жизни и	5	7
25	точки зрения	2	7
26	только в	9	7
27	главным образом	4	6
28	никогда не	9	6
29	том что	14	6
30	все же	3	6
31	как мы	9	6
32	еще не	2	6
33	при этом	2	6
34	может быть	6	6
35	в отношении	3	6
36	в году	30	6
37	и у	4	6
38	сказать что	7	6
39	так как	8	6
40	с его	11	5
41	в частности	2	5
42	в них	2	5
43	потому что	11	5
44	для него	7	5
45	в своей	4	5
46	еще и	7	5
47	как в	3	5
48	как и	4	5
49	в своих	5	5
50	и все	4	5
51	в общем	3	4
52	на всю	2	4
53	и к	6	4
54	не в	5	4
55	в этой	4	4
56	отношение к	3	4
57	совершенно не	2	4
58	в самом	2	4
59	из них	2	4
60	и до	2	4
61	мысли и	4	4
62	для нас	4	4
63	во время	3	4
64	и еще	2	4
65	в жизни	3	4
66	и ни	2	3
67	мы будем	2	3
68	но на	3	3
69	что в	14	3
70	она была	2	3
71	в тех	2	3
72	что он	12	3
73	но это	3	3
74	мы и	4	3
75	не были	2	3
76	о нем	7	3
77	по своей	4	3
78	даже в	2	3
79	уже сказали	2	3
80	к нему	4	3
81	то что	18	3
82	вся эта	3	3
83	как раз	7	3
84	не может	6	3
85	разного рода	6	3
86	и других	2	3
87	уже не	3	3
88	с другой	3	3
89	по его	2	3
90	даже и	9	3
91	он и	6	3
92	в себе	4	3
93	и вообще	4	3
94	но как	5	3
95	и здесь	3	3
96	с ним	5	3
97	ничего не	3	3
98	и с	14	3
99	но не	3	2
100	во многом	2	2
101	начиная с	2	2
102	к тому	3	2
103	были в	2	2
104	и от	5	2
105	из этих	2	2
106	раз и	3	2
107	на все	2	2
108	ни с	4	2
109	его к	2	2
110	можно сказать	6	2
111	и так	3	2
112	так например	2	2
113	он был	14	2
114	да и	4	2
115	и глубоко	2	2
116	это время	3	2
117	от него	2	2
118	кроме того	7	2
119	в это	2	2
120	и он	3	2
121	несмотря на	4	2
122	на его	3	2
123	между прочим	11	2
124	свое время	6	2
125	хотя и	4	2
126	он не	10	2
127	на что	2	2
128	его на	2	2
129	в свое	5	2
130	для своего	2	2
131	нет и	2	2
132	и особенно	4	2
133	и для	2	2
134	в целом	3	2
135	в свой	2	2
136	на него	3	2
137	к жизни	2	2
138	только на	3	2
139	и вот	3	2
140	того что	2	2
141	что мы	2	2
142	на этот	6	2
143	и очень	3	2
144	и по	8	2
145	одним из	2	2
146	к себе	2	2
147	образом в	2	2
148	всего на	2	2
149	который был	2	2
150	он так	2	2
151	и почти	2	2
152	это можно	3	2
153	во всем	4	2
154	о том	11	2
155	и это	2	2
156	дело в	4	2
157	в особенности	4	2
158	в чем	2	2
159	это было	6	2
