N	2gram	Bakhtin_sl_2	StatiiOP
1	и в	39	25
2	в этом	16	24
3	в том	5	20
4	что в	3	19
5	что он	2	19
6	может быть	37	19
7	том что	5	15
8	в его	7	12
9	то что	2	12
10	не только	24	12
11	в этих	7	11
12	прежде всего	8	10
13	таким образом	8	10
14	и не	22	10
15	у него	3	9
16	но и	21	9
17	и т	35	8
18	все это	16	8
19	в языке	2	8
20	как например	2	8
21	о том	2	8
22	это не	5	7
23	с этим	2	7
24	не может	20	7
25	точки зрения	8	7
26	в то	4	7
27	не в	9	6
28	только в	5	6
29	как бы	7	6
30	как в	13	6
31	а в	4	6
32	и на	4	6
33	т п	33	6
34	в области	2	6
35	между тем	3	6
36	то же	4	5
37	независимо от	2	5
38	в них	6	5
39	с другой	5	5
40	ни в	4	5
41	на почве	4	5
42	связано с	3	5
43	а не	14	5
44	в речах	2	5
45	он не	2	5
46	отметить что	3	5
47	так и	15	5
48	но в	6	5
49	этом отношении	3	4
50	всяком случае	2	4
51	и др	4	4
52	точка зрения	2	4
53	в смысле	4	4
54	мировой литературе	2	4
55	как и	6	4
56	но это	3	4
57	на протяжении	2	4
58	например в	5	4
59	и к	6	4
60	на его	2	4
61	в ней	3	4
62	к ней	2	4
63	а также	3	4
64	отношение к	4	4
65	отличается от	2	4
66	в особенности	3	4
67	не было	2	4
68	лишь в	3	4
69	с точки	3	4
70	в чем	3	4
71	к нему	3	4
72	и для	5	4
73	и с	9	4
74	сказать что	3	4
75	во всяком	3	4
76	действующих лиц	2	4
77	все же	6	4
78	xix века	4	4
79	уже в	2	3
80	с его	7	3
81	и более	2	3
82	все они	2	3
83	же время	4	3
84	с которым	2	3
85	и здесь	2	3
86	всех этих	4	3
87	его как	2	3
88	для него	7	3
89	на этом	3	3
90	кроме того	2	3
91	до конца	17	3
92	одной стороны	5	3
93	и наконец	5	3
94	все эти	6	3
95	в некоторых	3	3
96	подчеркнуть что	2	3
97	в их	2	3
98	в связи	2	3
99	уже не	5	3
100	и его	33	3
101	в мировой	2	3
102	связан с	3	3
103	в виде	2	3
104	но он	2	3
105	говорить о	3	3
106	в другом	2	3
107	связи с	3	3
108	так как	4	3
109	не был	2	2
110	говорит и	2	2
111	не менее	4	2
112	борьба с	4	2
113	никогда не	7	2
114	себя и	4	2
115	для этого	4	2
116	точку зрения	3	2
117	как о	2	2
118	не столько	3	2
119	в поэзии	2	2
120	тогда когда	2	2
121	вовсе не	10	2
122	или иной	5	2
123	как мы	7	2
124	на котором	2	2
125	без всякого	2	2
126	но все	5	2
127	несколько слов	2	2
128	х годов	2	2
129	но не	6	2
130	в свою	3	2
131	до сих	2	2
132	языка это	2	2
133	еще не	7	2
134	в сущности	6	2
135	во всех	12	2
136	xvii века	2	2
137	одна из	4	2
138	слова как	2	2
139	один из	5	2
140	должен быть	2	2
141	этих формах	2	2
142	вместе с	2	2
143	сих пор	2	2
144	в форме	2	2
145	в отношении	4	2
146	т д	2	2
147	с ее	2	2
148	с одной	5	2
149	к материалу	2	2
150	и других	4	2
151	для того	2	2
152	не была	3	2
153	его не	4	2
154	той же	3	2
155	мы не	2	2
156	или в	2	2
157	слово в	11	2
158	в результате	2	2
159	могут быть	7	2
160	поэтического слова	4	2
161	но как	2	2
162	которые в	2	2
163	и ни	2	2
164	так сказать	6	2
165	в чисто	3	2
166	в плане	5	2
167	в новом	2	2
168	то есть	26	2
169	цели и	2	2
