N	2gram	Bakhtin_Pr_5	Poddanst
1	не только	10	17
2	и в	35	14
3	и не	27	12
4	в отношении	9	10
5	в этом	14	10
6	то же	15	9
7	в том	5	9
8	но в	19	9
9	хотя бы	2	8
10	в пределах	11	8
11	же время	10	7
12	в то	11	7
13	только в	6	7
14	но и	14	6
15	в ней	2	6
16	было бы	3	6
17	с другой	4	5
18	а я	10	5
19	не в	10	5
20	в которых	2	5
21	отношении к	7	5
22	может быть	14	5
23	в котором	3	4
24	то что	10	4
25	что в	6	4
26	в своем	2	4
27	не может	18	4
28	по себе	4	4
29	и к	12	4
30	а в	7	4
31	том что	3	4
32	мы должны	3	4
33	как бы	31	4
34	в нем	16	3
35	с тем	3	3
36	и без	4	3
37	столь же	2	3
38	это не	3	3
39	прежде всего	12	3
40	с точки	2	3
41	сводится к	3	3
42	и как	2	3
43	с ними	5	3
44	между тем	4	3
45	но не	6	3
46	точки зрения	7	3
47	в себе	5	3
48	тот же	4	3
49	потому что	8	3
50	хотя и	2	3
51	я и	2	3
52	не менее	2	2
53	в мире	4	2
54	во всех	3	2
55	друг другу	4	2
56	в них	4	2
57	все это	14	2
58	как раз	4	2
59	с этим	3	2
60	в жизни	2	2
61	и вот	4	2
62	было в	2	2
63	а не	4	2
64	того что	3	2
65	точек зрения	2	2
66	должно быть	3	2
67	в ее	3	2
68	говорить о	3	2
69	и пусть	2	2
70	теперь в	4	2
71	в виде	7	2
72	в начале	3	2
73	из них	3	2
74	в общем	3	2
75	например в	2	2
76	и это	5	2
77	да и	5	2
78	не о	4	2
79	в эту	4	2
80	в его	21	2
81	и с	12	2
