N	2gram	Tiupa_Anal_3	KFilosof
1	может быть	9	43
2	в его	7	39
3	в нем	2	31
4	не может	2	27
5	и не	12	26
6	по отношению	7	25
7	и в	18	22
8	отношению к	7	21
9	в себе	2	21
10	не есть	4	19
11	в ее	3	17
12	а не	9	17
13	и его	13	17
14	только в	2	16
15	точки зрения	3	13
16	в этом	14	13
17	для него	6	12
18	но не	7	12
19	все эти	2	11
20	не в	6	11
21	в своем	4	10
22	это не	2	10
23	все это	3	10
24	во всех	2	10
25	с точки	2	10
26	в целом	3	9
27	но и	13	9
28	в их	6	9
29	как бы	10	9
30	и все	2	9
31	и для	2	9
32	не было	3	8
33	лишь в	5	8
34	было бы	3	8
35	со стороны	9	8
36	и здесь	2	7
37	во всем	3	7
38	что и	5	7
39	то что	2	7
40	себя в	4	7
41	в себя	2	7
42	в том	9	6
43	в мире	5	6
44	отнюдь не	4	6
45	совершенно не	2	6
46	он не	6	6
47	уже не	5	6
48	никогда не	5	5
49	то же	3	5
50	его как	3	5
51	от его	2	5
52	в контексте	2	5
53	именно в	3	5
54	от своей	2	5
55	но как	3	5
56	его в	3	5
57	но в	2	5
58	как и	14	5
59	не только	22	5
60	все же	4	5
61	мы имеем	5	5
62	там где	2	5
63	что в	9	4
64	входит в	2	4
65	при этом	11	4
66	между тем	5	4
67	в одном	4	4
68	не как	2	4
69	мира и	2	4
70	том что	12	4
71	а в	10	4
72	тем самым	4	4
73	и т.д	2	4
74	бы и	2	3
75	не менее	4	3
76	в каждом	3	3
77	в свою	5	3
78	поскольку он	3	3
79	и на	4	3
80	в ней	2	3
81	в то	3	3
82	о том	6	3
83	мы не	3	3
84	не должно	3	3
85	не должен	2	3
86	по своему	2	3
87	могла бы	2	3
88	еще не	6	3
89	самом деле	2	3
90	что не	3	3
91	тем что	2	3
92	вступает в	3	3
93	могут быть	2	3
94	в момент	2	3
95	здесь не	3	3
96	ничего не	3	3
97	прежде всего	5	2
98	или иной	5	2
99	тем не	2	2
100	и как	4	2
101	же время	3	2
102	по себе	4	2
103	как к	2	2
104	вступить в	2	2
105	свою жизнь	2	2
106	этих моментов	2	2
107	в принципе	2	2
108	однако что	4	2
109	он и	3	2
110	той или	3	2
111	говорить о	3	2
112	но всегда	2	2
113	я и	3	2
114	были бы	3	2
115	с его	8	2
116	с тем	2	2
117	в жизни	2	2
118	к этому	3	2
119	что он	4	2
120	и того	3	2
121	в соответствии	2	2
122	не будет	3	2
123	в качестве	12	2
124	со всеми	2	2
125	или иным	2	2
126	к содержанию	3	2
127	и потому	2	2
128	этого слова	2	2
129	дело не	3	2
130	так и	14	2
131	как в	3	2
132	дело с	3	2
133	это и	2	2
134	сводится к	2	2
135	жизнь и	3	2
136	в данном	4	2
137	в этой	6	2
138	дело в	2	2
139	едва ли	3	2
140	а для	2	2
