N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	41
2	то есть	12	24
3	и т.п	4	19
4	таким образом	3	17
5	в нем	4	16
6	и его	8	13
7	но и	9	13
8	в этом	8	12
9	все это	2	11
10	все эти	2	11
11	прежде всего	2	10
12	в самом	4	10
13	не только	16	10
14	то что	3	10
15	никогда не	4	8
16	в этой	3	8
17	но в	9	8
18	в них	2	7
19	вовсе не	3	7
20	том что	9	7
21	как бы	5	7
22	как и	4	7
23	что в	9	7
24	в его	6	7
25	в следующей	2	6
26	один из	2	6
27	вместе с	2	6
28	или в	3	6
29	сказать что	3	6
30	в то	6	6
31	то же	7	5
32	с его	5	5
33	в одном	2	5
34	в литературе	2	5
35	в ее	5	5
36	так же	2	5
37	же время	5	5
38	а также	6	5
39	так и	10	5
40	в своем	4	5
41	в той	2	5
42	и что	3	5
43	но он	3	5
44	в себе	9	5
45	в эпизоде	3	5
46	с другой	7	4
47	нового времени	3	4
48	роль в	2	4
49	именно в	3	4
50	у нас	2	4
51	и как	2	4
52	не в	7	4
53	в большинстве	2	4
54	одной стороны	2	4
55	даже в	3	4
56	не может	4	4
57	с одной	2	4
58	как в	5	4
59	и даже	2	4
60	одним из	2	4
61	а в	13	4
62	в основе	3	4
63	в другом	3	4
64	того же	3	4
65	перед нами	2	3
66	во втором	3	3
67	одной из	2	3
68	есть в	2	3
69	в искусстве	6	3
70	и особенно	2	3
71	в первой	5	3
72	и для	2	3
73	при этом	12	3
74	на языке	2	3
75	и не	13	3
76	того что	4	3
77	между ними	4	3
78	с другими	5	3
79	в данном	8	3
80	только в	6	3
81	в первом	2	3
82	потому что	3	3
83	времени и	2	2
84	не могут	2	2
85	в частности	16	2
86	в этих	3	2
87	превращается в	2	2
88	одного и	3	2
89	в конце	2	2
90	ногами и	2	2
91	если мы	2	2
92	человека с	2	2
93	в том	16	2
94	но не	9	2
95	а на	3	2
96	никто не	2	2
97	может быть	17	2
98	за пределы	2	2
99	в своей	6	2
100	хотя и	3	2
101	он не	3	2
102	и потому	2	2
103	себя в	6	2
104	данном случае	5	2
105	в форме	2	2
106	а именно	2	2
107	другой стороны	5	2
108	как раз	2	2
109	не на	2	2
110	и другие	2	2
111	как это	8	2
112	лишь в	6	2
113	заключается в	2	2
114	а не	9	2
115	с точки	3	2
116	самим собой	3	2
117	и то	2	2
118	их в	3	2
119	между тем	5	2
120	точки зрения	9	2
121	из этих	3	2
122	говорить о	3	2
123	в организации	2	2
124	в области	4	2
125	в романе	3	2
126	это было	2	2
