N	2gram	Losev_Vlad_2	VerxiiNi
1	и в	30	26
2	таким образом	3	22
3	с тем	2	18
4	вместе с	8	15
5	в этом	20	15
6	точки зрения	7	13
7	как бы	5	12
8	в том	18	11
9	после смерти	4	10
10	может быть	7	10
11	не только	12	10
12	и с	14	10
13	из этих	3	10
14	связи с	8	9
15	что в	12	9
16	но и	8	9
17	в области	3	9
18	так как	5	9
19	но не	3	8
20	в общем	2	8
21	и не	18	8
22	том что	12	7
23	но все	2	7
24	к нему	2	7
25	то что	20	7
26	потому что	9	7
27	но в	8	7
28	в конце	13	6
29	к тому	2	6
30	и потому	2	6
31	того же	5	6
32	несмотря на	4	6
33	всяком случае	6	6
34	что и	3	6
35	все же	9	6
36	так и	5	6
37	все это	5	6
38	в отношении	3	6
39	все эти	5	6
40	с точки	3	6
41	во всяком	6	6
42	в себе	6	6
43	мы должны	4	6
44	о том	4	6
45	и к	6	5
46	крайней мере	4	5
47	отношение к	4	5
48	в его	11	5
49	никогда не	7	5
50	или менее	3	5
51	так же	4	5
52	а не	7	5
53	того чтобы	2	5
54	для того	2	5
55	не имеет	2	5
56	и для	3	5
57	более или	3	5
58	по крайней	4	5
59	учение о	3	4
60	должен был	3	4
61	в этих	4	4
62	и от	2	4
63	что он	13	4
64	в нем	4	4
65	в самом	2	4
66	в котором	5	4
67	не может	9	4
68	а в	11	4
69	то же	4	4
70	в течение	5	4
71	и что	5	4
72	на этот	4	4
73	и по	2	4
74	в виде	3	4
75	он не	4	4
76	в то	9	4
77	только в	6	4
78	то есть	7	4
79	в этой	4	4
80	при жизни	2	4
81	не менее	7	3
82	что это	4	3
83	но по	2	3
84	так или	3	3
85	хотя бы	3	3
86	точно так	3	3
87	к этому	6	3
88	можно сказать	4	3
89	для него	9	3
90	так что	5	3
91	и как	3	3
92	и при	2	3
93	в своем	8	3
94	и если	4	3
95	и о	4	3
96	не вполне	2	3
97	тем не	6	3
98	к концу	5	3
99	с ней	2	3
100	в связи	8	3
101	при этом	5	3
102	уже не	3	3
103	того что	5	3
104	и даже	10	3
105	в которой	4	3
106	то с	2	3
107	в таком	3	3
108	или иначе	3	3
109	с этой	4	3
110	в результате	5	3
111	что эти	2	3
112	конце концов	3	3
113	уже в	3	2
114	начиная с	2	2
115	с его	4	2
116	именно в	4	2
117	в них	3	2
118	и особенно	3	2
119	тогда когда	2	2
120	на все	2	2
121	прежде всего	6	2
122	все существующее	4	2
123	в свою	3	2
124	на то	2	2
125	этого последнего	2	2
126	уже давно	2	2
127	ему в	2	2
128	а также	10	2
129	к его	2	2
130	жизни по	2	2
131	духовного развития	3	2
132	по существу	3	2
133	мы видели	2	2
134	в начале	4	2
135	по своему	2	2
136	этот период	2	2
137	же время	3	2
138	тот же	5	2
139	и больше	3	2
140	и из	2	2
141	конечно не	4	2
142	вплоть до	3	2
143	жизни и	6	2
144	во всех	3	2
145	иной раз	2	2
146	не было	10	2
147	если не	2	2
148	те же	3	2
149	ко всему	4	2
150	наконец в	3	2
151	его не	2	2
152	и на	4	2
153	в русском	2	2
154	всем и	2	2
155	можно назвать	2	2
156	сказать что	11	2
157	не в	9	2
158	еще на	2	2
159	и наконец	4	2
160	не могла	2	2
161	или по	2	2
162	и все	7	2
163	и это	3	2
164	в россии	3	2
165	из этого	5	2
166	очень много	2	2
167	в виду	2	2
168	в новом	2	2
