N	2gram	Tiupa_Anal_3	slovoVRo
1	и в	18	41
2	в нем	2	30
3	то есть	10	26
4	в романе	2	21
5	могут быть	2	19
6	во всех	2	17
7	но и	13	16
8	и не	12	16
9	точки зрения	3	16
10	не только	22	16
11	а не	9	15
12	то же	3	14
13	в пределах	4	14
14	может быть	9	14
15	не может	2	14
16	и его	13	14
17	и на	4	14
18	в то	3	14
19	в сущности	5	13
20	в его	7	13
21	же время	3	12
22	как бы	10	12
23	в этом	14	12
24	так и	14	11
25	в большинстве	2	10
26	в той	2	10
27	или иной	5	9
28	той или	3	9
29	таким образом	4	9
30	все эти	2	9
31	себя в	4	9
32	прежде всего	5	8
33	на его	2	8
34	в особенности	3	8
35	но в	2	8
36	как в	3	8
37	с точки	2	8
38	все они	2	7
39	не в	6	7
40	все же	4	7
41	в слове	5	7
42	во всяком	2	7
43	того же	5	6
44	это не	2	6
45	при этом	11	6
46	и даже	8	6
47	а в	10	6
48	в них	2	6
49	только в	2	6
50	с другой	7	5
51	в самом	5	5
52	всяком случае	2	5
53	все это	3	5
54	и к	4	5
55	далеко не	4	5
56	так сказать	2	5
57	перед нами	4	4
58	и от	2	4
59	в каждом	3	4
60	одной стороны	2	4
61	в ней	2	4
62	известной степени	3	4
63	один из	2	4
64	с ее	3	4
65	в их	6	4
66	с одной	2	4
67	лишь в	5	4
68	и все	2	4
69	с его	8	4
70	не как	2	4
71	как и	14	4
72	еще не	6	4
73	по преимуществу	2	4
74	и потому	2	4
75	входит в	2	4
76	другой стороны	5	4
77	и для	2	4
78	там где	2	4
79	ничего не	3	4
80	никогда не	5	3
81	из этих	3	3
82	к тому	6	3
83	в том	9	3
84	и сам	4	3
85	в свою	5	3
86	для него	6	3
87	данном случае	3	3
88	в своем	4	3
89	именно в	3	3
90	в результате	5	3
91	и здесь	2	3
92	не было	3	3
93	от его	2	3
94	о том	6	3
95	его в	3	3
96	в первом	2	3
97	и следует	2	3
98	произведения как	2	3
99	с этим	3	3
100	из существеннейших	2	3
101	не должно	3	3
102	в себе	2	3
103	в качестве	12	3
104	было бы	3	3
105	он не	6	3
106	в свое	2	3
107	лишь на	3	3
108	бы и	2	3
109	в данном	4	3
110	и ее	2	3
111	свою очередь	4	2
112	в частности	12	2
113	столь же	4	2
114	можно сказать	4	2
115	его как	3	2
116	что они	3	2
117	например в	2	2
118	такого рода	5	2
119	и той	2	2
120	хотя и	2	2
121	в контексте	2	2
122	и по	2	2
123	в целом	3	2
124	как к	2	2
125	не могла	2	2
126	уже не	5	2
127	те же	2	2
128	произведения и	2	2
129	сказать что	2	2
130	в сочетании	3	2
131	между тем	5	2
132	не является	5	2
133	дело не	3	2
134	в одном	4	2
135	к этому	3	2
136	связь с	2	2
137	том что	12	2
138	не с	2	2
139	то в	2	2
140	одна из	2	2
141	но не	7	2
142	по своему	2	2
143	не предполагает	2	2
144	совершенно не	2	2
145	а также	2	2
146	даже в	2	2
147	в ее	3	2
148	как раз	7	2
149	так в	3	2
150	до известной	3	2
151	не есть	4	2
152	той же	5	2
153	роль в	3	2
154	мы не	3	2
155	здесь не	3	2
