N	2gram	Propp_Russ_1	Problema
1	и в	36	30
2	то есть	3	21
3	то что	6	18
4	не только	22	18
5	том что	19	17
6	в этом	12	17
7	но и	16	13
8	таким образом	6	13
9	потому что	10	13
10	в том	17	12
11	в его	2	12
12	и не	6	12
13	о том	8	12
14	в своем	3	11
15	у него	2	11
16	так что	2	11
17	в виде	6	10
18	для нас	6	10
19	точки зрения	3	10
20	все же	5	9
21	как символ	2	9
22	но в	2	9
23	только в	4	9
24	хотя и	2	8
25	с точки	3	8
26	на небо	3	8
27	у нас	8	7
28	как и	10	7
29	в дальнейшем	2	7
30	связи с	4	7
31	но не	2	7
32	может быть	8	7
33	вместе с	10	7
34	так и	7	7
35	в связи	4	7
36	уже не	6	6
37	и как	2	6
38	несмотря на	3	6
39	и для	2	6
40	как бы	5	6
41	в нем	2	6
42	что и	7	6
43	тут же	2	6
44	и что	4	6
45	а в	9	6
46	и на	10	6
47	так как	15	6
48	не менее	3	5
49	с тем	8	5
50	что в	19	5
51	что у	2	5
52	будто бы	6	5
53	тем не	3	5
54	в силу	2	5
55	так же	3	5
56	и их	4	5
57	еще в	4	5
58	не может	4	5
59	не просто	2	5
60	в году	2	5
61	а не	2	5
62	и у	5	5
63	что этот	4	5
64	того как	5	5
65	и с	2	5
66	мы можем	2	5
67	в частности	2	4
68	отнюдь не	2	4
69	но даже	2	4
70	об этом	9	4
71	но все	3	4
72	говорится о	2	4
73	при этом	6	4
74	в качестве	3	4
75	а с	4	4
76	xix в	13	4
77	и к	3	4
78	или в	2	4
79	далеко не	3	4
80	же не	2	4
81	что от	2	3
82	для них	3	3
83	и другие	13	3
84	не что	2	3
85	что иное	2	3
86	нас не	2	3
87	что они	7	3
88	как будто	5	3
89	после того	2	3
90	еще не	4	3
91	а также	3	3
92	в настоящее	3	3
93	иное как	2	3
94	того что	4	3
95	в других	11	3
96	в ней	2	3
97	настоящее время	3	3
98	с ним	2	3
99	в одном	3	3
100	борьбы с	2	2
101	только для	2	2
102	и более	2	2
103	по этому	3	2
104	но тем	2	2
105	в них	6	2
106	в какой	2	2
107	как в	5	2
108	это не	10	2
109	один из	8	2
110	представление о	3	2
111	к этому	4	2
112	значение и	2	2
113	что именно	2	2
114	от них	3	2
115	к тому	4	2
116	то же	3	2
117	как мы	10	2
118	он был	2	2
119	по существу	4	2
120	в свою	3	2
121	и другой	3	2
122	в это	3	2
123	в целях	3	2
124	мы имеем	4	2
125	ii в	2	2
126	говорится что	3	2
127	из них	8	2
128	когда он	2	2
129	и до	2	2
130	в середине	3	2
131	этому поводу	2	2
132	все эти	2	2
133	однако как	2	2
134	мы не	6	2
135	всякого рода	3	2
136	за все	2	2
137	между тем	7	2
138	тем что	4	2
139	это время	2	2
140	еще до	2	2
141	в области	3	2
142	ничего не	3	2
