N	3gram	Medvedev_F_3	Psycholo
1	и т п	5	15
2	в том что	3	9
3	и т д	6	8
4	не может быть	14	8
5	в самом деле	4	7
6	во всяком случае	6	6
7	с другой стороны	5	5
8	в зависимости от	5	5
9	подобно тому как	4	5
10	для того чтобы	4	5
11	в художественном произведении	3	3
12	в отличие от	2	3
13	в конце концов	2	3
14	не только не	2	3
15	мы не можем	2	2
16	не может стать	2	2
17	так и в	2	2
18	смысле этого слова	2	2
19	с точки зрения	14	2
20	то же самое	3	2
21	то или иное	2	2
22	всяком случае в	2	2
23	тем не менее	2	2
24	мы видели что	2	2
25	от всех других	2	2
26	в этом отношении	3	2
27	мы увидим что	2	2
28	вместе с тем	3	2
29	в этом смысле	2	2
30	на самом деле	12	2
31	потому что он	3	2
