N	2gram	Bakhtin_Fr_8	UchenyiS
1	и в	56	14
2	а не	2	10
3	не только	8	10
4	и не	9	8
5	прежде всего	6	8
6	то что	3	7
7	в этом	14	7
8	не может	2	7
9	может быть	3	6
10	все это	8	5
11	то же	11	5
12	но и	9	4
13	в этой	6	4
14	в их	3	4
15	конечно не	4	4
16	с другой	2	4
17	но в	6	3
18	как и	5	3
19	и то	2	3
20	все же	2	3
21	в своей	2	3
22	в частности	7	3
23	бы то	2	3
24	то ни	2	3
25	же время	10	3
26	другой стороны	2	3
27	для него	2	3
28	это не	2	3
29	в то	12	3
30	не как	2	3
31	было бы	2	3
32	и т.д	3	3
33	в области	5	3
34	ни было	2	3
35	том что	8	2
36	но не	5	2
37	в том	13	2
38	мы не	2	2
39	с его	5	2
40	не в	3	2
41	всех этих	3	2
42	и для	2	2
43	но это	2	2
44	бы и	2	2
45	если бы	2	2
46	только в	9	2
47	и с	8	2
48	сих пор	8	2
49	их и	2	2
50	что он	2	2
51	все они	6	2
52	в себе	4	2
53	как раз	2	2
54	до сих	8	2
55	на эту	3	2
56	что все	4	2
57	в самом	9	2
58	меньшей степени	3	2
59	в некоторых	3	2
60	фактов и	2	2
61	одним из	5	2
62	самом деле	2	2
63	что она	2	2
64	что и	3	2
65	в его	18	2
66	между тем	3	2
67	таким образом	17	2
