N	2gram	Medvedev_F_1	Hudozhes
1	в мире	4	23
2	и не	20	16
3	в том	6	15
4	и в	24	15
5	не только	7	15
6	в частности	4	13
7	может быть	14	13
8	при этом	5	12
9	а в	6	12
10	и его	10	12
11	но не	3	11
12	в этом	15	11
13	в себе	3	11
14	как бы	6	10
15	отношению к	4	10
16	но и	7	10
17	так и	18	10
18	по отношению	4	10
19	то же	10	10
20	а не	10	10
21	в его	23	9
22	литературного произведения	4	9
23	точки зрения	16	9
24	в душе	2	8
25	произведение искусства	2	8
26	сводится к	3	8
27	с другой	5	7
28	в искусстве	5	7
29	в то	9	7
30	но в	5	7
31	в основе	3	6
32	с его	4	6
33	что в	4	6
34	не сводится	2	6
35	в ее	8	6
36	не в	8	6
37	же время	8	6
38	отношение к	3	6
39	приводит к	2	6
40	не может	16	6
41	ни в	2	5
42	только в	2	5
43	тем самым	3	5
44	в самом	5	5
45	того что	5	5
46	в нем	14	5
47	с ее	7	5
48	то что	8	5
49	между ними	3	5
50	или менее	6	5
51	в их	11	5
52	уже не	2	5
53	более или	6	5
54	место в	7	4
55	художественного восприятия	2	4
56	искусства в	4	4
57	прежде всего	22	4
58	к тому	3	4
59	а только	2	4
60	и как	3	4
61	для него	3	4
62	еще не	6	4
63	он не	3	4
64	в своей	11	4
65	произведения искусства	3	4
66	со стороны	5	4
67	как к	3	4
68	входит в	6	4
69	отношения к	6	4
70	между тем	2	4
71	роли в	3	4
72	как это	6	4
73	к которому	2	4
74	художественного произведения	23	3
75	не менее	11	3
76	если бы	4	3
77	произведения как	2	3
78	в отношении	3	3
79	он должен	3	3
80	это не	2	3
81	была бы	2	3
82	или иного	3	3
83	что он	3	3
84	и к	4	3
85	в пределах	6	3
86	литературы как	3	3
87	в свою	8	3
88	того или	2	3
89	как раз	2	3
90	художественного целого	2	3
91	в целом	6	3
92	не на	2	3
93	таким образом	13	3
94	как и	11	3
95	лишь в	8	3
96	и что	2	3
97	с точки	13	3
98	во всей	2	3
99	и ее	10	3
100	его в	3	3
101	в художественном	3	3
102	в произведении	2	3
103	в которой	4	3
104	в области	3	3
105	истории литературы	12	2
106	сама по	2	2
107	и более	2	2
108	искусства как	2	2
109	в нашем	2	2
110	жизни в	2	2
111	в своем	11	2
112	в них	3	2
113	и особенно	2	2
114	не как	4	2
115	в одном	2	2
116	связей с	2	2
117	вовсе не	10	2
118	по себе	5	2
119	в литературе	5	2
120	идет о	2	2
121	одна из	2	2
122	свою очередь	6	2
123	на наших	2	2
124	могла бы	2	2
125	одной стороны	4	2
126	мира в	2	2
127	за пределы	2	2
128	во всех	5	2
129	к действительности	2	2
130	одной из	2	2
131	и потому	9	2
132	на почве	13	2
133	оно не	4	2
134	не могло	5	2
135	и др	5	2
136	художественное произведение	6	2
137	как в	8	2
138	здесь не	3	2
139	соединении с	2	2
140	с одной	4	2
141	именно в	8	2
142	все эти	6	2
143	это и	3	2
144	в году	2	2
145	так же	4	2
146	материала в	3	2
147	с ним	2	2
148	от всех	3	2
149	или иначе	2	2
150	с другими	4	2
151	тот или	2	2
152	и на	8	2
153	с художественной	2	2
154	литературных произведений	3	2
155	в этой	6	2
156	отношении к	2	2
157	жизни но	2	2
158	и это	2	2
