N	2gram	Tiupa_Lite_2	Istorich
1	и в	19	26
2	так как	3	18
3	никогда не	3	13
4	потому что	2	13
5	что в	4	12
6	в том	10	12
7	и на	6	12
8	в этом	9	12
9	может быть	17	11
10	с другой	8	10
11	том что	7	10
12	и т	2	10
13	и не	11	10
14	не только	8	10
15	что он	3	9
16	еще не	2	9
17	но и	10	9
18	а именно	3	9
19	в нем	3	8
20	все же	2	8
21	вместе с	5	8
22	другой стороны	4	8
23	с ним	2	8
24	уже не	2	7
25	с одной	7	7
26	одной стороны	6	7
27	и его	3	7
28	у него	2	7
29	о том	2	7
30	но в	2	7
31	этом случае	2	6
32	то что	7	6
33	так в	5	6
34	не может	9	6
35	и с	3	6
36	в русской	4	6
37	как он	2	6
38	мы не	4	6
39	у нас	5	5
40	как и	10	5
41	в ней	4	5
42	в его	4	5
43	так и	7	5
44	то же	12	5
45	и что	2	5
46	как это	2	5
47	тем что	4	5
48	в то	9	5
49	с тем	2	4
50	прежде всего	4	4
51	но это	3	4
52	все что	2	4
53	как бы	2	4
54	что и	2	4
55	и он	3	4
56	а также	2	4
57	но как	2	4
58	в частности	4	3
59	могут быть	2	3
60	в них	2	3
61	в одном	2	3
62	так что	4	3
63	не в	4	3
64	такой же	3	3
65	же как	2	3
66	в качестве	5	3
67	нет в	2	3
68	в него	2	3
69	еще в	4	3
70	один из	4	3
71	данном случае	3	3
72	со стороны	3	3
73	а в	3	3
74	при этом	6	3
75	и других	4	3
76	к своему	2	3
77	из которых	2	3
78	и наконец	2	3
79	как на	3	3
80	в своих	2	3
81	в данном	3	3
82	и то	3	3
83	и только	2	3
84	в себе	6	3
85	не было	2	3
86	с этой	2	2
87	обращается к	3	2
88	и как	3	2
89	однако в	6	2
90	того же	4	2
91	вовсе не	2	2
92	для нас	2	2
93	по отношению	4	2
94	одна из	5	2
95	но не	5	2
96	героя в	2	2
97	было бы	2	2
98	и сам	2	2
99	под названием	2	2
100	не так	2	2
101	в свое	2	2
102	и др	3	2
103	даже в	4	2
104	отношению к	3	2
105	жизни и	4	2
106	своего рода	13	2
107	и до	2	2
108	то и	3	2
109	тогда как	9	2
110	он не	5	2
111	человека в	4	2
112	тем самым	3	2
113	а не	20	2
114	того что	5	2
115	что не	2	2
116	враг и	2	2
117	он и	2	2
118	представляет собой	2	2
119	ту же	2	2
120	в этой	3	2
121	не вполне	2	2
122	ничего не	3	2
