N	2gram	Losev_Dial_3	Mirosoze
1	и в	24	46
2	в нем	3	22
3	это –	16	22
4	у него	2	22
5	может быть	13	21
6	в этом	8	20
7	никогда не	7	18
8	для него	4	18
9	и не	27	18
10	не только	23	18
11	но и	9	15
12	не может	19	15
13	как и	7	13
14	не есть	54	13
15	а не	26	13
16	прежде всего	8	12
17	друг друга	3	12
18	потому что	7	12
19	не было	3	11
20	в ней	2	11
21	у нас	4	11
22	и он	2	11
23	но в	2	10
24	он не	5	10
25	в себе	2	10
26	не в	3	9
27	не знает	3	9
28	и есть	16	8
29	но это	5	8
30	он –	7	8
31	как бы	3	8
32	в своем	3	8
33	так как	6	8
34	если нет	4	8
35	она не	3	8
36	что он	13	7
37	и к	5	7
38	и потому	2	7
39	хотя бы	4	7
40	и для	2	7
41	вопрос о	5	6
42	что это	12	6
43	так же	4	6
44	того что	12	6
45	и здесь	2	6
46	жизни и	5	6
47	то же	6	5
48	я не	6	5
49	что все	14	5
50	и вот	2	5
51	в самом	7	5
52	что она	9	5
53	это не	4	5
54	и все	6	5
55	есть не	9	5
56	во всем	3	5
57	к тому	4	5
58	то что	14	5
59	для того	3	5
60	и его	5	5
61	в его	2	5
62	и это	4	5
63	что в	7	4
64	тому что	4	4
65	для этого	2	4
66	все что	3	4
67	только и	2	4
68	что у	2	4
69	они не	2	4
70	не имеет	11	4
71	должны быть	3	4
72	также и	2	4
73	с его	2	4
74	думать что	2	4
75	том что	8	4
76	бога не	2	4
77	что и	6	4
78	себя в	2	4
79	так и	5	4
80	т е	48	4
81	уже не	5	4
82	жизнь и	4	4
83	его на	2	4
84	же как	2	3
85	можно ли	5	3
86	себя и	2	3
87	и от	3	3
88	и можно	2	3
89	ни в	9	3
90	в том	5	3
91	лишь как	2	3
92	и нет	7	3
93	– не	7	3
94	в своих	2	3
95	и на	3	3
96	людей и	2	3
97	сказать что	4	3
98	и с	6	3
99	что иное	6	3
100	о том	6	3
101	нет ничего	9	3
102	иное как	6	3
103	не существует	10	3
104	если бы	6	3
105	в них	5	3
106	и во	2	3
107	не что	6	3
108	это и	7	3
109	есть и	12	3
110	не будет	3	3
111	от того	4	3
112	и тогда	5	3
113	все равно	2	3
114	и она	2	3
115	той же	3	3
116	тем что	3	3
117	только в	5	3
118	есть в	3	3
119	в чем	4	3
120	что нет	4	3
121	но на	2	2
122	всегда есть	5	2
123	мир и	3	2
124	быть может	3	2
125	или иной	4	2
126	все время	3	2
127	я и	2	2
128	так что	8	2
129	это есть	8	2
130	и если	2	2
131	есть явление	5	2
132	есть также	2	2
133	– есть	3	2
134	она есть	10	2
135	но для	2	2
136	хотя и	5	2
137	же и	2	2
138	к нему	3	2
139	но она	3	2
140	не имеют	2	2
141	что есть	4	2
142	должно быть	3	2
143	его не	2	2
144	а в	2	2
145	в основе	3	2
146	личности и	5	2
147	не о	2	2
148	точки зрения	25	2
149	в который	2	2
150	в мысли	2	2
151	бы в	2	2
152	нет ни	2	2
153	е в	4	2
154	а для	2	2
155	на этом	2	2
156	есть еще	3	2
157	превращается в	6	2
158	– в	6	2
159	бы его	2	2
160	тогда когда	5	2
161	личности в	2	2
162	по себе	20	2
163	есть ли	5	2
164	то в	2	2
165	– это	6	2
166	– вот	2	2
167	и что	15	2
168	в сущности	10	2
169	оно не	6	2
170	быть и	3	2
171	ее в	2	2
172	что же	11	2
173	если я	2	2
174	– все	3	2
175	что не	5	2
176	тогда все	2	2
177	тому как	4	2
178	нас в	2	2
179	не надо	3	2
180	сам по	5	2
181	подобно тому	4	2
182	сознания и	4	2
183	от его	2	2
184	есть момент	2	2
185	души и	2	2
186	и этим	3	2
187	ничего не	17	2
