N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	34	41
2	таким образом	5	19
3	в этом	16	15
4	и все	19	14
5	как и	18	14
6	то же	14	13
7	все эти	4	13
8	мы уже	6	12
9	в его	22	12
10	прежде всего	15	11
11	в том	3	11
12	как мы	7	11
13	эпизод с	2	11
14	в себе	6	11
15	так и	6	10
16	все это	16	10
17	в то	12	10
18	и его	16	9
19	не в	9	9
20	же время	12	9
21	но и	12	9
22	в своем	2	9
23	что в	7	9
24	в конце	5	8
25	и от	5	8
26	то что	11	8
27	но в	16	8
28	в них	2	7
29	вовсе не	11	7
30	как бы	27	7
31	в нем	19	7
32	и не	29	7
33	он хочет	4	6
34	у него	4	6
35	это не	5	6
36	ни в	4	6
37	для него	13	6
38	только в	6	6
39	о том	2	6
40	уже в	3	5
41	не только	10	5
42	и к	12	5
43	на этом	4	5
44	в ней	3	5
45	вместе с	4	5
46	что и	5	5
47	мы видели	3	5
48	как в	4	5
49	и у	5	5
50	а в	5	5
51	к нему	14	5
52	и для	8	5
53	так же	8	5
54	на одном	2	5
55	точки зрения	8	5
56	и это	4	5
57	потому что	12	5
58	в плане	6	5
59	что это	5	4
60	хотя и	3	4
61	но он	3	4
62	том что	3	4
63	но все	5	4
64	было бы	2	4
65	в сущности	11	4
66	может быть	19	4
67	он не	15	4
68	в виду	3	4
69	уже говорили	3	4
70	как я	3	4
71	и наконец	5	4
72	должно быть	3	4
73	рядом с	4	4
74	и на	6	4
75	та же	2	4
76	и с	15	4
77	он дает	2	4
78	конце концов	3	4
79	ничего не	4	4
80	я не	7	3
81	в отношении	9	3
82	что у	6	3
83	того же	2	3
84	во время	2	3
85	в одном	5	3
86	и потому	2	3
87	он может	2	3
88	это в	2	3
89	его к	3	3
90	очень часто	2	3
91	в мире	4	3
92	но это	4	3
93	такой же	3	3
94	совсем не	3	3
95	в своей	3	3
96	при этом	4	3
97	но именно	2	3
98	из них	5	3
99	например в	2	3
100	которым он	6	3
101	о нем	2	3
102	что он	23	3
103	с ее	3	3
104	жизни и	3	3
105	во всех	2	3
106	в форме	2	3
107	не может	19	3
108	не было	2	3
109	на них	5	3
110	в той	2	3
111	с точки	4	3
112	той же	2	3
113	с ними	6	3
114	тем что	4	3
115	не знает	6	3
116	но этот	2	3
117	его в	4	3
118	так сказать	2	3
119	так как	4	3
120	все его	2	3
121	он знает	2	2
122	что все	4	2
123	в человеке	2	2
124	с его	6	2
125	все время	5	2
126	ни было	4	2
127	никогда не	8	2
128	он только	3	2
129	и со	2	2
130	здесь и	2	2
131	и так	5	2
132	и во	3	2
133	в одной	3	2
134	с этим	2	2
135	на самом	11	2
136	в тоне	2	2
137	его целом	2	2
138	переходим к	4	2
139	и ее	2	2
140	к тому	5	2
141	отношению к	6	2
142	и как	3	2
143	всего этого	2	2
144	по своему	3	2
145	в большинстве	2	2
146	до конца	3	2
147	отношение к	6	2
148	тот же	2	2
149	еще не	4	2
150	того что	5	2
151	со всеми	2	2
152	своего рода	2	2
153	в реальном	3	2
154	на всю	2	2
155	в заключение	2	2
156	без труда	2	2
157	все те	2	2
158	вы думаете	5	2
159	всего романа	2	2
160	благодаря этому	2	2
161	входят в	2	2
162	по отношению	5	2
163	еще более	2	2
164	находится в	2	2
165	и вот	5	2
166	только на	4	2
167	не мог	5	2
168	а не	9	2
169	с самого	8	2
170	в силах	2	2
171	уже не	2	2
172	особенно в	2	2
173	что значит	2	2
174	жизнь и	2	2
175	и то	3	2
176	их в	3	2
177	во всяком	5	2
178	к самому	3	2
179	в которых	2	2
180	которой он	2	2
181	далеко не	3	2
182	как он	3	2
183	связан с	2	2
184	большинстве случаев	3	2
185	бы в	3	2
186	в чем	5	2
187	в которой	2	2
188	с ним	8	2
189	нет ни	2	2
190	это было	3	2
