N	2gram	Bakhtin_Pr_5	Myshleni
1	внутренней речи	5	67
2	в этом	14	29
3	точки зрения	7	28
4	речи в	2	27
5	и в	35	26
6	не только	10	24
7	для себя	7	24
8	то что	10	24
9	таким образом	7	23
10	с точки	2	21
11	в том	5	18
12	и не	27	18
13	том что	3	17
14	потому что	8	16
15	для других	3	15
16	внутренняя речь	3	15
17	как и	18	15
18	к слову	2	14
19	того что	3	14
20	так же	7	14
21	так как	4	14
22	как мы	8	14
23	что в	6	12
24	вместе с	2	12
25	и его	14	12
26	внутреннюю речь	4	12
27	в которой	2	11
28	но и	14	11
29	в слове	6	11
30	не может	18	11
31	словом и	3	10
32	что они	6	10
33	по своей	2	10
34	слова и	11	10
35	по своему	4	9
36	тому что	2	9
37	в самом	6	9
38	мысли в	2	9
39	в сущности	14	9
40	слово и	2	9
41	тем что	4	9
42	в себе	5	9
43	то же	15	8
44	сказать что	3	8
45	что он	24	8
46	той же	2	8
47	только в	6	8
48	самого начала	8	7
49	к тому	6	7
50	прежде всего	12	7
51	с самого	8	7
52	может быть	14	7
53	и к	12	7
54	и то	5	7
55	вопрос о	2	6
56	по отношению	6	6
57	мы должны	3	6
58	как бы	31	6
59	в ее	3	6
60	и что	6	6
61	было бы	3	6
62	и слова	2	6
63	во всех	3	6
64	все эти	3	6
65	все же	8	6
66	самом деле	10	6
67	а не	4	6
68	что это	4	6
69	слова в	6	5
70	на вопрос	2	5
71	с этой	2	5
72	что с	2	5
73	до конца	4	5
74	в виду	3	5
75	в целом	3	5
76	и с	12	5
77	в начале	3	5
78	бы в	4	5
79	с тем	3	5
80	отношению к	7	5
81	только что	3	5
82	в речи	2	5
83	и для	8	5
84	не менее	2	4
85	никогда не	4	4
86	что у	6	4
87	с другой	4	4
88	и от	3	4
89	в конце	5	4
90	в такой	4	4
91	так что	5	4
92	в котором	3	4
93	и наконец	7	4
94	друг друга	2	4
95	слова с	2	4
96	и во	3	4
97	в его	21	4
98	о том	2	4
99	но в	19	4
100	еще не	7	4
101	одной из	2	4
102	как в	5	4
103	приводит к	2	4
104	это и	3	4
105	что оно	2	4
106	в той	4	4
107	не в	10	4
108	показать что	2	4
109	я не	8	3
110	друг другу	4	3
111	для этого	2	3
112	мысль и	2	3
113	все это	14	3
114	это не	3	3
115	и речь	2	3
116	одно и	3	3
117	но это	6	3
118	такой же	3	3
119	для него	14	3
120	мог бы	2	3
121	совпадает с	2	3
122	в ней	2	3
123	смысле этого	2	3
124	его с	5	3
125	мы видели	2	3
126	как к	5	3
127	но только	3	3
128	и по	2	3
129	он не	13	3
130	нуждается в	3	3
131	мы уже	8	3
132	в первом	2	3
133	с ним	7	3
134	с собой	2	3
135	к другому	16	3
136	по себе	4	3
137	мы остановимся	3	3
138	во всем	4	3
139	в то	11	3
140	но не	6	3
141	в одной	3	3
142	этого слова	5	3
143	в этот	2	3
144	нет и	4	3
145	что и	3	3
146	в своей	4	3
147	так и	8	3
148	только на	4	3
149	как раз	4	3
150	на самом	9	3
151	и слово	8	3
152	к нему	13	3
153	с другими	2	3
154	мы можем	2	3
155	между двумя	2	3
156	в чем	4	3
157	уже в	3	2
158	себя и	8	2
159	в этих	2	2
160	его и	3	2
161	друг с	4	2
162	столь же	2	2
163	что все	2	2
164	его к	3	2
165	что на	2	2
166	мы знаем	2	2
167	ни в	2	2
168	на одно	2	2
169	что его	2	2
170	его мысль	4	2
171	в большинстве	2	2
172	на его	4	2
173	не мог	3	2
174	или в	2	2
175	но для	2	2
176	в нем	16	2
177	есть только	2	2
178	с ее	3	2
179	отношение к	6	2
180	время как	2	2
181	лишь в	7	2
182	должно быть	3	2
183	слово не	2	2
184	а в	7	2
185	самим собой	7	2
186	в которых	2	2
187	но он	4	2
188	его в	4	2
189	с которыми	2	2
190	в речь	3	2
191	большинстве случаев	2	2
192	перед вами	3	2
193	и свой	3	2
194	во время	5	2
195	с этим	3	2
196	и другого	2	2
197	этих двух	2	2
198	вовсе не	7	2
199	но эта	2	2
200	а затем	2	2
201	раз в	2	2
202	то в	2	2
203	слов и	3	2
204	но именно	2	2
205	со всеми	3	2
206	бы с	2	2
207	мы говорили	2	2
208	наконец в	4	2
209	к ней	2	2
210	и делает	4	2
211	даже в	5	2
212	его мысли	2	2
213	благодаря этому	2	2
214	к другу	3	2
215	из этого	2	2
216	что же	7	2
217	в отношении	9	2
218	в отличие	2	2
219	она в	2	2
220	что не	4	2
221	и он	2	2
222	можно было	2	2
223	во всяком	4	2
224	с другим	13	2
225	с другом	4	2
226	отличие от	2	2
227	ничего не	3	2
