N	2gram	Vinokur_St_2	NovoeSre
1	а не	5	17
2	не может	2	16
3	и в	29	16
4	и не	9	11
5	что в	19	9
6	истории и	2	9
7	он не	9	8
8	в том	27	8
9	как и	2	7
10	в этом	21	7
11	может быть	2	7
12	с его	2	6
13	никогда не	3	6
14	не в	4	6
15	но это	3	6
16	ни в	3	6
17	в нем	4	5
18	все это	11	5
19	xix века	3	5
20	и к	4	5
21	в ней	7	5
22	не только	19	5
23	не менее	3	4
24	то что	11	4
25	в них	2	4
26	не было	3	4
27	не имеет	2	4
28	потому что	9	4
29	по своему	2	4
30	прежде всего	5	4
31	о том	17	4
32	и потому	2	4
33	но и	19	3
34	к власти	2	3
35	в своей	7	3
36	в истории	2	3
37	с другой	4	3
38	вопрос о	6	3
39	в духе	2	3
40	и пр	8	3
41	к тому	10	3
42	что такое	2	3
43	в ее	2	3
44	с тем	7	3
45	как в	3	3
46	в россии	3	3
47	сказать что	2	3
48	это было	2	3
49	времени и	4	2
50	я не	7	2
51	к подлинному	2	2
52	вместе с	7	2
53	века и	2	2
54	так и	9	2
55	другой стороны	3	2
56	все эти	2	2
57	нет и	2	2
58	того чтобы	6	2
59	и даже	3	2
60	хотя бы	3	2
61	но не	3	2
62	так же	3	2
63	по существу	2	2
64	том что	27	2
65	же как	3	2
66	и с	4	2
67	и что	6	2
68	с этим	3	2
69	и на	6	2
70	не к	2	2
71	в себе	2	2
72	в то	2	2
73	и это	2	2
74	такого рода	2	2
75	xviii века	2	2
76	как это	2	2
77	не могли	2	2
78	хотя и	4	2
79	должно было	3	2
80	но в	8	2
81	еще до	4	2
