N	2gram	Vinokur_St_2	EvropaiC
1	таким образом	10	32
2	в том	27	31
3	и в	29	24
4	том что	27	20
5	все эти	2	19
6	не может	2	18
7	то что	11	17
8	может быть	2	15
9	народа в	2	15
10	все же	6	15
11	точки зрения	5	13
12	в своем	9	12
13	до сих	6	12
14	сих пор	5	12
15	самом деле	3	12
16	в этом	21	12
17	все это	11	11
18	между тем	5	11
19	с этим	3	11
20	как бы	5	10
21	так и	9	10
22	на то	2	9
23	при этом	2	9
24	в результате	2	9
25	как и	2	9
26	того же	2	9
27	что в	19	9
28	не в	4	8
29	в самом	7	8
30	так же	3	8
31	если бы	2	8
32	с точки	2	8
33	не менее	3	7
34	к тому	10	7
35	но и	19	7
36	и не	9	7
37	и что	6	7
38	о том	17	7
39	что он	13	7
40	о которых	2	7
41	по существу	2	7
42	или менее	2	7
43	на самом	3	7
44	того чтобы	6	7
45	для того	7	7
46	более или	2	7
47	с другой	4	6
48	так что	3	6
49	в этой	2	6
50	в общем	3	6
51	несмотря на	2	6
52	того что	5	6
53	как на	9	6
54	и на	6	6
55	так как	2	6
56	что и	2	6
57	тогда как	2	6
58	только в	2	6
59	вместе с	7	6
60	именно в	4	5
61	что это	3	5
62	тому же	3	5
63	в пользу	3	5
64	что с	2	5
65	другой стороны	3	5
66	и с	4	5
67	потому что	9	5
68	его в	2	5
69	но в	8	5
70	к этому	4	5
71	и к	4	5
72	в то	2	5
73	по своему	2	5
74	в его	13	5
75	не только	19	5
76	но все	7	5
77	в себе	2	5
78	в которой	11	5
79	на вопрос	3	4
80	никогда не	3	4
81	в конце	2	4
82	тем не	2	4
83	одним из	6	4
84	хотя и	4	4
85	из них	3	4
86	в их	3	4
87	факт что	6	4
88	совершенно так	2	4
89	тот факт	4	4
90	связи с	4	4
91	том же	2	4
92	он не	9	4
93	что эта	3	4
94	совершенно не	2	4
95	то же	2	4
96	а с	3	4
97	в течение	6	4
98	и сейчас	3	4
99	хотя бы	3	4
100	в области	2	4
101	же как	3	3
102	в этих	3	3
103	вопрос о	6	3
104	в тех	2	3
105	как у	3	3
106	очевидно что	2	3
107	в нем	4	3
108	то ни	2	3
109	и по	3	3
110	в начале	3	3
111	в истории	2	3
112	при помощи	4	3
113	и потому	2	3
114	с тем	7	3
115	прежде всего	5	3
116	у нас	3	3
117	как известно	2	3
118	всегда будет	2	3
119	на почве	2	3
120	даже в	2	3
121	только что	2	3
122	в данном	2	3
123	которые не	3	3
124	и вообще	2	3
125	и это	2	3
126	отличие от	2	3
127	не то	3	3
128	в частности	4	2
129	тому что	7	2
130	что у	4	2
131	с этой	2	2
132	что на	3	2
133	для него	4	2
134	что они	2	2
135	и сам	2	2
136	в ней	7	2
137	в виду	7	2
138	всяком случае	3	2
139	принять во	2	2
140	в котором	7	2
141	бы то	2	2
142	по его	3	2
143	они не	2	2
144	ни было	2	2
145	и те	2	2
146	доказать что	2	2
147	не было	3	2
148	в один	2	2
149	также и	2	2
150	на нее	3	2
151	во всяком	3	2
152	борьбы с	3	2
153	и более	2	2
154	только не	2	2
155	из таких	2	2
156	из нее	3	2
157	давно уже	3	2
158	в них	2	2
159	вовсе не	6	2
160	конечно в	2	2
161	а затем	2	2
162	а к	2	2
163	но не	3	2
164	было бы	5	2
165	между прочим	12	2
166	во внимание	2	2
167	которую он	2	2
168	очень мало	2	2
169	в процессе	2	2
170	что оба	2	2
171	почти все	2	2
172	но с	4	2
173	из этой	2	2
174	этот вопрос	2	2
175	в другом	4	2
176	в эту	3	2
