N	2gram	Medvedev_F_1	Problemy
1	и в	24	34
2	и не	20	29
3	как бы	6	27
4	что он	3	23
5	в его	23	22
6	может быть	14	19
7	в нем	14	19
8	не может	16	19
9	и все	6	19
10	как и	11	18
11	но в	5	16
12	все это	9	16
13	и его	10	16
14	в этом	15	16
15	и с	8	15
16	прежде всего	22	15
17	он не	3	15
18	то же	10	14
19	самом деле	6	13
20	для него	3	13
21	т е	34	12
22	но и	7	12
23	же время	8	12
24	и к	4	12
25	в то	9	12
26	вовсе не	10	11
27	то что	8	11
28	на самом	7	11
29	не только	7	10
30	в отношении	3	9
31	не в	8	9
32	а не	10	9
33	никогда не	4	8
34	в самом	5	8
35	и т	12	8
36	о мире	2	8
37	так же	4	8
38	точки зрения	16	8
39	с ним	2	8
40	что в	4	7
41	и даже	3	7
42	отношении к	2	7
43	этого слова	3	7
44	все же	3	7
45	на него	2	7
46	как мы	5	7
47	в пределах	6	6
48	отношение к	3	6
49	и на	8	6
50	с его	4	6
51	отношению к	4	6
52	так и	18	6
53	т п	4	6
54	в себе	3	6
55	только в	2	6
56	все время	2	5
57	это не	2	5
58	и от	7	5
59	к тому	3	5
60	но все	2	5
61	и что	2	5
62	того что	5	5
63	дело идет	3	5
64	всяком случае	4	5
65	в целом	6	5
66	по отношению	4	5
67	таким образом	13	5
68	и вот	2	5
69	лишь в	8	5
70	а в	6	5
71	и наконец	3	5
72	с тем	2	5
73	в одном	2	5
74	что и	2	5
75	ни одного	2	5
76	хотя бы	5	5
77	во всяком	4	5
78	то ни	3	4
79	с другой	5	4
80	ни было	2	4
81	ни в	2	4
82	но это	3	4
83	при этом	5	4
84	на его	2	4
85	в общем	3	4
86	не о	3	4
87	его с	2	4
88	бы то	3	4
89	как к	3	4
90	все эти	6	4
91	даже и	2	4
92	его в	3	4
93	если бы	4	4
94	как раз	2	4
95	но не	3	4
96	еще не	6	4
97	как в	8	4
98	только на	5	4
99	в мире	4	4
100	с точки	13	4
101	с другими	4	4
102	он в	2	4
103	и это	2	4
104	ничего не	2	4
105	вместе с	2	4
106	не менее	11	3
107	для этого	4	3
108	в каждом	3	3
109	в том	6	3
110	до конца	7	3
111	но для	3	3
112	в него	2	3
113	с ее	7	3
114	мы видели	2	3
115	жизни и	7	3
116	его и	2	3
117	как такового	2	3
118	должно быть	11	3
119	для других	2	3
120	говорит он	3	3
121	в ней	10	3
122	во всем	2	3
123	большинстве случаев	2	3
124	бы в	3	3
125	под влиянием	2	3
126	не как	4	3
127	раз и	2	3
128	по себе	5	3
129	в ее	8	3
130	между тем	2	3
131	наконец в	3	3
132	еще в	2	3
133	нет и	2	3
134	в своей	11	3
135	сводится к	3	3
136	и как	3	3
137	может войти	2	2
138	не было	3	2
139	сама по	2	2
140	в душе	2	2
141	а вовсе	2	2
142	с этой	4	2
143	вопрос о	2	2
144	на всю	2	2
145	в большинстве	3	2
146	и если	2	2
147	в другой	2	2
148	что такое	2	2
149	к другим	2	2
150	со всею	5	2
151	один из	3	2
152	друг друга	4	2
153	и со	2	2
154	отличается от	3	2
155	в своем	11	2
156	т д	8	2
157	не для	3	2
158	того или	2	2
159	как на	4	2
160	особенно в	3	2
161	мире а	2	2
162	с этим	2	2
163	на нее	2	2
164	и должно	2	2
165	как она	3	2
166	к которому	2	2
167	и лишь	2	2
168	а как	2	2
169	нисколько не	2	2
170	всех этих	3	2
171	смысле этого	3	2
172	отнюдь не	6	2
173	в них	3	2
174	он должен	3	2
175	в жизни	3	2
176	его целом	8	2
177	не с	2	2
178	это и	3	2
179	более того	3	2
180	громадное значение	3	2
181	было бы	6	2
182	мы увидим	4	2
183	со всеми	3	2
184	конечно не	4	2
185	за пределы	2	2
186	во всех	5	2
187	вполне понятно	2	2
188	к ней	2	2
189	и потому	9	2
190	оно должно	3	2
191	войти в	2	2
192	когда он	3	2
193	быть и	4	2
194	всего этого	2	2
195	всем этим	2	2
196	входит в	6	2
197	жизнь и	3	2
198	уже не	2	2
199	в которой	4	2
200	со всем	3	2
201	вступает в	2	2
202	и стилей	2	2
203	и ее	10	2
204	так сказать	3	2
