N	2gram	Losev_Prob_3	Poddanst
1	не только	14	17
2	и в	44	14
3	и не	35	12
4	в отношении	2	10
5	в этом	17	10
6	то же	13	9
7	в том	21	9
8	в качестве	3	9
9	но в	12	9
10	хотя бы	3	8
11	в то	9	7
12	только в	19	7
13	но и	10	6
14	в ней	5	6
15	было бы	8	6
16	с другой	7	5
17	не в	13	5
18	в которых	3	5
19	и о	5	5
20	может быть	28	5
21	же в	3	4
22	в котором	2	4
23	то что	23	4
24	что в	8	4
25	если бы	3	4
26	в своем	5	4
27	не может	7	4
28	но также	2	4
29	по себе	25	4
30	и к	6	4
31	а в	5	4
32	том что	12	4
33	мы должны	7	4
34	и если	6	4
35	а также	4	4
36	как бы	9	4
37	и потому	7	4
38	в порядке	3	3
39	сами по	6	3
40	в нем	9	3
41	и т	13	3
42	с тем	5	3
43	в сравнении	2	3
44	и без	4	3
45	это не	9	3
46	с одной	2	3
47	прежде всего	3	3
48	заключается в	4	3
49	тем самым	5	3
50	с точки	2	3
51	мы не	7	3
52	сравнении с	2	3
53	и как	3	3
54	но не	3	3
55	могут быть	2	3
56	точки зрения	5	3
57	в себе	8	3
58	что мы	8	3
59	потому что	25	3
60	хотя и	5	3
61	не менее	10	2
62	и тем	9	2
63	для них	2	2
64	именно в	2	2
65	и есть	5	2
66	во всех	2	2
67	в частности	2	2
68	не будем	2	2
69	отнюдь не	10	2
70	тем более	3	2
71	есть нечто	8	2
72	все это	5	2
73	она ни	2	2
74	во всей	3	2
75	как раз	8	2
76	не столько	2	2
77	отношения к	3	2
78	с этим	2	2
79	между прочим	2	2
80	а не	18	2
81	того что	8	2
82	для нас	16	2
83	в ее	4	2
84	как на	2	2
85	говорить о	3	2
86	есть не	5	2
87	есть в	3	2
88	является в	2	2
89	в виде	6	2
90	по сравнению	2	2
91	не было	5	2
92	в начале	2	2
93	из них	2	2
94	и это	9	2
95	никак не	9	2
96	да и	5	2
97	в его	9	2
98	и с	9	2
