N	2gram	Losev_Dial_1	Narrotol
1	не только	13	32
2	может быть	17	25
3	но и	7	23
4	в качестве	2	21
5	и не	30	20
6	и в	18	19
7	в том	9	18
8	в этом	12	17
9	в частности	2	14
10	том что	9	14
11	не в	6	14
12	а не	14	12
13	то что	13	11
14	а в	5	11
15	не может	12	10
16	точки зрения	17	10
17	со стороны	2	9
18	так и	9	9
19	в его	3	9
20	в мире	2	9
21	с другой	6	8
22	не является	3	8
23	в себе	11	8
24	как и	2	7
25	еще не	2	7
26	к тому	4	7
27	все же	5	7
28	как в	2	7
29	с одной	2	7
30	одной стороны	2	7
31	что он	11	6
32	то в	7	6
33	но не	4	6
34	точка зрения	2	6
35	именно в	2	6
36	как это	4	6
37	о том	4	6
38	но в	6	6
39	и как	7	5
40	отнюдь не	9	5
41	нуждается в	3	5
42	по себе	25	5
43	или иной	3	5
44	можно сказать	6	5
45	тому же	2	5
46	уже не	2	5
47	к нему	8	5
48	в данном	3	5
49	в основе	3	5
50	точку зрения	3	4
51	прежде всего	10	4
52	в нем	16	4
53	что не	7	4
54	то же	10	4
55	да и	6	4
56	но все	3	4
57	же время	4	4
58	было бы	12	4
59	вслед за	2	4
60	той или	7	4
61	как бы	11	4
62	хотя бы	6	4
63	другой стороны	4	4
64	отличается от	2	4
65	в особенности	5	4
66	сказать что	10	4
67	только в	3	4
68	и с	5	4
69	не существует	7	3
70	не менее	2	3
71	а с	2	3
72	ни было	2	3
73	же как	2	3
74	что в	13	3
75	могут быть	3	3
76	никогда не	9	3
77	из этих	2	3
78	ни в	15	3
79	это и	4	3
80	что они	3	3
81	хотя и	4	3
82	в ней	3	3
83	он не	3	3
84	и даже	13	3
85	мог бы	2	3
86	если в	3	3
87	один из	3	3
88	не с	5	3
89	не есть	40	3
90	из них	2	3
91	жизни и	3	3
92	даже не	3	3
93	этом отношении	2	3
94	как мы	4	3
95	и он	5	3
96	то или	3	3
97	не о	4	3
98	в то	6	3
99	что это	11	3
100	или иное	3	2
101	он сам	5	2
102	должна быть	3	2
103	в своем	5	2
104	себе не	5	2
105	в противоположность	5	2
106	та же	3	2
107	не как	2	2
108	точно так	2	2
109	быть может	4	2
110	себе самом	2	2
111	утверждать что	3	2
112	что именно	2	2
113	и сейчас	2	2
114	точек зрения	3	2
115	говорит о	5	2
116	том или	2	2
117	более или	3	2
118	для него	2	2
119	она не	6	2
120	несмотря на	10	2
121	вплоть до	3	2
122	и потому	3	2
123	даже в	3	2
124	не имеет	15	2
125	или менее	3	2
126	отношение к	5	2
127	есть всегда	4	2
128	так же	4	2
129	как раз	4	2
130	к самому	2	2
131	отношения к	3	2
132	не было	6	2
133	все эти	2	2
134	этой точки	2	2
135	совершенно не	8	2
136	самом деле	3	2
137	и для	2	2
138	с точки	12	2
139	это не	9	2
140	можно было	5	2
141	тем более	2	2
142	не то	6	2
143	может оказаться	2	2
144	что касается	2	2
145	но как	2	2
146	говорить о	5	2
147	и все	3	2
148	ничего не	17	2
149	мы имеем	2	2
150	о чем	2	2
