N	2gram	Bakhtin_fo_1	Myslijsy
1	потому что	4	46
2	то есть	33	34
3	в том	9	32
4	и в	50	30
5	может быть	11	28
6	то же	11	23
7	не только	9	21
8	только в	4	21
9	для нас	2	20
10	но и	8	19
11	том что	4	18
12	то что	6	18
13	того что	2	18
14	что в	5	17
15	по себе	2	16
16	и проч	4	16
17	в себе	3	16
18	не в	5	15
19	и не	14	15
20	а не	3	15
21	таким образом	11	14
22	что и	3	13
23	так как	6	13
24	вместе с	3	12
25	а в	3	12
26	если бы	5	12
27	так и	12	11
28	как и	8	10
29	как в	6	10
30	в этом	25	10
31	в то	9	10
32	для него	2	9
33	было бы	2	9
34	в нем	24	9
35	мы не	3	9
36	тогда когда	2	9
37	в самом	8	8
38	в ней	4	8
39	что не	3	8
40	что мы	2	8
41	и то	4	8
42	с другой	2	7
43	вовсе не	13	7
44	к тому	3	7
45	как мы	14	7
46	с тем	3	7
47	но не	5	7
48	есть не	3	7
49	с одной	3	7
50	тем что	2	7
51	же что	2	6
52	но оно	2	6
53	с этим	6	6
54	например в	6	6
55	те же	2	6
56	не может	6	6
57	уже не	2	6
58	не имеет	4	6
59	с ним	2	6
60	уже в	2	5
61	одно из	3	5
62	не могут	3	5
63	в них	4	5
64	человека и	11	5
65	в каком	2	5
66	и как	10	5
67	же время	9	5
68	в своем	4	5
69	еще не	5	5
70	отношению к	5	5
71	по отношению	3	5
72	одно и	3	5
73	есть только	2	5
74	с другими	3	5
75	сказать что	3	5
76	и т	8	5
77	к ней	2	5
78	слова и	2	5
79	оно не	2	4
80	этот образ	2	4
81	все это	4	4
82	то время	4	4
83	в его	13	4
84	себя и	3	4
85	была бы	2	4
86	в котором	4	4
87	один из	3	4
88	не к	2	4
89	и его	16	4
90	он не	5	4
91	не было	7	4
92	для того	5	4
93	и по	2	4
94	быть только	3	4
95	мы должны	2	4
96	далеко не	2	4
97	и это	4	4
98	и потому	3	4
99	место в	2	3
100	жизни не	3	3
101	могут быть	5	3
102	прежде всего	15	3
103	и все	6	3
104	что все	2	3
105	в образе	5	3
106	к этому	3	3
107	а только	2	3
108	именно в	3	3
109	есть в	2	3
110	в свою	2	3
111	до сих	3	3
112	одной стороны	2	3
113	при этом	3	3
114	и может	2	3
115	и следовательно	4	3
116	как бы	2	3
117	никто не	2	3
118	для себя	7	3
119	в целом	2	3
120	время в	6	3
121	только на	3	3
122	человеческой жизни	6	3
123	в одно	3	3
124	того чтобы	5	3
125	друг друга	3	3
126	так же	6	3
127	в таком	3	3
128	или в	3	3
129	и на	8	3
130	же и	2	3
131	в начале	3	3
132	и вообще	2	3
133	не знает	3	3
134	его в	3	3
135	здесь только	2	3
136	там где	2	3
137	здесь как	2	3
138	в чем	2	3
139	в которой	2	3
140	сих пор	3	3
141	во многом	2	2
142	но все	5	2
143	время и	4	2
144	не были	2	2
145	об этом	2	2
146	связи с	6	2
147	со своей	3	2
148	не как	2	2
149	в одном	3	2
150	а как	3	2
151	отношение к	2	2
152	одной из	3	2
153	в ее	6	2
154	мы видим	3	2
155	можно только	2	2
156	у него	6	2
157	уже на	2	2
158	том же	2	2
159	мы уже	11	2
160	был бы	3	2
161	его жизни	8	2
162	все же	6	2
163	же в	3	2
164	жизни и	8	2
165	в своей	2	2
166	и до	5	2
167	природы и	2	2
168	в их	6	2
169	в форме	3	2
170	т п	8	2
171	входит в	3	2
172	в других	9	2
173	в разных	5	2
174	этом отношении	3	2
175	к своему	2	2
176	в буквальном	2	2
177	и даже	2	2
178	той же	2	2
179	в которых	2	2
180	их в	3	2
181	ни в	8	2
182	от этого	2	2
183	точки зрения	5	2
184	связь между	2	2
185	так сказать	7	2
186	буквальном смысле	2	2
187	и с	4	2
