N	2gram	Voloshinov_1	Psycholo
1	то что	8	44
2	и в	19	33
3	в этом	16	28
4	как бы	15	25
5	для того	4	23
6	может быть	26	22
7	том что	3	22
8	того чтобы	5	22
9	что в	4	21
10	в том	6	21
11	о том	2	20
12	что он	2	20
13	таким образом	17	13
14	и не	26	13
15	так же	7	13
16	сказать что	4	13
17	все это	3	13
18	к тому	2	12
19	в самом	10	12
20	и все	5	12
21	так как	2	12
22	было бы	4	12
23	если мы	11	12
24	самом деле	10	12
25	что все	2	11
26	он не	3	11
27	не может	24	10
28	в его	6	10
29	как она	2	10
30	если бы	2	10
31	по себе	4	9
32	как раз	2	9
33	то же	7	9
34	в конце	5	8
35	в каком	3	8
36	в своем	2	7
37	до конца	5	7
38	в нем	10	7
39	и только	2	7
40	не только	8	7
41	тому что	2	6
42	в ней	4	6
43	все эти	7	6
44	точки зрения	34	6
45	же самое	3	6
46	мы должны	3	6
47	в сущности	3	6
48	на самом	3	6
49	а не	7	6
50	в себе	2	6
51	самого начала	4	5
52	никогда не	2	5
53	в какой	3	5
54	с самого	4	5
55	и как	3	5
56	целый ряд	3	5
57	мы не	6	5
58	и на	4	5
59	вовсе не	5	5
60	как он	2	5
61	мы можем	2	5
62	ясно что	5	5
63	с этим	4	5
64	это и	3	5
65	как и	12	5
66	мы уже	2	5
67	и его	19	5
68	все же	8	5
69	и это	3	5
70	из этого	2	5
71	и есть	3	4
72	в частности	2	4
73	совершенно не	3	4
74	из них	3	4
75	жизни и	2	4
76	а в	4	4
77	и других	2	4
78	не просто	2	4
79	того что	3	4
80	с этой	2	4
81	к этому	5	4
82	у нас	2	4
83	одна из	2	4
84	не будет	4	4
85	в своей	3	4
86	в двух	2	4
87	как мы	13	4
88	что не	2	4
89	с точки	20	4
90	той же	2	4
91	в таком	2	4
92	можно было	2	4
93	этот вопрос	5	4
94	могла бы	2	4
95	только в	9	4
96	слова и	3	4
97	в которой	3	4
98	сама по	2	3
99	же как	2	3
100	нам придется	2	3
101	ни в	2	3
102	тот же	4	3
103	должно быть	2	3
104	в пределах	6	3
105	но если	2	3
106	всяком случае	2	3
107	ни одной	2	3
108	и другую	2	3
109	с ее	2	3
110	но и	8	3
111	конечно не	5	3
112	понятно что	3	3
113	не было	3	3
114	здесь мы	4	3
115	в своих	2	3
116	и здесь	6	3
117	в то	3	3
118	во все	2	3
119	его в	3	3
120	нет ни	2	3
121	в основе	2	3
122	смысле этого	3	3
123	здесь в	3	3
124	до сих	8	3
125	она не	2	3
126	конце концов	3	3
127	и этот	2	3
128	что и	2	3
129	сих пор	8	3
130	так и	11	3
131	как в	4	3
132	слова как	7	3
133	из которых	2	3
134	и он	2	3
135	к этой	2	3
136	и для	11	3
137	во всяком	5	3
138	от этого	2	3
139	тем что	2	3
140	далеко не	4	3
141	этого слова	2	3
142	на этот	3	3
143	место в	3	2
144	это делает	2	2
145	бы и	2	2
146	с другой	5	2
147	в одной	2	2
148	и от	3	2
149	из этих	2	2
150	прежде всего	13	2
151	вопрос о	4	2
152	другом и	2	2
153	самое это	2	2
154	мы знаем	5	2
155	но все	3	2
156	нет никакой	2	2
157	совершается в	5	2
158	же время	3	2
159	при этом	8	2
160	в действительности	2	2
161	и та	2	2
162	себе и	2	2
163	и той	2	2
164	и является	2	2
165	в виду	2	2
166	в котором	3	2
167	не является	4	2
168	точка зрения	7	2
169	то как	2	2
170	допустим что	2	2
171	другой стороны	6	2
172	именно в	5	2
173	те же	5	2
174	к другой	3	2
175	не имеет	3	2
176	и формы	3	2
177	в результате	9	2
178	и с	2	2
179	не в	5	2
180	и потому	5	2
181	слово в	3	2
182	но в	7	2
183	а как	3	2
184	он может	3	2
185	до тех	2	2
186	если он	2	2
187	и к	3	2
188	в ее	7	2
189	для нашей	2	2
190	по которым	2	2
191	тех пор	2	2
192	можно сказать	3	2
193	во всех	7	2
194	однако не	2	2
195	бы то	8	2
196	пор пока	2	2
197	не все	2	2
198	нем нет	2	2
199	одной и	2	2
200	сводится к	3	2
201	и эта	4	2
202	хотя бы	5	2
203	творческий акт	2	2
204	между двумя	3	2
205	и ее	3	2
206	все остальное	2	2
207	связи с	11	2
208	в русской	2	2
209	ничего не	6	2
