N	3gram	Tiupa_Hudo_2	Narrotol
1	в том что	11	8
2	с одной стороны	3	7
3	о том что	7	6
4	по отношению к	7	6
5	не может быть	3	5
6	в данном случае	2	4
7	к тому же	2	4
8	все те же	2	4
9	то же время	4	3
10	состоит в том	2	3
11	в то же	4	3
12	тем не менее	3	3
13	детях о внуках	2	2
14	не все верили	2	2
15	так же как	2	2
16	на другой день	2	2
17	так и не	4	2
18	которая живет теперь	2	2
19	в конечном счете	3	2
20	тогда как в	2	2
21	не только в	2	2
22	с точки зрения	2	2
23	подобно тому как	4	2
24	идет по полю	2	2
25	о детях о	2	2
26	а не в	2	2
27	можно было бы	2	2
28	того или иного	2	2
