N	2gram	Bakhtin_Pr_3	Analitik
1	в этом	8	18
2	и в	53	16
3	не только	4	16
4	так и	6	15
5	как и	11	14
6	в том	14	12
7	своего рода	3	12
8	но и	7	12
9	и не	15	12
10	том что	5	12
11	могут быть	4	10
12	как бы	14	10
13	при этом	3	10
14	а не	11	10
15	и даже	2	9
16	ничего не	6	9
17	то есть	48	9
18	и т.п	31	8
19	в себе	5	7
20	то что	9	7
21	особенно в	4	7
22	о том	2	7
23	а также	4	7
24	с другой	2	6
25	в самом	2	6
26	в мире	5	6
27	и на	18	6
28	говорить о	2	6
29	может быть	12	6
30	как это	2	6
31	но в	5	6
32	говорит о	2	5
33	и к	5	5
34	не менее	3	4
35	в конце	3	4
36	можно сказать	8	4
37	и смерти	2	4
38	тому же	2	4
39	не в	2	4
40	но не	5	4
41	того же	2	4
42	в сущности	10	4
43	в один	2	4
44	и особенно	3	4
45	и тем	2	4
46	во всех	12	4
47	как в	7	4
48	все это	8	4
49	по отношению	2	4
50	не может	2	4
51	и его	10	4
52	то же	6	4
53	хотя и	4	4
54	он в	2	4
55	точки зрения	4	4
56	только в	4	4
57	в сознании	2	4
58	в себя	6	4
59	казалось бы	3	3
60	место в	2	3
61	никогда не	2	3
62	что касается	2	3
63	прежде всего	15	3
64	при всей	2	3
65	одной из	4	3
66	тем не	2	3
67	с самим	5	3
68	со смертью	2	3
69	есть в	3	3
70	было бы	5	3
71	несмотря на	2	3
72	и если	3	3
73	на его	3	3
74	что и	3	3
75	проявляется в	4	3
76	из них	4	3
77	в их	2	3
78	и одновременно	4	3
79	не знает	4	3
80	именно в	2	3
81	а в	2	3
82	как мы	5	3
83	тем что	2	3
84	как будто	2	3
85	и т.д	2	3
86	в эту	3	3
87	и все	10	3
88	для всех	2	2
89	к этому	4	2
90	вовсе не	3	2
91	а затем	4	2
92	по существу	5	2
93	в соответствии	2	2
94	соответствии с	2	2
95	же время	5	2
96	что в	2	2
97	так например	2	2
98	с их	2	2
99	еще не	5	2
100	в своей	3	2
101	не о	2	2
102	один из	6	2
103	это было	3	2
104	и их	2	2
105	вместе с	2	2
106	таким образом	6	2
107	здесь в	10	2
108	той же	5	2
109	еще более	5	2
110	в двух	2	2
111	и для	4	2
112	с точки	2	2
113	на основе	2	2
114	в таком	2	2
115	этой сцены	2	2
116	и до	5	2
117	между тем	2	2
118	и во	4	2
119	он не	3	2
120	о себе	2	2
121	на протяжении	5	2
122	в то	5	2
123	в его	8	2
124	его в	2	2
125	в этих	5	2
126	сказать что	10	2
127	с ним	2	2
