N	2gram	Bakhtin_Pr_2	Psycholo
1	то что	7	32
2	и в	43	31
3	в том	6	30
4	и т	13	26
5	то есть	4	26
6	что в	4	23
7	может быть	23	22
8	таким образом	5	20
9	при этом	6	19
10	так как	4	18
11	не может	18	17
12	как и	14	16
13	том что	2	16
14	и не	29	16
15	т п	9	16
16	точки зрения	13	15
17	только в	4	14
18	а не	7	13
19	не только	11	13
20	что и	3	13
21	так же	2	12
22	если мы	2	12
23	мы не	4	12
24	в этом	13	12
25	в самом	7	11
26	могут быть	3	11
27	не в	11	11
28	на то	5	10
29	в сущности	9	10
30	того что	2	10
31	по себе	11	9
32	ни в	2	9
33	как в	2	9
34	самом деле	5	9
35	никогда не	9	8
36	все это	5	8
37	т д	4	8
38	и что	5	8
39	во всяком	2	8
40	что он	13	7
41	есть в	3	7
42	и его	8	7
43	сказать что	2	7
44	о том	5	7
45	что это	2	6
46	вовсе не	5	6
47	художественного творчества	2	6
48	до конца	4	6
49	было бы	5	6
50	если бы	3	6
51	из этих	2	6
52	целый ряд	2	6
53	а в	5	6
54	и даже	3	6
55	в его	10	6
56	и все	6	5
57	все же	3	5
58	так что	5	5
59	то время	2	5
60	для нас	2	5
61	она не	3	5
62	совершенно не	4	5
63	как бы	22	5
64	в целом	2	5
65	в процессе	2	5
66	другой стороны	3	5
67	и для	3	5
68	то же	8	5
69	с другой	4	5
70	время как	2	5
71	в то	7	5
72	к тому	4	4
73	в котором	6	4
74	в виду	3	4
75	прежде всего	10	4
76	и так	2	4
77	в себе	5	4
78	указывает на	2	4
79	отличие от	4	4
80	по существу	3	4
81	что я	6	4
82	одна из	2	4
83	мы увидим	5	4
84	у него	6	4
85	со всеми	3	4
86	у нас	2	4
87	и о	2	4
88	никак не	5	4
89	в этих	6	4
90	в своих	2	4
91	в результате	4	4
92	мы можем	2	4
93	этого слова	2	4
94	там где	4	4
95	между тем	3	4
96	уже в	2	3
97	не могут	4	3
98	его и	2	3
99	в своем	4	3
100	что у	2	3
101	та же	2	3
102	в каждом	11	3
103	должна быть	3	3
104	вопрос о	2	3
105	стороны и	3	3
106	и к	3	3
107	что на	2	3
108	точек зрения	4	3
109	тому же	3	3
110	себе а	2	3
111	но это	4	3
112	но не	5	3
113	из его	2	3
114	до сих	7	3
115	например в	2	3
116	хотя и	5	3
117	в слове	5	3
118	он не	9	3
119	но к	2	3
120	сих пор	7	3
121	не есть	2	3
122	в своей	4	3
123	так и	3	3
124	только на	3	3
125	им в	2	3
126	в отличие	4	3
127	должны быть	2	3
128	тем же	2	3
129	той же	3	3
130	почти всегда	2	3
131	в таком	2	3
132	в которых	2	3
133	в одной	3	3
134	и только	3	3
135	с этим	2	3
136	слова в	12	3
137	у меня	5	3
138	во всем	3	3
139	может стать	4	3
140	в конце	2	3
141	и это	4	3
142	в художественном	3	3
143	в произведении	4	3
144	конце концов	2	3
145	это все	3	3
146	но в	10	3
147	т е	26	3
148	не менее	3	2
149	такой же	3	2
150	сама по	4	2
151	уже и	2	2
152	этом смысле	2	2
153	и как	2	2
154	и без	2	2
155	в них	4	2
156	и другого	2	2
157	человека и	2	2
158	в жизни	3	2
159	в такой	2	2
160	с ним	3	2
161	и здесь	3	2
162	быть в	2	2
163	на два	3	2
164	тем не	2	2
165	уже не	3	2
166	себя и	3	2
167	более или	3	2
168	того же	3	2
169	настоящее время	2	2
170	тот же	3	2
171	с теми	2	2
172	что такое	2	2
173	него в	3	2
174	и их	3	2
175	том же	4	2
176	и следовательно	3	2
177	и очень	2	2
178	далеко не	4	2
179	в него	7	2
180	на почве	2	2
181	даже в	3	2
182	речь и	2	2
183	наконец в	3	2
184	в нем	12	2
185	отношение к	2	2
186	из них	2	2
187	когда он	3	2
188	но и	14	2
189	или менее	3	2
190	без всякого	2	2
191	что же	7	2
192	мысли и	2	2
193	приводит к	6	2
194	как мы	10	2
195	отличается от	2	2
196	как раз	4	2
197	то и	2	2
198	в настоящее	2	2
199	в голове	2	2
200	является предметом	2	2
201	в себя	3	2
202	к нему	5	2
203	с точки	8	2
204	ничего не	3	2
205	их в	4	2
206	бы ни	2	2
207	и с	5	2
208	бы и	2	2
209	и то	2	2
210	бы в	5	2
211	ту же	2	2
212	в поэзии	2	2
213	если же	4	2
214	его в	3	2
215	как он	2	2
216	в одном	12	2
217	или как	4	2
