N	2gram	Nazirov_Tr_1	Psycholo
1	то что	4	44
2	и в	18	33
3	в этом	9	28
4	как бы	7	25
5	и что	4	25
6	потому что	2	24
7	может быть	7	22
8	том что	4	22
9	что в	4	21
10	в том	2	21
11	о том	2	20
12	что он	6	20
13	как это	3	14
14	что это	5	13
15	и не	7	13
16	так же	4	13
17	то есть	3	13
18	все это	4	13
19	к тому	2	12
20	в самом	2	12
21	и все	4	12
22	что все	2	11
23	он не	2	11
24	говорит что	2	10
25	что она	2	10
26	не может	5	10
27	в его	3	10
28	в этой	4	9
29	то же	5	9
30	в конце	3	8
31	в рассказе	2	8
32	как будто	3	8
33	в своем	3	7
34	до конца	2	7
35	так что	2	7
36	в нем	4	7
37	не только	8	7
38	перед нами	2	6
39	это не	5	6
40	все эти	3	6
41	у него	6	6
42	в себе	4	6
43	никогда не	2	5
44	и как	3	5
45	в целом	4	5
46	и на	7	5
47	с ним	3	5
48	как и	5	5
49	и его	6	5
50	все же	5	5
51	и это	2	5
52	я не	4	4
53	в частности	2	4
54	не просто	2	4
55	с тем	2	4
56	об этом	4	4
57	одна из	2	4
58	никто не	3	4
59	говорит о	2	4
60	в таком	2	4
61	жизнь и	3	4
62	по поводу	2	4
63	точно так	2	3
64	в мире	3	3
65	ни в	2	3
66	должно быть	3	3
67	с ее	3	3
68	и за	2	3
69	но и	4	3
70	и до	2	3
71	эпизод с	3	3
72	и здесь	2	3
73	в то	5	3
74	его в	2	3
75	в одном	2	3
76	что и	2	3
77	так и	5	3
78	как в	3	3
79	тем самым	3	3
80	и он	3	3
81	что этот	2	3
82	тем что	2	3
83	в виде	2	3
84	еще раз	2	3
85	уже в	3	2
86	не был	2	2
87	бы и	2	2
88	столь же	2	2
89	прежде всего	4	2
90	вопрос о	2	2
91	но все	2	2
92	знает что	2	2
93	же время	6	2
94	при этом	3	2
95	один из	3	2
96	не имеет	2	2
97	и с	7	2
98	не в	2	2
99	но в	6	2
100	а как	2	2
101	с его	2	2
102	по словам	2	2
103	в ее	2	2
104	в это	2	2
105	что эти	2	2
106	как говорит	2	2
107	и то	2	2
108	ничем не	2	2
109	и ее	2	2
110	ничего не	2	2
111	что говорит	2	2
112	отца и	2	2
