N	3gram	Bakhtin_Pr_1	Formalny
1	с точки зрения	15	14
2	не может быть	3	14
3	на самом деле	3	12
4	то же время	7	7
5	в то же	7	7
6	во всяком случае	3	6
7	с другой стороны	2	5
8	в зависимости от	3	5
9	в данном случае	2	4
10	в самом деле	2	4
11	в большинстве случаев	2	4
12	то ни было	2	4
13	и не может	2	4
14	бы то ни	3	4
15	подобно тому как	3	4
16	видения и понимания	3	4
17	для того чтобы	2	4
18	раз и навсегда	2	3
19	в одной плоскости	3	3
20	в этом отношении	5	3
21	в том что	7	3
22	по отношению к	11	3
23	потому что он	2	3
24	лишь одним из	2	2
25	и в то	3	2
26	сами по себе	3	2
27	в отличие от	2	2
28	в конце концов	4	2
29	нам кажется что	2	2
30	только то что	2	2
31	именно потому что	2	2
32	в этом смысле	9	2
