N	2gram	Vinokur_St_3	formyVre
1	и в	25	46
2	в этом	24	22
3	прежде всего	10	14
4	и т	8	14
5	вовсе не	2	13
6	и его	3	12
7	только в	6	11
8	не только	12	11
9	во всех	2	11
10	т п	6	11
11	во время	3	10
12	в том	20	10
13	как бы	6	10
14	точки зрения	7	10
15	то есть	2	10
16	но в	5	10
17	у него	9	9
18	не в	6	9
19	вместе с	2	9
20	но и	9	9
21	и не	10	9
22	и для	4	9
23	в связи	3	8
24	связи с	3	8
25	как и	4	8
26	в его	12	8
27	то же	5	8
28	для того	2	8
29	с точки	4	8
30	потому что	5	8
31	всех этих	3	7
32	в них	5	7
33	может быть	19	7
34	то что	12	7
35	так и	5	7
36	и на	6	7
37	так сказать	2	7
38	никогда не	2	6
39	и во	2	6
40	как мы	2	6
41	еще не	2	6
42	все же	4	6
43	все это	8	6
44	в особенности	4	6
45	и наконец	3	6
46	так как	3	6
47	и с	4	6
48	с этим	7	5
49	в то	7	5
50	но не	2	5
51	он не	5	5
52	и др	4	5
53	что в	19	5
54	все эти	3	5
55	в смысле	4	5
56	и у	2	5
57	место в	6	4
58	уже в	3	4
59	с этой	3	4
60	из этих	6	4
61	же время	3	4
62	том что	15	4
63	так что	11	4
64	что они	2	4
65	в котором	5	4
66	как в	6	4
67	а не	5	4
68	о том	8	4
69	не было	4	3
70	борьба с	2	3
71	себя и	2	3
72	все они	3	3
73	не является	3	3
74	того же	2	3
75	к этому	3	3
76	к тому	2	3
77	что он	19	3
78	тем более	3	3
79	в качестве	4	3
80	для него	3	3
81	кроме того	3	3
82	в это	2	3
83	а также	4	3
84	нет и	2	3
85	точка зрения	4	3
86	как можно	2	3
87	ее в	2	3
88	отношение к	4	3
89	всего в	4	3
90	в форме	2	3
91	т д	2	3
92	не на	2	3
93	таким образом	10	3
94	в их	3	3
95	уже не	3	3
96	того что	5	3
97	и по	2	3
98	а в	6	3
99	на основе	2	3
100	в которых	2	3
101	тем что	19	3
102	имеем в	2	3
103	в другом	3	3
104	на протяжении	4	3
105	в этих	11	3
106	в виду	2	3
107	на этом	3	2
108	не был	2	2
109	и более	3	2
110	вступают в	2	2
111	говорить о	3	2
112	на котором	2	2
113	с другой	5	2
114	и других	2	2
115	это не	7	2
116	в одной	2	2
117	что все	3	2
118	в духе	2	2
119	или иной	2	2
120	можно сказать	4	2
121	в отношении	2	2
122	он был	3	2
123	без всякого	2	2
124	не мог	2	2
125	у нас	4	2
126	мы видим	4	2
127	в этой	14	2
128	с тем	4	2
129	более что	2	2
130	до конца	3	2
131	и пр	13	2
132	было бы	7	2
133	и к	4	2
134	в сущности	2	2
135	в прямом	2	2
136	в уста	2	2
137	если в	2	2
138	жизни но	2	2
139	один из	2	2
140	сих пор	2	2
141	в некоторых	3	2
142	не может	7	2
143	и только	2	2
144	этом отношении	4	2
145	с одной	2	2
146	него есть	2	2
147	лишь в	4	2
148	и всегда	2	2
149	как на	6	2
150	но это	4	2
151	то в	4	2
152	мы имеем	5	2
153	могут быть	2	2
154	но он	3	2
155	что здесь	4	2
156	в поэзии	2	2
157	в конце	6	2
158	и это	5	2
159	большое значение	2	2
160	во всяком	4	2
161	в последнем	2	2
162	до сих	2	2
