N	2gram	Bakhtin_sl_1	Marksizm
1	точки зрения	16	34
2	философии языка	3	29
3	может быть	14	26
4	и не	16	26
5	не может	14	24
6	с точки	8	20
7	и в	41	19
8	и его	14	19
9	таким образом	9	17
10	языка как	4	17
11	в этом	12	16
12	как бы	12	15
13	языка в	16	14
14	в процессе	4	14
15	прежде всего	8	13
16	языка и	12	13
17	как мы	8	13
18	как и	4	12
19	так и	11	11
20	если мы	2	11
21	и для	4	11
22	связи с	2	11
23	в самом	5	10
24	в нем	30	10
25	в слове	7	10
26	ни было	2	10
27	для него	3	9
28	лишь в	4	9
29	в результате	3	9
30	внутренней речи	3	9
31	только в	6	9
32	при этом	6	8
33	в контексте	2	8
34	но и	16	8
35	друг друга	3	8
36	до сих	2	8
37	не только	16	8
38	все же	7	8
39	сих пор	2	8
40	система языка	2	8
41	в каждом	4	7
42	точка зрения	8	7
43	все эти	9	7
44	так же	2	7
45	и те	2	7
46	но в	8	7
47	язык как	3	7
48	в ее	2	7
49	во всех	17	7
50	то же	14	7
51	а не	15	7
52	слова как	6	7
53	в смысле	4	6
54	в том	3	6
55	кроме того	4	6
56	в пределах	14	6
57	другой стороны	4	6
58	и здесь	3	6
59	того же	6	6
60	в основном	3	6
61	в его	13	6
62	на почве	4	6
63	мы не	2	6
64	так сказать	5	6
65	ничего не	4	6
66	с другой	5	5
67	именно в	3	5
68	не в	7	5
69	до конца	12	5
70	конечно не	3	5
71	те же	2	5
72	рядом с	4	5
73	языку как	4	5
74	и потому	4	5
75	и все	4	5
76	к этому	2	5
77	вовсе не	7	5
78	за пределы	4	5
79	по преимуществу	4	5
80	входит в	4	5
81	хотя бы	3	5
82	исторического становления	2	5
83	во всяком	7	5
84	в отношении	6	4
85	в ней	4	4
86	не является	2	4
87	слово как	5	4
88	форм и	3	4
89	а в	6	4
90	и на	14	4
91	сказать что	2	4
92	вне его	2	4
93	с этим	3	4
94	в условиях	2	4
95	еще не	4	4
96	было бы	3	4
97	в единство	2	4
98	как в	8	4
99	только на	2	4
100	в языке	5	4
101	язык в	4	4
102	для того	2	4
103	и эта	2	4
104	между ними	2	4
105	оно может	2	4
106	в данном	3	4
107	выражение в	3	4
108	в рамки	2	4
109	отношении к	6	4
110	далеко не	5	4
111	формы и	3	3
112	и от	4	3
113	одного из	2	3
114	а как	2	3
115	здесь в	4	3
116	или иной	9	3
117	можно сказать	2	3
118	войти в	2	3
119	но именно	4	3
120	в большинстве	10	3
121	же время	12	3
122	на язык	2	3
123	в котором	2	3
124	из них	3	3
125	все это	5	3
126	не было	3	3
127	того что	3	3
128	с другими	5	3
129	и формы	4	3
130	между тем	2	3
131	в то	14	3
132	его в	3	3
133	большинстве случаев	6	3
134	слово в	10	3
135	языка а	3	3
136	философия языка	3	3
137	он может	2	3
138	первом случае	2	3
139	не могут	3	3
140	и к	5	3
141	этом случае	2	3
142	является лишь	3	3
143	языковой системы	4	3
144	том что	2	3
145	более того	3	3
146	системы языка	4	3
147	одной из	3	3
148	совершенно не	2	3
149	в сущности	13	3
150	он не	3	3
151	не есть	2	3
152	в первом	3	3
153	в своей	7	3
154	быть и	4	3
155	в истории	3	3
156	на самом	2	3
157	и следовательно	7	3
158	речи в	4	3
159	и ее	3	3
160	слова и	13	3
161	в которой	4	3
162	в узком	10	2
163	же как	2	2
164	в частности	2	2
165	и стилистики	3	2
166	никогда не	3	2
167	тому что	2	2
168	в своем	3	2
169	точку зрения	3	2
170	или к	3	2
171	что все	2	2
172	словом и	3	2
173	узком смысле	10	2
174	свою очередь	2	2
175	в свою	3	2
176	это отношение	2	2
177	и той	2	2
178	одним из	4	2
179	всяком случае	5	2
180	со всею	2	2
181	и др	14	2
182	с ее	4	2
183	зрения и	2	2
184	система нормативных	2	2
185	в понимании	3	2
186	где они	2	2
187	как к	2	2
188	язык и	10	2
189	точке зрения	2	2
190	и других	3	2
191	между этими	2	2
192	и даже	6	2
193	речь и	3	2
194	должно быть	2	2
195	можно было	2	2
196	с этой	3	2
197	же и	2	2
198	и идеологической	2	2
199	из этих	3	2
200	о том	3	2
201	за пределами	2	2
202	так как	3	2
203	свое выражение	2	2
204	в сознании	2	2
205	и с	4	2
206	от этого	2	2
207	в основе	5	2
208	для них	2	2
209	между собой	2	2
210	и всякое	2	2
211	не как	4	2
212	и во	3	2
213	к языку	3	2
214	в себе	3	2
215	данный момент	4	2
216	в романе	21	2
217	у нас	2	2
218	то в	2	2
219	зависимости от	3	2
220	одна из	2	2
221	в качестве	3	2
222	она не	3	2
223	мы уже	2	2
224	к тому	3	2
225	ни о	2	2
226	как вещь	2	2
227	одним словом	2	2
228	зрения не	2	2
229	не могло	3	2
230	языке и	2	2
231	бы и	3	2
232	и речи	2	2
233	как раз	2	2
234	следовательно и	3	2
235	себя от	2	2
236	к своему	6	2
237	и иных	2	2
238	той же	2	2
239	говорящего и	2	2
240	или в	8	2
241	связана с	2	2
242	могут быть	19	2
243	в другом	2	2
244	и вообще	2	2
245	ту же	4	2
246	жизни но	2	2
247	как оно	3	2
248	из этого	3	2
249	там где	4	2
250	направления и	2	2
251	из него	2	2
