N	2gram	Tiupa_Teor_1	Mirosoze
1	и в	18	46
2	в нем	4	22
3	может быть	17	21
4	в этом	8	20
5	никогда не	4	18
6	для него	2	18
7	и не	13	18
8	не только	16	18
9	но и	9	15
10	не может	4	15
11	как и	4	13
12	а не	9	13
13	прежде всего	2	12
14	потому что	3	12
15	но он	3	11
16	у нас	2	11
17	но в	9	10
18	он не	3	10
19	в себе	9	10
20	не в	7	9
21	не знает	3	9
22	человека к	3	8
23	как бы	5	8
24	в своем	4	8
25	отношение к	5	8
26	в мире	19	7
27	в этой	3	7
28	в нашем	4	7
29	и к	3	7
30	и потому	2	7
31	как в	5	7
32	и для	2	7
33	так же	2	6
34	того что	4	6
35	и здесь	2	6
36	в русской	6	6
37	то же	7	5
38	я не	2	5
39	в отношении	3	5
40	и вот	3	5
41	в самом	4	5
42	один из	2	5
43	что она	2	5
44	это не	2	5
45	в конце	2	5
46	тот кто	2	5
47	к тому	2	5
48	по преимуществу	4	5
49	то что	3	5
50	в своей	6	5
51	и его	8	5
52	в его	6	5
53	и это	2	5
54	что в	9	4
55	тому что	2	4
56	с его	5	4
57	в жизни	2	4
58	в свою	3	4
59	том что	9	4
60	что и	2	4
61	себя в	6	4
62	так и	10	4
63	уже не	4	4
64	к чему	2	4
65	на деле	2	4
66	ни в	2	3
67	в том	16	3
68	– не	4	3
69	жизни в	2	3
70	сказать что	3	3
71	по своей	3	3
72	его в	2	3
73	к которому	3	3
74	если бы	3	3
75	в них	2	3
76	от свободы	2	3
77	на почве	4	3
78	не будет	2	3
79	на смену	4	3
80	только в	6	3
81	отношении к	2	3
82	есть в	2	3
83	место в	5	2
84	способность к	2	2
85	в этих	3	2
86	или иной	4	2
87	я и	2	2
88	лишь один	2	2
89	такого рода	8	2
90	хотя и	3	2
91	но она	2	2
92	по отношению	4	2
93	как к	2	2
94	отношения к	2	2
95	лишь в	6	2
96	а в	13	2
97	в основе	3	2
98	личности и	4	2
99	точки зрения	9	2
100	самим собою	2	2
101	– его	5	2
102	не случайно	5	2
103	между тем	5	2
104	превращается в	2	2
105	– в	15	2
106	личности в	3	2
107	анны карениной	2	2
108	то в	2	2
109	– это	18	2
110	и что	3	2
111	личности к	2	2
112	отношению к	4	2
113	принадлежит к	3	2
114	вместе с	2	2
115	быть и	2	2
116	ее в	2	2
117	– все	3	2
118	говорит что	2	2
119	как будто	2	2
120	в которой	2	2
