N	2gram	Propp_Russ_1	Analitik
1	в качестве	3	31
2	может быть	8	29
3	в том	17	27
4	не может	4	22
5	и не	6	21
6	в частности	2	19
7	и в	36	18
8	а не	2	17
9	но и	16	17
10	представляет собой	4	16
11	отнюдь не	2	15
12	не только	22	15
13	тогда как	2	14
14	как и	10	13
15	в его	2	13
16	в этом	12	13
17	том что	19	12
18	при этом	6	12
19	состоит в	8	11
20	то есть	3	11
21	но не	2	10
22	то же	3	9
23	а в	9	9
24	но в	2	8
25	к тому	4	7
26	этого слова	3	7
27	это не	10	6
28	далеко не	3	6
29	то что	6	6
30	точки зрения	3	6
31	только в	4	6
32	мы имеем	4	6
33	и как	2	5
34	что в	19	5
35	имеет место	2	5
36	как бы	5	5
37	в целом	2	5
38	в их	4	5
39	между тем	7	5
40	и на	10	5
41	что иное	2	5
42	о том	8	5
43	иное как	2	5
44	того что	4	4
45	и более	2	4
46	могут быть	2	4
47	себя и	2	4
48	не что	2	4
49	в области	3	4
50	не с	3	4
51	все же	5	4
52	вместе с	10	4
53	так и	7	4
54	уже не	6	4
55	с точки	3	4
56	как правило	3	4
57	с ним	2	4
58	в нашем	2	3
59	в нем	2	3
60	и к	3	3
61	и т	10	3
62	в силу	2	3
63	как известно	2	3
64	еще не	4	3
65	означает что	2	3
66	если в	3	3
67	что и	7	3
68	таким образом	6	3
69	а с	4	3
70	не случайно	2	3
71	между двумя	2	3
72	как будто	5	3
73	в равной	2	3
74	будто бы	6	3
75	как он	2	3
76	а также	3	3
77	своего рода	3	3
78	только для	2	2
79	на все	2	2
80	все эти	2	2
81	его и	2	2
82	между собой	2	2
83	для этого	2	2
84	в какой	2	2
85	из этих	4	2
86	и п	16	2
87	не просто	2	2
88	как уже	4	2
89	его к	2	2
90	что именно	2	2
91	равной степени	2	2
92	и потому	2	2
93	такой же	2	2
94	при изучении	5	2
95	с целью	2	2
96	несмотря на	3	2
97	еще в	4	2
98	один из	8	2
99	представляют собой	7	2
100	из них	8	2
101	на каждом	3	2
102	и до	2	2
103	на этом	3	2
104	на самом	2	2
105	и по	8	2
106	как мы	10	2
107	ни одно	2	2
108	на себя	2	2
109	так как	15	2
110	думать что	3	2
111	потому что	10	2
112	и с	2	2
