N	2gram	Nazirov_Vr_1	KulturaY
1	т е	3	38
2	в том	3	30
3	и в	8	24
4	том что	3	21
5	что в	7	17
6	в этом	8	14
7	точки зрения	2	14
8	может быть	4	13
9	все же	6	12
10	таким образом	2	12
11	в его	3	12
12	и не	5	12
13	не только	9	10
14	то что	7	9
15	с точки	2	9
16	о том	4	9
17	то же	5	8
18	уже не	2	8
19	как раз	2	8
20	тем что	3	8
21	не менее	2	7
22	в них	2	7
23	связи с	3	7
24	как бы	4	7
25	вместе с	2	7
26	не может	2	7
27	это не	4	7
28	что он	4	6
29	при этом	4	6
30	в ней	4	6
31	но и	7	6
32	все это	4	6
33	еще не	2	5
34	и что	8	5
35	целый ряд	4	5
36	в виду	4	5
37	в той	2	5
38	а в	2	5
39	и его	3	5
40	рядом с	2	5
41	между тем	5	5
42	с ним	4	5
43	и с	6	5
44	с его	3	4
45	к себе	2	4
46	на то	3	4
47	в нем	6	4
48	же в	2	4
49	из них	2	4
50	так же	4	4
51	уже в	4	3
52	в этой	2	3
53	в свою	2	3
54	в котором	6	3
55	в истории	4	3
56	в своем	3	3
57	в связи	3	3
58	а с	2	3
59	не было	5	3
60	и даже	6	3
61	и он	2	3
62	несмотря на	4	3
63	и то	2	3
64	в себе	2	3
65	я не	3	2
66	о чем	2	2
67	никогда не	2	2
68	и все	7	2
69	в то	5	2
70	для нас	4	2
71	как и	6	2
72	и как	3	2
73	же время	5	2
74	в это	2	2
75	в своей	2	2
76	одним из	3	2
77	том же	2	2
78	о нем	6	2
79	речь идет	3	2
80	тем более	2	2
81	и а	2	2
82	он не	3	2
83	не мог	2	2
84	что я	2	2
85	тогда как	2	2
86	но в	6	2
