N	2gram	Tiupa_Narr_1	Problema
1	то есть	19	39
2	то что	11	38
3	и не	20	37
4	и в	19	35
5	не есть	3	33
6	сказать что	4	24
7	не только	32	24
8	том что	14	19
9	о том	6	18
10	может быть	25	18
11	в этом	17	17
12	но и	23	16
13	такого рода	7	15
14	что мы	2	14
15	только в	4	14
16	не менее	3	13
17	не может	10	13
18	тем не	3	12
19	в том	18	12
20	хотя бы	4	12
21	что в	3	11
22	прежде всего	4	11
23	и даже	3	11
24	не будет	3	11
25	в таком	2	11
26	и с	4	10
27	таком случае	2	10
28	говорить о	2	10
29	тем более	2	10
30	еще не	7	10
31	да и	4	10
32	а не	12	10
33	в данном	5	10
34	ничего не	2	10
35	в этой	5	9
36	пока еще	4	9
37	только о	2	8
38	уже не	5	8
39	было бы	4	8
40	по себе	5	8
41	как раз	2	8
42	все же	7	8
43	не является	8	7
44	все эти	2	7
45	не имеет	2	7
46	того или	2	7
47	некоторого рода	2	7
48	в его	9	7
49	так и	9	7
50	тем самым	6	7
51	с другой	8	6
52	можно сказать	5	6
53	ни в	3	6
54	о чем	2	6
55	не о	3	6
56	так или	2	6
57	а именно	3	6
58	но как	2	6
59	в то	3	6
60	когда мы	2	6
61	не существует	3	6
62	и для	2	6
63	или иначе	3	6
64	но в	6	6
65	как будто	3	6
66	в области	2	6
67	в частности	14	5
68	или иной	5	5
69	той или	4	5
70	отнюдь не	5	5
71	данном случае	4	5
72	языка и	2	5
73	в связи	2	5
74	или иного	2	5
75	с одной	7	5
76	так же	2	5
77	и на	3	5
78	между собой	2	5
79	и все	2	5
80	как и	7	5
81	связи с	4	5
82	то же	4	5
83	как мы	3	5
84	одной стороны	7	5
85	что не	4	5
86	другой стороны	4	5
87	можно было	2	5
88	в себе	8	5
89	будто бы	3	5
90	в своем	2	4
91	что на	2	4
92	и как	5	4
93	есть в	2	4
94	более или	2	4
95	и самого	3	4
96	как бы	4	4
97	и тем	4	4
98	и только	2	4
99	в область	2	4
100	а в	11	4
101	в результате	2	4
102	тем что	3	4
103	что он	6	4
104	на первый	2	4
105	но не	5	4
106	нами не	2	4
107	или менее	2	4
108	если не	4	4
109	самом деле	2	4
110	далеко не	5	4
111	не все	5	4
112	уже в	3	3
113	он сам	2	3
114	или даже	2	3
115	из этих	3	3
116	точно так	2	3
117	к тому	7	3
118	что они	3	3
119	несмотря на	2	3
120	хотя и	3	3
121	один из	3	3
122	при всех	2	3
123	то ни	3	3
124	не было	2	3
125	при этом	9	3
126	иное как	2	3
127	в основе	5	3
128	что иное	2	3
129	его в	2	3
130	в случае	7	3
131	не что	2	3
132	не отличается	2	3
133	это и	3	3
134	одна из	3	3
135	она не	2	3
136	и тот	2	3
137	не являются	2	3
138	на том	3	3
139	нет и	2	3
140	оно не	2	3
141	даже не	3	3
142	бы не	2	3
143	в значительной	2	3
144	то или	3	3
145	тому как	2	3
146	том или	2	3
147	том числе	6	2
148	перед нами	4	2
149	или иное	2	2
150	они все	2	2
151	в той	6	2
152	не в	14	2
153	но все	4	2
154	независимо от	2	2
155	числе и	4	2
156	из которых	4	2
157	и др	2	2
158	к нему	5	2
159	бы то	3	2
160	сводится к	3	2
161	отличается от	4	2
162	даже в	2	2
163	или в	2	2
164	на чем	2	2
165	каждый из	2	2
166	в ней	3	2
167	точки зрения	10	2
168	или ином	2	2
169	сами по	2	2
170	утверждать что	2	2
171	представляет собой	13	2
172	в качестве	21	2
173	он не	3	2
174	о нем	4	2
175	а также	7	2
176	речь идет	4	2
177	на него	3	2
178	в последние	2	2
179	совершенно не	2	2
180	роль в	2	2
181	подобно тому	2	2
182	и ее	2	2
183	более не	2	2
184	здесь не	4	2
185	не то	2	2
