N	2gram	Losev_Vlad_1	Myshleni
1	и речи	3	38
2	точки зрения	2	26
3	таким образом	3	26
4	в том	11	24
5	и в	31	23
6	том что	14	21
7	в целом	3	20
8	того чтобы	2	17
9	то что	18	17
10	в этом	14	17
11	не только	24	16
12	того что	2	15
13	для того	2	15
14	что в	14	14
15	может быть	6	14
16	но и	19	14
17	как и	4	14
18	в его	12	14
19	не может	6	12
20	сказать что	7	11
21	с другой	3	10
22	в отношении	3	10
23	в качестве	6	9
24	другой стороны	3	9
25	и не	17	9
26	и с	14	9
27	вместе с	3	9
28	и на	3	8
29	то же	6	8
30	в этой	4	7
31	в самом	2	7
32	в то	8	7
33	так как	8	7
34	с тем	2	7
35	что он	12	7
36	все это	5	6
37	лишь в	2	6
38	потому что	11	6
39	о том	11	6
40	мысли и	4	6
41	и его	7	6
42	тем что	2	6
43	в себе	4	6
44	только в	9	6
45	то время	2	5
46	можно сказать	6	5
47	и как	4	5
48	на то	5	5
49	что для	4	5
50	в своих	5	5
51	что мы	2	5
52	мы должны	2	5
53	и все	4	5
54	но в	12	5
55	по своей	4	5
56	и что	6	5
57	он не	10	5
58	так и	6	5
59	на основании	2	5
60	как мы	9	5
61	тем самым	2	5
62	тем более	2	5
63	из этого	2	5
64	но не	3	4
65	что все	2	4
66	только что	2	4
67	не в	5	4
68	при этом	2	4
69	что она	2	4
70	в котором	6	4
71	все эти	3	4
72	не столько	2	4
73	в результате	2	4
74	с его	11	4
75	в лет	3	4
76	к этому	6	4
77	и к	6	4
78	по существу	2	4
79	в чем	2	4
80	было бы	2	4
81	к тому	3	4
82	для себя	2	4
83	в своей	4	4
84	как в	3	4
85	как раз	7	4
86	а с	5	4
87	говорит что	4	4
88	хотя бы	2	4
89	ни в	2	4
90	как на	2	4
91	уже в	7	3
92	я не	4	3
93	в своем	4	3
94	и от	5	3
95	из этих	2	3
96	на все	2	3
97	настоящей работы	3	3
98	мы и	4	3
99	что они	3	3
100	в общем	3	3
101	и мы	2	3
102	том чтобы	2	3
103	и если	5	3
104	мы хотели	3	3
105	то и	2	3
106	хотели бы	3	3
107	и других	2	3
108	вовсе не	5	3
109	во всем	4	3
110	как он	4	3
111	всяком случае	2	3
112	об этом	7	3
113	учение о	2	3
114	все же	3	3
115	если не	3	3
116	на этот	6	3
117	и то	10	3
118	во всяком	2	3
119	он в	3	3
120	всей его	2	3
121	в каком	2	3
122	еще на	2	3
123	и это	2	3
124	и который	2	3
125	ответ на	2	3
126	в которой	4	3
127	ничего не	3	3
128	в частности	2	2
129	никогда не	9	2
130	в нашем	4	2
131	что у	4	2
132	в конце	9	2
133	первый план	2	2
134	что его	4	2
135	на этом	2	2
136	же время	4	2
137	что с	2	2
138	для него	7	2
139	несмотря на	4	2
140	хотя и	4	2
141	один из	4	2
142	жизни и	5	2
143	и до	2	2
144	той же	2	2
145	начиная с	2	2
146	и вот	3	2
147	и даже	15	2
148	а в	9	2
149	виде в	2	2
150	что этот	3	2
151	к его	3	2
152	о котором	2	2
153	но этот	3	2
154	тех же	2	2
155	как это	7	2
156	под влиянием	3	2
157	главным образом	4	2
158	в них	2	2
159	и я	2	2
160	он как	3	2
161	к изучению	2	2
162	ясно что	2	2
163	на первый	2	2
164	указывает на	2	2
165	и постоянно	2	2
166	за пределы	3	2
167	и потому	6	2
168	даже в	2	2
169	сам с	2	2
170	когда он	5	2
171	всей этой	2	2
172	на него	3	2
173	в течение	9	2
174	уже не	3	2
175	существу дела	2	2
176	в виде	3	2
177	речи с	2	2
178	его на	2	2
179	дело в	4	2
180	едва ли	3	2
