N	2gram	Nazirov_Tv_1	Vvedenie
1	и т	3	42
2	и в	21	32
3	в том	7	31
4	в этом	6	30
5	может быть	5	26
6	том что	11	26
7	не только	7	22
8	таким образом	5	19
9	то что	8	16
10	потому что	5	15
11	так как	3	15
12	не может	4	14
13	в самом	3	13
14	в нем	3	13
15	о том	6	13
16	того что	3	12
17	в их	3	12
18	и не	7	12
19	представляет собой	3	12
20	в его	13	12
21	только в	5	12
22	в данном	2	11
23	что в	12	10
24	но в	7	9
25	и как	4	9
26	то же	13	9
27	не менее	6	8
28	с другой	3	8
29	это не	4	8
30	тем не	2	8
31	не в	2	8
32	именно в	2	8
33	прежде всего	4	7
34	о котором	2	7
35	но не	3	7
36	все же	5	7
37	самом деле	2	7
38	же время	12	6
39	один из	4	6
40	но и	3	6
41	все это	10	6
42	и даже	3	6
43	в то	15	6
44	вовсе не	5	6
45	как и	12	6
46	в качестве	2	6
47	хотя бы	5	6
48	и его	6	6
49	уже в	3	5
50	так что	2	5
51	но если	3	5
52	как бы	17	5
53	и тем	2	5
54	в целом	4	5
55	а как	2	5
56	данном случае	2	5
57	одним из	4	5
58	сказать что	2	5
59	об этом	2	5
60	вместе с	2	5
61	т п	2	5
62	а не	5	5
63	что не	2	5
64	могут быть	2	5
65	в каждом	3	4
66	времени и	4	4
67	в котором	6	4
68	здесь нет	2	4
69	а в	6	4
70	в первом	2	4
71	по крайней	2	4
72	что он	6	4
73	крайней мере	2	4
74	в своей	4	4
75	только что	2	4
76	в виде	3	4
77	уже не	3	4
78	той же	3	4
79	в себе	2	4
80	он сам	6	3
81	зависит от	2	3
82	в частности	2	3
83	в этих	2	3
84	можно сказать	2	3
85	к тому	2	3
86	сливается с	3	3
87	в этой	5	3
88	до конца	2	3
89	при этом	7	3
90	хотя и	3	3
91	в ней	2	3
92	в конечном	4	3
93	в виду	2	3
94	во второй	2	3
95	из них	2	3
96	на том	2	3
97	дело не	3	3
98	что она	2	3
99	отношений между	2	3
100	в своем	4	3
101	и других	3	3
102	так же	3	3
103	и на	7	3
104	при помощи	2	3
105	однако в	2	3
106	к этому	2	3
107	говорит о	3	3
108	в чем	2	3
109	одной из	4	3
110	гораздо более	2	3
111	что и	2	3
112	дело в	3	3
113	своего рода	4	3
114	в в	2	3
115	времени в	13	3
116	вот почему	3	3
117	как будто	5	3
118	и другие	3	2
119	все более	2	2
120	это уже	5	2
121	никогда не	3	2
122	точно так	2	2
123	это в	3	2
124	не нужно	2	2
125	в дальнейшем	3	2
126	но это	5	2
127	соответствии с	3	2
128	от других	2	2
129	действительности в	2	2
130	не мог	2	2
131	в принципе	2	2
132	не столько	2	2
133	и с	3	2
134	так и	2	2
135	не существует	3	2
136	романов достоевского	3	2
137	надо было	2	2
138	есть не	2	2
139	в соответствии	3	2
140	время не	2	2
141	того же	2	2
142	жизни и	3	2
143	этой книги	3	2
144	мысли и	4	2
145	только на	2	2
146	вряд ли	2	2
147	время в	3	2
148	на протяжении	3	2
149	собой в	2	2
150	одна из	2	2
