N	2gram	Medvedev_U_1	Vladivir
1	и в	14	30
2	то что	7	20
3	в этом	7	20
4	в том	2	18
5	и не	8	18
6	и с	2	14
7	что он	2	13
8	в конце	2	13
9	том что	2	12
10	не только	10	12
11	в его	2	11
12	не в	2	9
13	для него	3	9
14	было бы	3	9
15	все же	3	9
16	не может	7	9
17	в то	3	9
18	но и	4	8
19	но в	3	8
20	может быть	6	7
21	а не	10	7
22	прежде всего	8	6
23	у нас	3	6
24	только в	2	6
25	в себе	2	6
26	о чем	2	6
27	и то	3	5
28	по себе	2	5
29	как и	3	5
30	в своей	3	5
31	все это	5	5
32	с его	2	4
33	в этой	4	4
34	конечно не	4	4
35	не есть	2	4
36	крайней мере	2	4
37	то же	5	4
38	но это	2	4
39	по крайней	2	4
40	это было	2	4
41	всех этих	2	3
42	хотя бы	5	3
43	же время	3	3
44	что и	2	3
45	по существу	2	3
46	но не	2	3
47	и для	2	3
48	таким образом	2	3
49	не столько	2	3
50	даже и	2	3
51	в россии	4	3
52	конце концов	2	3
53	в области	3	3
54	это не	3	2
55	если не	2	2
56	на первый	2	2
57	в самом	2	2
58	нам представляется	2	2
59	в частности	3	2
60	его и	2	2
61	в их	4	2
62	нас в	2	2
63	не о	3	2
64	на эту	2	2
65	сколько угодно	2	2
66	ничего не	2	2
67	мы не	2	2
