N	2gram	Propp_Russ_2	Myslijsy
1	потому что	5	52
2	и в	29	39
3	может быть	13	27
4	в том	22	26
5	что в	22	22
6	не может	5	22
7	а не	4	21
8	так как	13	21
9	не только	10	21
10	но и	8	20
11	том что	22	16
12	так что	4	16
13	не в	4	15
14	в этом	11	15
15	таким образом	6	13
16	было бы	3	12
17	мы не	6	10
18	то что	5	10
19	как в	7	10
20	и что	5	10
21	могут быть	2	9
22	для нас	6	9
23	как и	11	9
24	там же	12	9
25	тем что	3	9
26	тогда когда	4	9
27	но в	5	9
28	но не	5	8
29	вместе с	6	8
30	того что	3	8
31	о происхождении	2	8
32	с другой	2	7
33	должно быть	2	7
34	с этим	2	7
35	это не	5	7
36	то и	4	7
37	в этих	3	7
38	не менее	2	6
39	тем не	2	6
40	и как	2	6
41	еще не	6	6
42	что на	2	6
43	как бы	18	6
44	что и	2	6
45	все же	2	6
46	и т	5	6
47	в природе	3	6
48	то же	4	6
49	при этом	6	6
50	и по	3	6
51	того как	2	6
52	с тем	6	5
53	что при	2	5
54	только тогда	3	5
55	во всех	3	5
56	так же	4	5
57	а в	9	5
58	и для	2	5
59	не имеет	3	5
60	друг друга	3	5
61	в таком	4	5
62	между тем	3	5
63	быть только	2	5
64	с в	8	5
65	никогда не	2	4
66	в стороне	2	4
67	вопрос о	4	4
68	прежде всего	2	4
69	мы видели	7	4
70	в своих	2	4
71	т д	5	4
72	не было	2	4
73	и других	3	4
74	тому как	3	4
75	из этих	2	4
76	во всем	2	4
77	в то	2	4
78	там где	2	4
79	с другим	2	3
80	что это	3	3
81	в них	4	3
82	и от	3	3
83	показывает что	8	3
84	в этой	3	3
85	очевидно что	2	3
86	она не	3	3
87	одной стороны	2	3
88	в своей	2	3
89	для того	6	3
90	связи с	2	3
91	или же	5	3
92	с одной	2	3
93	что для	3	3
94	или даже	3	3
95	что по	4	3
96	и то	2	3
97	одно из	2	3
98	подобно тому	3	3
99	и при	2	3
100	и все	4	3
101	и с	10	3
102	по этому	2	2
103	в разные	2	2
104	но он	3	2
105	с этой	2	2
106	связь с	3	2
107	как например	3	2
108	не можем	2	2
109	не что	2	2
110	но если	3	2
111	как мы	3	2
112	же в	6	2
113	в г	2	2
114	уже не	4	2
115	у нас	4	2
116	за ним	3	2
117	чем в	2	2
118	после этого	2	2
119	для них	2	2
120	того чтобы	6	2
121	и о	3	2
122	одним из	2	2
123	к ней	2	2
124	в виду	2	2
125	не все	4	2
126	из этого	2	2
127	в их	2	2
128	для этого	5	2
129	связь между	2	2
130	тогда как	2	2
131	этой цели	2	2
132	из основных	2	2
133	этот вопрос	2	2
134	в народе	3	2
135	в течение	2	2
136	или в	7	2
137	во многих	9	2
138	в таких	3	2
139	том же	4	2
140	иное как	2	2
141	влияние на	2	2
142	таком виде	2	2
143	он есть	2	2
144	что иное	2	2
145	видно что	2	2
146	все то	2	2
147	все в	2	2
148	о том	9	2
149	есть в	2	2
150	но вместе	2	2
151	когда мы	2	2
152	заметить что	2	2
153	в которой	2	2
154	в других	15	2
