N	2gram	Tiupa_Disk_1	Problemy
1	и в	16	34
2	и не	11	29
3	как бы	5	27
4	что он	4	23
5	в его	7	22
6	к другому	2	20
7	может быть	17	19
8	в нем	9	19
9	не может	9	19
10	и все	2	19
11	как и	16	18
12	к себе	2	17
13	но в	8	16
14	и его	2	16
15	в этом	15	16
16	прежде всего	11	15
17	то же	7	14
18	для него	4	13
19	но и	14	12
20	же время	4	12
21	и к	4	12
22	потому что	4	12
23	в то	3	12
24	в сущности	2	11
25	то что	5	11
26	не только	28	10
27	не в	7	9
28	а не	22	9
29	героя и	2	9
30	никогда не	2	8
31	в самом	3	8
32	точки зрения	3	8
33	что же	2	8
34	в другом	2	8
35	слова в	2	7
36	что в	4	7
37	и даже	3	7
38	все же	3	7
39	как мы	2	7
40	что не	4	7
41	в пределах	2	6
42	отношение к	4	6
43	и на	5	6
44	с его	4	6
45	для себя	4	6
46	отношению к	9	6
47	так и	8	6
48	в себе	7	6
49	только в	7	6
50	это не	3	5
51	к тому	5	5
52	и что	2	5
53	того что	3	5
54	в целом	4	5
55	из них	3	5
56	по отношению	9	5
57	таким образом	3	5
58	лишь в	4	5
59	а в	5	5
60	в одном	2	5
61	на протяжении	2	5
62	что и	3	5
63	героя в	2	5
64	хотя бы	3	5
65	во всяком	2	5
66	с другой	10	4
67	на этом	2	4
68	при этом	13	4
69	на его	4	4
70	как к	2	4
71	но как	2	4
72	в начале	2	4
73	но не	11	4
74	еще не	14	4
75	внутренней речи	2	4
76	как в	10	4
77	тем что	3	4
78	не менее	2	3
79	уже в	2	3
80	в каждом	2	3
81	в том	23	3
82	что с	2	3
83	он ни	2	3
84	хотя и	2	3
85	в виду	2	3
86	в котором	5	3
87	с ее	2	3
88	другой стороны	3	3
89	в одной	3	3
90	характер и	2	3
91	не как	4	3
92	и во	2	3
93	по крайней	2	3
94	по себе	3	3
95	в ее	3	3
96	том что	19	3
97	по своему	3	3
98	между тем	4	3
99	еще в	3	3
100	но зато	2	3
101	крайней мере	2	3
102	в своей	5	3
103	а с	5	3
104	сводится к	5	3
105	и как	6	3
106	далеко не	10	3
107	это было	2	3
108	не было	7	2
109	в сторону	4	2
110	столь же	3	2
111	это в	2	2
112	вследствие этого	3	2
113	или иной	5	2
114	с человеком	2	2
115	было в	2	2
116	например в	2	2
117	при всей	3	2
118	к другим	2	2
119	совпадает с	2	2
120	не является	4	2
121	один из	3	2
122	в форме	2	2
123	отличается от	2	2
124	в своем	6	2
125	того или	2	2
126	в которых	4	2
127	с этим	3	2
128	той или	3	2
129	что даже	2	2
130	о том	8	2
131	сказать что	3	2
132	к которому	2	2
133	отнюдь не	8	2
134	однако в	3	2
135	мысли о	2	2
136	в них	4	2
137	определяется не	2	2
138	не с	3	2
139	слово не	2	2
140	как его	2	2
141	и того	3	2
142	более того	2	2
143	того же	3	2
144	за пределы	2	2
145	во всех	5	2
146	и потому	3	2
147	о нем	2	2
148	своего рода	8	2
149	когда он	2	2
150	в отличие	5	2
151	тому же	5	2
152	уже не	4	2
153	и он	2	2
154	и без	2	2
155	тому как	3	2
156	пока еще	6	2
157	подобно тому	2	2
158	и ее	2	2
159	и вообще	2	2
160	будто бы	2	2
161	так сказать	2	2
162	отличие от	5	2
163	о чем	2	2
