N	2gram	Losev_Prob_3	NovoeSre
1	а не	18	17
2	не может	7	16
3	и в	44	16
4	совсем не	2	12
5	и не	35	11
6	и есть	5	10
7	что в	8	9
8	жизни и	6	8
9	он не	8	8
10	в том	21	8
11	как и	10	7
12	это есть	3	7
13	в этом	17	7
14	может быть	28	7
15	никогда не	6	6
16	не в	13	6
17	но это	8	6
18	ни в	8	6
19	в нем	9	5
20	все это	5	5
21	с ее	2	5
22	и к	6	5
23	в ней	5	5
24	не только	14	5
25	не менее	10	4
26	то что	23	4
27	это не	9	4
28	и все	3	4
29	не было	5	4
30	не имеет	9	4
31	и для	2	4
32	потому что	25	4
33	по своему	2	4
34	прежде всего	3	4
35	о том	6	4
36	значит что	7	4
37	и потому	7	4
38	но и	10	3
39	не есть	35	3
40	в своей	5	3
41	с другой	7	3
42	во всех	2	3
43	к тому	3	3
44	что такое	3	3
45	в ее	4	3
46	в основе	2	3
47	с тем	5	3
48	смысле слова	8	3
49	как в	5	3
50	она не	3	3
51	еще не	5	3
52	за пределы	5	3
53	сказать что	16	3
54	не значит	3	3
55	это было	2	3
56	что все	2	2
57	себя в	2	2
58	вернуться к	2	2
59	вместе с	2	2
60	если нет	2	2
61	в природе	2	2
62	и общества	2	2
63	все они	2	2
64	так и	10	2
65	не будут	2	2
66	для этого	6	2
67	который в	2	2
68	другой стороны	5	2
69	формы и	3	2
70	и от	9	2
71	мы говорим	4	2
72	а в	5	2
73	с одной	2	2
74	все эти	7	2
75	быть в	2	2
76	уже не	7	2
77	и даже	14	2
78	от всякого	2	2
79	хотя бы	3	2
80	но не	3	2
81	ни к	3	2
82	так же	5	2
83	будет уже	2	2
84	по существу	2	2
85	это и	7	2
86	время как	4	2
87	мы не	7	2
88	том что	12	2
89	можно было	4	2
90	есть в	3	2
91	же как	3	2
92	и с	9	2
93	и что	7	2
94	могут быть	2	2
95	с этим	2	2
96	в себе	8	2
97	с их	2	2
98	в то	9	2
99	как будто	3	2
100	и это	9	2
101	такого рода	6	2
102	для чего	2	2
103	не имеют	4	2
104	когда мы	15	2
105	как это	2	2
106	хотя и	5	2
107	но в	12	2
