N	2gram	Berdyaev_V_1	Analitik
1	в этом	4	18
2	и в	16	16
3	не только	2	16
4	так и	4	15
5	как и	4	14
6	в том	3	12
7	но и	5	12
8	и не	20	12
9	том что	2	12
10	могут быть	2	10
11	как бы	5	10
12	а не	7	10
13	лишь в	3	9
14	к тому	3	7
15	то что	9	7
16	в мире	5	6
17	говорить о	4	6
18	но в	3	6
19	на себя	5	5
20	в конце	3	4
21	уже не	2	4
22	не в	3	4
23	но не	2	4
24	для него	2	4
25	не с	2	4
26	во всех	3	4
27	все это	5	4
28	не так	2	4
29	хотя и	5	4
30	только в	2	4
31	в себя	2	4
32	никогда не	3	3
33	прежде всего	2	3
34	и сам	2	3
35	и за	2	3
36	что и	3	3
37	можно было	2	3
38	а в	2	3
39	и то	2	3
40	тем что	2	3
41	и все	4	3
42	того что	5	2
43	тот кто	2	2
44	ты не	5	2
45	что все	4	2
46	и я	4	2
47	все что	4	2
48	превращается в	3	2
49	что в	3	2
50	еще не	8	2
51	в своей	3	2
52	в котором	4	2
53	один из	2	2
54	не есть	6	2
55	всего в	2	2
56	от которого	3	2
57	вслед за	2	2
58	и свободы	2	2
59	не имеет	3	2
60	и для	3	2
61	между тем	2	2
62	и во	2	2
63	личности и	3	2
64	о свободе	2	2
65	в его	4	2
66	в этих	3	2
67	с ним	2	2
