N	2gram	Bakhtin_Fr_7	VerxiiNi
1	и в	41	26
2	таким образом	19	22
3	вместе с	5	15
4	в этом	15	15
5	точки зрения	5	13
6	как бы	7	12
7	в том	11	11
8	может быть	4	10
9	не только	5	10
10	и с	4	10
11	что в	9	9
12	но и	9	9
13	в области	2	9
14	так как	3	9
15	в индии	2	8
16	и не	7	8
17	и у	5	8
18	связанные с	3	7
19	том что	4	7
20	но все	4	7
21	из них	3	7
22	к нему	5	7
23	то что	8	7
24	в эпоху	7	7
25	потому что	5	7
26	но в	8	7
27	в конце	8	6
28	к тому	2	6
29	и потому	3	6
30	того же	3	6
31	несмотря на	3	6
32	что и	5	6
33	так и	10	6
34	все это	10	6
35	в отношении	3	6
36	все эти	13	6
37	с точки	3	6
38	во всяком	2	6
39	в себе	11	6
40	и т.д	2	6
41	о том	6	6
42	том числе	4	5
43	и к	5	5
44	отношение к	2	5
45	одной из	2	5
46	в его	12	5
47	никогда не	2	5
48	к жизни	4	5
49	или менее	2	5
50	так же	5	5
51	а не	2	5
52	не имеет	3	5
53	и для	5	5
54	в мире	3	5
55	более или	2	5
56	учение о	2	4
57	в этих	2	4
58	и от	8	4
59	что все	2	4
60	что он	3	4
61	в нем	7	4
62	числе и	2	4
63	из которых	2	4
64	целый ряд	4	4
65	не может	3	4
66	а в	5	4
67	то же	13	4
68	в течение	2	4
69	и по	3	4
70	в которых	2	4
71	ничем не	3	4
72	во время	3	4
73	он не	4	4
74	в то	10	4
75	только в	6	4
76	то есть	20	4
77	в этой	13	4
78	далеко не	2	4
79	и другие	3	3
80	что это	4	3
81	но по	2	3
82	как о	3	3
83	к этому	5	3
84	для него	6	3
85	с самого	2	3
86	и как	2	3
87	из всех	2	3
88	в своем	9	3
89	в качестве	9	3
90	отношению к	2	3
91	оказывается что	3	3
92	верхом и	2	3
93	в связи	2	3
94	при этом	3	3
95	уже не	2	3
96	в значительной	2	3
97	того что	2	3
98	в которой	2	3
99	и те	3	3
100	у них	2	3
101	в результате	2	3
102	конце концов	4	3
103	в одном	3	3
104	уже в	5	2
105	с его	2	2
106	ни было	2	2
107	на небе	2	2
108	именно в	2	2
109	связанных с	3	2
110	в них	7	2
111	те и	2	2
112	в образе	4	2
113	прежде всего	11	2
114	все существующее	2	2
115	в свою	3	2
116	а также	2	2
117	и здесь	4	2
118	по существу	8	2
119	мы видели	5	2
120	по своему	2	2
121	все что	4	2
122	же время	9	2
123	связано с	2	2
124	тот же	2	2
125	еще не	2	2
126	они в	2	2
127	со всеми	2	2
128	для всех	2	2
129	благодаря этому	2	2
130	жизни и	3	2
131	во всех	3	2
132	в процессе	2	2
133	характер носят	2	2
134	особенно в	2	2
135	в разных	2	2
136	не было	3	2
137	этом отношении	2	2
138	одновременно и	2	2
139	мира его	2	2
140	мы имеем	2	2
141	в другое	5	2
142	свидетельствует о	2	2
143	и заставляет	2	2
144	и на	4	2
145	связан с	2	2
146	не в	9	2
147	и наконец	4	2
148	о котором	2	2
149	и все	14	2
150	и это	5	2
151	в виду	4	2
